,WasherDryer,TumbleDryer,BaseLoad,P_EV
2024-01-02 09:45:00,0.001,0.001,0.20792553068624764,0.0
2024-01-02 10:00:00,0.001,0.001,0.3895855306862476,0.0
2024-01-02 10:15:00,0.1064713048076884,0.001,0.43025219735291437,0.0
2024-01-02 10:30:00,0.7920347860576631,0.001,0.30852783858822097,0.0
2024-01-02 10:45:00,0.7920347860576631,0.001,0.1777,0.0
2024-01-02 11:00:00,0.7920347860576631,0.001,0.1777,0.0
2024-01-02 11:15:00,0.7920347860576631,0.001,0.1777,0.0
2024-01-02 11:30:00,0.7920347860576631,0.001,0.39603333333333335,0.0
2024-01-02 11:45:00,0.7920347860576631,0.001,0.46070000000000005,0.0
2024-01-02 12:00:00,0.7920347860576631,0.001,0.2537,4.2
2024-01-02 12:15:00,0.7920347860576631,0.001,0.26996124745755784,0.0
2024-01-02 12:30:00,0.7920347860576631,0.001,0.20079040903934017,0.0
2024-01-02 12:45:00,0.7920347860576631,0.001,0.20883418184325636,0.0
2024-01-02 13:00:00,0.7920347860576631,0.001,0.8604759397255878,0.0
2024-01-02 13:15:00,0.7920347860576631,0.001,0.7000759397255878,0.0
2024-01-02 13:30:00,0.7920347860576631,0.001,0.3804680256013633,0.0
2024-01-02 13:45:00,0.7920347860576631,0.001,0.336318864019581,0.0
2024-01-02 14:00:00,0.1064713048076884,0.001,0.9969646517450819,0.0
2024-01-02 14:15:00,0.001,0.001,0.7178059959320925,0.0
2024-01-02 14:30:00,0.001,0.001,0.36403707570600685,0.0
2024-01-02 14:45:00,0.001,0.001,0.9880052072746165,3.2666666666666666
2024-01-02 15:00:00,0.001,0.001,0.22661593972558777,0.0
2024-01-02 15:15:00,0.001,0.001,0.08624260639225446,0.0
2024-01-02 15:30:00,0.001,0.001,0.1095759397255878,0.0
2024-01-02 15:45:00,0.001,0.001,0.29469593972558783,0.0
2024-01-02 16:00:00,0.001,0.001,0.3608367071896147,0.0
2024-01-02 16:15:00,0.001,0.001,0.8403764989830231,0.0
2024-01-02 16:30:00,0.001,0.001,0.3259637423726735,0.0
2024-01-02 16:45:00,0.001,0.001,0.22985707570600683,0.0
2024-01-02 17:00:00,0.001,0.001,0.1895237423726735,0.0
2024-01-02 17:15:00,0.001,0.001,0.21919040903934014,0.0
2024-01-02 17:30:00,0.001,0.001,0.38621774644058093,0.0
2024-01-02 17:45:00,0.001,0.001,0.36669999999999997,0.0
2024-01-02 18:00:00,0.001,0.001,0.38076465174508195,0.0
2024-01-02 18:15:00,0.001,0.001,0.37078553068624764,0.0
2024-01-02 18:30:00,0.001,0.001,0.33025219735291433,0.0
2024-01-02 18:45:00,0.001,0.001,0.40485219735291433,0.0
2024-01-02 19:00:00,0.001,0.001,0.5442876902340762,0.0
2024-01-02 19:15:00,0.001,0.001,0.4310759397255878,0.0
2024-01-02 19:30:00,0.001,0.001,0.5100759397255878,0.0
2024-01-02 19:45:00,0.001,0.001,0.4271585406079497,0.0
2024-01-02 20:00:00,0.001,0.001,0.3420759397255878,0.0
2024-01-02 20:15:00,0.001,0.001,0.35249536300260415,0.0
2024-01-02 20:30:00,0.001,0.001,0.40161694582744906,0.0
2024-01-02 20:45:00,0.001,0.001,0.25907593972558784,0.0
2024-01-02 21:00:00,0.001,0.001,0.31407593972558784,0.0
2024-01-02 21:15:00,0.001,0.001,0.48900927305892117,0.0
2024-01-02 21:30:00,0.001,0.001,0.31893766166678394,0.0
2024-01-02 21:45:00,0.001,0.001,0.445915828248449,0.0
2024-01-02 22:00:00,0.001,0.001,0.49080347982352757,0.0
2024-01-02 22:15:00,0.001,0.001,0.7282915266183402,0.0
2024-01-02 22:30:00,0.001,0.001,0.25207593972558784,0.0
2024-01-02 22:45:00,0.001,0.001,0.37607593972558784,0.0
2024-01-02 23:00:00,0.001,0.001,0.39347593972558775,0.0
2024-01-02 23:15:00,0.001,0.001,0.39183756493733124,0.0
2024-01-02 23:30:00,0.001,0.001,0.46296666666666664,0.0
2024-01-02 23:45:00,0.001,0.001,0.5775,0.0
2024-01-03 00:00:00,0.001,0.001,0.20294175788233143,0.0
2024-01-03 00:15:00,0.001,0.001,0.3332521973529143,0.0
2024-01-03 00:30:00,0.001,0.001,0.35858553068624766,0.0
2024-01-03 00:45:00,0.001,0.001,0.39925219735291434,0.0
2024-01-03 01:00:00,0.001,0.001,0.32325219735291433,0.0
2024-01-03 01:15:00,0.001,0.001,0.20925219735291428,0.0
2024-01-03 01:30:00,0.001,0.001,0.18611391929411047,0.0
2024-01-03 01:45:00,0.001,0.001,0.2397,0.0
2024-01-03 02:00:00,0.001,0.001,0.39603333333333335,0.0
2024-01-03 02:15:00,0.001,0.001,0.3987,0.0
2024-01-03 02:30:00,0.001,0.001,0.19037333333333334,0.0
2024-01-03 02:45:00,0.001,0.001,0.042,0.0
2024-01-03 03:00:00,0.001,0.001,0.042,0.0
2024-01-03 03:15:00,0.001,0.001,0.042,0.0
2024-01-03 03:30:00,0.001,0.001,0.2983333333333334,0.0
2024-01-03 03:45:00,0.001,0.001,0.325,0.0
2024-01-03 04:00:00,0.001,0.001,0.08000000000000002,0.0
2024-01-03 04:15:00,0.001,0.001,0.042,0.0
2024-01-03 04:30:00,0.001,0.001,0.042,0.0
2024-01-03 04:45:00,0.001,0.001,0.042,0.0
2024-01-03 05:00:00,0.001,0.001,0.2743333333333334,0.0
2024-01-03 05:15:00,0.001,0.001,0.38699999999999996,5.133333333333334
2024-01-03 05:30:00,0.001,0.001,0.042,7.0
2024-01-03 05:45:00,0.001,0.001,0.042,7.0
2024-01-03 06:00:00,0.001,0.001,0.042,7.0
2024-01-03 06:15:00,0.001,0.001,0.042,3.2666666666666666
2024-01-03 06:30:00,0.001,0.001,0.25033333333333335,0.0
2024-01-03 06:45:00,0.001,0.001,0.34900000000000003,0.0
2024-01-03 07:00:00,0.001,0.001,0.6370666666666666,0.0
2024-01-03 07:15:00,0.001,0.001,0.04546666666666667,0.0
2024-01-03 07:30:00,0.001,0.001,0.055,0.0
2024-01-03 07:45:00,0.001,0.001,0.08033333333333334,0.0
2024-01-03 08:00:00,0.001,0.001,0.245,0.0
2024-01-03 08:15:00,0.001,0.001,0.45033333333333336,0.0
2024-01-03 08:30:00,0.001,0.001,2.565,0.0
2024-01-03 08:45:00,0.001,0.001,0.2906666666666667,0.0
2024-01-03 09:00:00,0.001,0.001,0.163,0.0
2024-01-03 09:15:00,0.26467826201922107,0.001,0.23066666666666666,0.0
2024-01-03 09:30:00,0.7920347860576631,0.001,0.366,0.0
2024-01-03 09:45:00,0.7920347860576631,0.001,0.32304666666666665,0.0
2024-01-03 10:00:00,0.7920347860576631,0.001,0.3537666666666667,0.0
2024-01-03 10:15:00,0.7920347860576631,0.001,0.22169999999999998,0.0
2024-01-03 10:30:00,0.7920347860576631,0.001,0.19069999999999998,0.0
2024-01-03 10:45:00,0.7920347860576631,0.001,0.38497362631372195,0.0
2024-01-03 11:00:00,0.7920347860576631,0.001,0.5332521973529143,0.0
2024-01-03 11:15:00,0.7920347860576631,0.001,1.4628521973529145,0.0
2024-01-03 11:30:00,0.7920347860576631,0.001,1.7462521973529144,0.0
2024-01-03 11:45:00,0.7920347860576631,0.001,2.7189188640195807,0.0
2024-01-03 12:00:00,0.7920347860576631,0.001,1.0057119043725258,0.0
2024-01-03 12:15:00,0.7920347860576631,0.001,0.3865,0.0
2024-01-03 12:30:00,0.7920347860576631,0.001,0.5017,0.0
2024-01-03 12:45:00,0.05373565240384421,0.001,0.3172177464405809,0.0
2024-01-03 13:00:00,0.001,0.001,0.4165237423726735,0.0
2024-01-03 13:15:00,0.001,0.001,0.4776570757060068,0.0
2024-01-03 13:30:00,0.001,0.001,0.3805904090393401,0.0
2024-01-03 13:45:00,0.001,0.001,0.4233237423726735,0.0
2024-01-03 14:00:00,0.001,0.001,0.45227649898302313,0.0
2024-01-03 14:15:00,0.001,0.001,0.29869999999999997,0.0
2024-01-03 14:30:00,0.001,0.001,0.3305666666666667,0.0
2024-01-03 14:45:00,0.001,0.001,0.9997666666666667,0.0
2024-01-03 15:00:00,0.001,0.001,0.3264333333333333,0.0
2024-01-03 15:15:00,0.001,0.001,0.7171733333333332,0.0
2024-01-03 15:30:00,0.001,0.001,0.18082374237267354,0.0
2024-01-03 15:45:00,0.001,0.001,0.06682374237267351,0.0
2024-01-03 16:00:00,0.001,0.001,0.06682374237267351,0.0
2024-01-03 16:15:00,0.001,0.001,0.1778237423726735,0.0
2024-01-03 16:30:00,0.001,0.001,0.24641799703407105,0.0
2024-01-03 16:45:00,0.001,0.001,0.3739521973529143,0.0
2024-01-03 17:00:00,0.001,0.001,1.2690855306862476,0.0
2024-01-03 17:15:00,0.001,0.001,1.7909045245843866,0.0
2024-01-03 17:30:00,0.001,1.214255689298831,2.1420092730589215,0.0
2024-01-03 17:45:00,0.001,1.8990402474384707,0.9358092730589213,0.0
2024-01-03 18:00:00,0.001,1.9725531957406226,0.46096055552953447,0.0
2024-01-03 18:15:00,0.001,1.7964477539625179,0.42352374237267354,0.0
2024-01-03 18:30:00,0.001,0.1577286933581698,0.23965707570600686,0.0
2024-01-03 18:45:00,0.001,0.001,0.20214462131383923,0.0
2024-01-03 19:00:00,0.001,0.001,0.21004044684442585,0.0
2024-01-03 19:15:00,0.001,0.001,0.22932677814380545,0.0
2024-01-03 19:30:00,0.001,0.001,0.7247292730589211,0.0
2024-01-03 19:45:00,0.001,0.001,0.6250759397255877,0.0
2024-01-03 20:00:00,0.001,0.001,0.3420759397255878,0.0
2024-01-03 20:15:00,0.001,0.001,0.3420759397255878,0.0
2024-01-03 20:30:00,0.001,0.001,0.33655819328500686,0.0
