,Occupancy,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,SoC_ref_EV,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-01-02 16:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-02 16:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-02 16:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-02 16:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.6973333333333332,1,0,1,0.6880000000000001
2024-01-02 17:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7323333333333327,0,0,1,0.0
2024-01-02 17:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7673333333333322,0,0,1,0.0
2024-01-02 17:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 17:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 18:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 18:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 18:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 18:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 19:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 19:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 19:30:00,2.0,58.85142857142909,60.0,3.5943786666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 19:45:00,2.0,58.491485905399486,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 20:00:00,2.0,60.56992412804642,60.0,2.8241546666666664,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 20:15:00,2.0,58.31755757286249,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 20:30:00,2.0,60.914658002867284,60.0,1.5404480000000003,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 20:45:00,1.0,60.59561968466376,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 21:00:00,2.0,59.02682924032549,60.0,3.0808960000000005,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 21:15:00,2.0,59.70501672240865,60.0,0.2567413333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 21:30:00,2.0,60.25130090778849,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 21:45:00,2.0,60.04531906354578,60.0,1.2837066666666668,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 22:00:00,2.0,60.074552508361855,60.0,1.0269653333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 22:15:00,2.0,60.1877725752515,60.0,2.053930666666667,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 22:30:00,2.0,59.73474094601119,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 22:45:00,2.0,59.94982513139103,60.0,0.2567413333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 23:00:00,2.0,59.76582513139103,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 23:15:00,2.0,59.76582513139103,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 23:30:00,2.0,59.610492116579756,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-02 23:45:00,2.0,60.95518394648899,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 00:00:00,2.0,60.80025379837624,60.0,0.2567413333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 00:15:00,2.0,60.689853798376234,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 00:30:00,2.0,60.689853798376234,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 00:45:00,2.0,60.064253798376235,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 01:00:00,2.0,57.88532365026347,60.0,3.0808960000000005,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 01:15:00,2.0,57.56991113234663,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 01:30:00,2.0,60.82715795508913,60.0,0.2567413333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 01:45:00,2.0,58.82795986622148,60.0,3.8511200000000003,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 02:00:00,2.0,56.786006688963965,60.0,0.2567413333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 02:15:00,1.0,60.694461156235846,60.0,1.5404480000000003,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 02:30:00,2.0,56.87370702341216,60.0,3.0808960000000005,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 02:45:00,2.0,59.459778690875154,60.0,1.7971893333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 03:00:00,2.0,61.35421691352209,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 03:15:00,2.0,56.38050109890193,60.0,6.932016000000001,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 03:30:00,2.0,53.08630291447768,60.0,1.0269653333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 03:45:00,2.0,54.27397458194068,60.0,3.594378666666667,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 04:00:00,2.0,55.866446249403666,60.0,1.7971893333333335,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 04:15:00,1.0,59.45384806497942,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 04:30:00,1.0,60.03693225035927,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 04:45:00,1.0,59.87813702819013,60.0,0.770224,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 05:00:00,1.0,61.251898709986605,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 05:15:00,2.0,61.28056569517533,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 05:30:00,1.0,61.28056569517533,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 05:45:00,2.0,59.2817704730062,60.0,3.337637333333334,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 06:00:00,1.0,59.52262589584425,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 06:15:00,1.0,60.862646918300065,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 06:30:00,1.0,59.832246918300065,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 06:45:00,1.0,59.206646918300066,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 07:00:00,2.0,59.206646918300066,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 07:15:00,2.0,59.206646918300066,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 07:30:00,1.0,60.21973588151078,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 07:45:00,1.0,60.63428036311613,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 08:00:00,3.0,60.37869469660873,60.0,0.5134826666666666,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 08:15:00,3.0,61.05470425227047,60.0,0.0,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 08:30:00,1.0,60.83390425227047,60.0,0.2567413333333333,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 08:45:00,1.0,59.60790903010134,60.0,1.7971893333333335,0.0,0.7999999999999984,0,0,1,0.0
2024-01-03 09:00:00,1.0,59.99515871954235,60.0,1.5404480000000003,0.0,0.0,0,1,0,0.0
2024-01-03 09:15:00,1.0,60.73559025322607,60.0,0.2567413333333333,0.0,0.0,0,0,0,0.0
2024-01-03 09:30:00,1.0,60.514790253226074,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-03 09:45:00,1.0,60.514790253226074,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-03 10:00:00,1.0,60.514790253226074,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-03 10:15:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7789999999999998,1,0,1,0.7626666666666667
2024-01-03 10:30:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 10:45:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 11:00:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 11:15:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 11:30:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 11:45:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 12:00:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 12:15:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 12:30:00,1.0,60.514790253226074,60.0,0.0,0.0,0.7999999999999995,0,0,1,0.0
2024-01-03 12:45:00,1.0,60.514790253226074,60.0,0.0,0.0,0.0,0,1,0,0.0
2024-01-03 13:00:00,3.0,60.514790253226074,60.0,0.0,0.0,0.0,0,0,0,0.0
2024-01-03 13:15:00,3.0,60.514790253226074,60.0,0.0,0.0,0.0,0,0,0,0.0
