,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-09 20:00:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-09 20:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-09 20:30:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-09 20:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-09 21:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-09 21:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-09 21:30:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-09 21:45:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-09 22:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-09 22:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-09 22:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-09 22:45:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-09 23:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-09 23:15:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-09 23:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-09 23:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 00:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 00:15:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-10 00:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 00:45:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-10 01:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 01:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 01:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 01:45:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-10 02:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 02:15:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-10 02:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 02:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 03:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 03:15:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-10 03:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 03:45:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-10 04:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 04:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 04:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 04:45:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-10 05:00:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-10 05:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 05:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 05:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 06:00:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-10 06:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 06:30:00,0.001,0.0,0.001,0.17366666666666666,1.6
2024-01-10 06:45:00,0.001,0.0,0.001,0.047,3.0
2024-01-10 07:00:00,0.001,0.0,0.001,0.047,1.8
2024-01-10 07:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 07:30:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-10 07:45:00,0.001,0.0,0.001,0.237,2.2
2024-01-10 08:00:00,0.001,0.0,0.001,0.13566666666666669,0.8
2024-01-10 08:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 08:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 08:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 09:00:00,0.001,0.0,0.001,0.14833333333333334,0.0
2024-01-10 09:15:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 09:30:00,0.001,0.0,0.001,0.09766666666666665,0.0
2024-01-10 09:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 10:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 10:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 10:30:00,0.001,0.0,0.001,0.18633333333333332,0.0
2024-01-10 10:45:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 11:00:00,0.001,0.0,0.001,0.059666666666666666,0.0
2024-01-10 11:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 11:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 11:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 12:00:00,0.001,0.0,0.001,0.22433333333333333,0.0
2024-01-10 12:15:00,0.001,0.0,0.001,0.21166666666666664,0.0
2024-01-10 12:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 12:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 13:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 13:15:00,0.001,0.0,0.001,0.07233333333333333,0.0
2024-01-10 13:30:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 13:45:00,0.001,0.0,0.001,0.17366666666666666,0.0
2024-01-10 14:00:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 14:15:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 14:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 14:45:00,0.001,0.0,0.001,0.11033333333333334,0.0
2024-01-10 15:00:00,0.001,0.0,0.001,0.237,0.0
2024-01-10 15:15:00,0.001,0.0,0.001,0.13566666666666669,0.0
2024-01-10 15:30:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 15:45:00,0.001,0.0,0.001,0.047,0.0
2024-01-10 16:00:00,0.001,0.0,0.001,0.047,0.0
