,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-04 12:00:00,0.001,0.1798237423726735,0.0,0.3333333333333333
2024-01-04 12:15:00,0.001,0.23049040903934018,0.0,3.0
2024-01-04 12:30:00,0.001,0.3616904090393402,0.0,1.6666666666666667
2024-01-04 12:45:00,0.001,0.45210599593209255,0.0,0.6666666666666666
2024-01-04 13:00:00,0.001,0.5790666666666666,0.0,0.0
2024-01-04 13:15:00,0.001,0.2919844131072476,0.0,0.0
2024-01-04 13:30:00,0.001,0.3008237423726735,0.0,0.0
2024-01-04 13:45:00,0.001,0.4401570757060069,0.0,0.0
2024-01-04 14:00:00,0.001,0.40215707570600684,0.0,0.0
2024-01-04 14:15:00,0.001,0.27642374237267353,0.0,0.0
2024-01-04 14:30:00,0.001,0.2582888262144952,0.0,2.3333333333333335
2024-01-04 14:45:00,0.001,0.167,0.0,0.0
2024-01-04 15:00:00,0.001,0.20500000000000002,0.0,0.0
2024-01-04 15:15:00,0.001,0.357,0.0,0.0
2024-01-04 15:30:00,0.001,0.1796666666666667,0.0,0.0
2024-01-04 15:45:00,0.001,0.1408,0.0,0.0
2024-01-04 16:00:00,0.001,0.12223932926542586,0.0,3.0
2024-01-04 16:15:00,0.001,0.1928237423726735,0.0,0.0
2024-01-04 16:30:00,0.001,0.3194904090393402,0.0,0.0
2024-01-04 16:45:00,0.001,0.29815707570600686,0.0,0.0
2024-01-04 17:00:00,0.001,0.1798237423726735,0.0,0.0
2024-01-04 17:15:00,0.001,0.1685374110732939,0.0,0.0
2024-01-04 17:30:00,0.001,0.3450666666666667,0.0,0.0
2024-01-04 17:45:00,0.001,0.4614431656496898,0.0,0.0
2024-01-04 18:00:00,0.001,0.3698237423726735,0.0,0.0
2024-01-04 18:15:00,0.001,0.6049570757060069,0.0,2.6666666666666665
2024-01-04 18:30:00,0.001,0.3616237423726735,0.0,0.0
2024-01-04 18:45:00,0.001,0.26269040903934016,0.0,0.0
2024-01-04 19:00:00,0.001,0.14094124745755784,0.0,0.0
2024-01-04 19:15:00,0.001,0.32420000000000004,0.0,0.0
2024-01-04 19:30:00,0.001,0.37353333333333333,0.0,3.3333333333333335
2024-01-04 19:45:00,0.001,0.168,0.0,0.0
2024-01-04 20:00:00,0.001,0.168,0.0,0.0
2024-01-04 20:15:00,0.001,0.17745899389813882,0.0,5.0
2024-01-04 20:30:00,0.001,0.22475707570600684,0.0,5.0
2024-01-04 20:45:00,0.001,0.5198904090393401,0.0,3.6666666666666665
2024-01-04 21:00:00,0.001,0.2168237423726735,0.0,0.0
2024-01-04 21:15:00,0.001,0.21949040903934017,0.0,0.0
2024-01-04 21:30:00,0.001,0.2937294969490694,0.0,0.0
2024-01-04 21:45:00,0.001,0.3008237423726735,0.0,0.0
2024-01-04 22:00:00,0.001,1.0235437423726734,0.0,0.0
2024-01-04 22:15:00,0.001,0.5284770757060069,0.0,0.0
2024-01-04 22:30:00,0.001,0.3008237423726735,0.0,0.0
2024-01-04 22:45:00,0.001,0.3008237423726735,0.0,0.0
2024-01-04 23:00:00,0.001,0.2758863312993796,0.0,0.0
2024-01-04 23:15:00,0.001,0.289,0.0,0.0
