,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-02 21:15:00,0.0,0.15898641551634765,0.9497988335883384,0.0,0.0
2024-01-02 21:30:00,0.0,0.19416460380795228,0.33437593972558777,0.0,0.26666666666666666
2024-01-02 21:45:00,0.0,0.25438480273791025,0.44804260639225446,0.0,1.8666666666666667
2024-01-02 22:00:00,0.0,0.001,0.4583759397255878,0.0,0.0
2024-01-02 22:15:00,0.0,0.001,0.3270159821124862,0.0,0.0
2024-01-02 22:30:00,0.0,0.001,0.3174,0.0,0.0
2024-01-02 22:45:00,0.0,0.001,0.235415828248449,0.0,0.0
2024-01-02 23:00:00,0.0,0.001,0.1818237423726735,0.0,0.0
2024-01-02 23:15:00,0.0,0.001,0.3264904090393401,0.0,0.0
2024-01-02 23:30:00,0.0,0.001,0.4080904090393402,0.0,0.0
2024-01-02 23:45:00,0.0,0.001,0.44835707570600686,0.0,0.0
2024-01-03 00:00:00,0.0,0.001,0.2767215828248449,0.0,0.0
2024-01-03 00:15:00,0.0,0.001,0.18833333333333332,0.0,0.0
2024-01-03 00:30:00,0.0,0.001,0.06966666666666667,0.0,0.0
2024-01-03 00:45:00,0.0,0.001,0.204,0.0,0.0
2024-01-03 01:00:00,0.0,0.001,0.111,0.0,0.0
2024-01-03 01:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 01:30:00,0.0,0.001,0.14397710613724954,0.0,0.0
2024-01-03 01:45:00,0.0,0.001,0.24521886401958098,0.0,0.0
2024-01-03 02:00:00,0.0,0.001,0.13221886401958097,0.0,0.0
2024-01-03 02:15:00,0.0,0.001,0.2355521973529143,0.0,0.0
2024-01-03 02:30:00,0.0,0.001,0.1115521973529143,0.0,0.0
2024-01-03 02:45:00,0.0,0.001,0.07213827805880382,0.0,0.0
2024-01-03 03:00:00,0.0,0.001,0.11233333333333334,0.0,0.0
2024-01-03 03:15:00,0.0,0.001,0.239,0.0,0.0
2024-01-03 03:30:00,0.0,0.001,0.13166666666666665,0.0,0.0
2024-01-03 03:45:00,0.0,0.001,0.204,0.0,0.0
2024-01-03 04:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 04:15:00,0.0,0.001,0.049,0.0,2.933333333333333
2024-01-03 04:30:00,0.0,0.001,0.087,0.0,0.0
2024-01-03 04:45:00,0.0,0.001,0.239,0.0,0.0
2024-01-03 05:00:00,0.0,0.001,0.5878,0.0,0.0
2024-01-03 05:15:00,0.0,0.001,0.173,0.0,0.0
2024-01-03 05:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 05:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 06:00:00,0.0,0.001,1.585,0.0,0.0
2024-01-03 06:15:00,0.0,0.001,2.361,0.0,0.0
2024-01-03 06:30:00,0.0,0.001,1.5175333333333334,0.0,0.0
2024-01-03 06:45:00,0.0,0.001,0.1524,0.0,0.0
2024-01-03 07:00:00,0.0,0.001,0.06199999999999999,0.0,0.0
2024-01-03 07:15:00,0.0,0.001,0.5950666666666666,0.0,0.0
2024-01-03 07:30:00,0.0,0.001,0.06199999999999999,0.0,0.0
2024-01-03 07:45:00,0.0,0.001,0.2548,0.0,0.0
2024-01-03 08:00:00,0.0,0.001,0.28,0.0,0.0
2024-01-03 08:15:00,0.0,0.001,0.17553333333333335,0.0,1.8666666666666667
2024-01-03 08:30:00,0.0,0.001,0.5698000000000001,0.0,0.26666666666666666
2024-01-03 08:45:00,0.0,0.001,0.7030666666666666,0.0,0.0
2024-01-03 09:00:00,0.0,0.001,0.7030666666666667,0.0,0.0
2024-01-03 09:15:00,0.0,0.001,0.3736666666666667,0.0,0.0
2024-01-03 09:30:00,0.0,0.001,0.35373333333333334,0.0,0.0
2024-01-03 09:45:00,0.0,0.001,0.08,0.0,0.0
2024-01-03 10:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 10:15:00,0.0,0.001,0.05741391929411048,0.0,0.0
2024-01-03 10:30:00,0.0,0.001,0.08055219735291429,0.0,0.0
2024-01-03 10:45:00,0.0,0.001,0.2898855306862476,0.0,0.0
2024-01-03 11:00:00,0.0,0.001,0.3622188640195809,0.0,0.0
2024-01-03 11:15:00,0.0,0.001,0.08055219735291429,0.0,0.0
2024-01-03 11:30:00,0.0,0.001,0.07213827805880382,0.0,0.0
2024-01-03 11:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 12:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 12:15:00,0.0,0.001,0.39726666666666666,0.0,0.0
2024-01-03 12:30:00,0.0,0.001,0.7248,0.0,2.1333333333333333
2024-01-03 12:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 13:00:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 13:15:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 13:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 13:45:00,0.0,0.001,0.26966666666666667,0.0,0.0
2024-01-03 14:00:00,0.0,0.001,0.31933333333333336,0.0,0.0
2024-01-03 14:15:00,0.0,0.001,0.5820666666666666,0.0,0.0
2024-01-03 14:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 14:45:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 15:00:00,0.0,0.001,0.10193333333333335,0.0,0.0
2024-01-03 15:15:00,0.0,0.001,0.37566666666666665,0.0,0.0
2024-01-03 15:30:00,0.0,0.001,0.4304139192941105,0.0,0.0
2024-01-03 15:45:00,0.0,0.001,0.21421886401958096,0.0,0.0
2024-01-03 16:00:00,0.0,0.001,0.6896721973529143,0.0,0.0
2024-01-03 16:15:00,0.0,0.001,0.7104188640195811,0.0,0.0
2024-01-03 16:30:00,0.0,0.001,0.12590842454899812,0.0,2.1333333333333333
2024-01-03 16:45:00,0.0,0.001,0.22933333333333333,6.0,0.0
2024-01-03 17:00:00,0.0,0.001,0.26999999999999996,0.0,0.0
2024-01-03 17:15:00,0.0,0.001,0.087,0.0,0.0
2024-01-03 17:30:00,0.0,0.001,0.049,0.0,0.0
2024-01-03 17:45:00,0.0,0.001,0.44880000000000003,0.0,0.0
2024-01-03 18:00:00,0.0,0.001,0.22334725262744382,0.0,0.0
2024-01-03 18:15:00,0.0,0.001,0.9026188640195809,0.0,0.0
2024-01-03 18:30:00,0.0,0.001,2.385085530686248,0.0,0.0
2024-01-03 18:45:00,0.0,0.001,2.258418864019581,0.0,0.0
2024-01-03 19:00:00,0.0,0.001,0.2145521973529143,0.0,0.0
2024-01-03 19:15:00,0.0,0.001,0.22201886401958096,0.0,0.0
2024-01-03 19:30:00,0.0,0.001,0.49509014649019434,0.0,0.0
2024-01-03 19:45:00,0.0,0.001,0.3978820416249266,0.0,0.0
2024-01-03 20:00:00,0.0,0.001,0.37804260639225445,0.0,0.0
2024-01-03 20:15:00,0.0,0.001,0.3907759397255878,0.0,2.1333333333333333
2024-01-03 20:30:00,0.0,0.001,0.27790927305892116,0.0,0.0
2024-01-03 20:45:00,0.0,0.001,0.21179944074256468,0.0,0.0
2024-01-03 21:00:00,0.0,0.001,0.37779102543136,0.0,0.0
2024-01-03 21:15:00,0.0,0.001,0.3960938981006612,0.0,0.0
2024-01-03 21:30:00,0.0,0.001,0.473709273058921,0.0,0.0
2024-01-03 21:45:00,0.0,0.001,0.4483759397255877,0.0,0.0
2024-01-03 22:00:00,0.0,0.10380772589538387,0.33437593972558777,0.0,0.0
