,BaseLoad,P_HP,P_WB
2024-01-08 06:45:00,0.16299999999999998,1.0,0.0
2024-01-08 07:00:00,0.049,0.0,0.0
2024-01-08 07:15:00,0.049,0.0,0.0
2024-01-08 07:30:00,0.049,0.0,0.0
2024-01-08 07:45:00,0.125,0.0,0.0
2024-01-08 08:00:00,0.239,0.0,0.0
2024-01-08 08:15:00,0.06166666666666667,0.0,0.0
2024-01-08 08:30:00,0.049,1.6666666666666667,0.0
2024-01-08 08:45:00,0.049,0.6666666666666666,0.0
2024-01-08 09:00:00,0.049,0.0,0.0
2024-01-08 09:15:00,0.22633333333333333,0.0,0.0
2024-01-08 09:30:00,0.15033333333333332,0.0,0.0
2024-01-08 09:45:00,0.049,0.0,0.0
2024-01-08 10:00:00,0.049,0.0,0.0
2024-01-08 10:15:00,0.049,0.0,0.0
2024-01-08 10:30:00,0.13766666666666666,0.6666666666666666,0.0
2024-01-08 10:45:00,0.239,1.6666666666666667,0.0
2024-01-08 11:00:00,0.049,0.0,0.0
2024-01-08 11:15:00,0.049,0.0,0.0
2024-01-08 11:30:00,0.049,0.0,0.0
2024-01-08 11:45:00,0.049,0.0,0.0
2024-01-08 12:00:00,0.239,0.0,0.0
2024-01-08 12:15:00,0.13766666666666666,0.0,0.0
2024-01-08 12:30:00,0.049,0.0,0.0
2024-01-08 12:45:00,0.049,2.3333333333333335,0.0
2024-01-08 13:00:00,0.049,0.0,0.0
2024-01-08 13:15:00,0.15033333333333332,0.0,0.0
2024-01-08 13:30:00,0.22633333333333333,0.0,0.0
2024-01-08 13:45:00,0.049,0.0,0.0
2024-01-08 14:00:00,0.049,0.0,0.0
2024-01-08 14:15:00,0.049,0.0,0.0
2024-01-08 14:30:00,0.06166666666666667,0.0,0.0
2024-01-08 14:45:00,0.239,2.0,0.0
2024-01-08 15:00:00,0.125,0.3333333333333333,0.0
2024-01-08 15:15:00,0.049,0.0,0.0
2024-01-08 15:30:00,0.049,0.0,0.0
2024-01-08 15:45:00,0.049,0.0,0.0
2024-01-08 16:00:00,0.16299999999999998,0.0,0.0
2024-01-08 16:15:00,0.21366666666666667,0.0,0.0
2024-01-08 16:30:00,0.049,0.0,0.0
2024-01-08 16:45:00,0.049,0.0,0.0
2024-01-08 17:00:00,0.049,2.3333333333333335,0.0
2024-01-08 17:15:00,0.07433333333333333,0.0,0.0
2024-01-08 17:30:00,0.239,0.0,0.0
2024-01-08 17:45:00,0.11233333333333334,0.0,0.0
2024-01-08 18:00:00,0.049,0.0,0.0
2024-01-08 18:15:00,0.049,0.0,0.0
2024-01-08 18:30:00,0.049,0.0,0.0
2024-01-08 18:45:00,0.17566666666666667,0.0,0.0
2024-01-08 19:00:00,0.20099999999999998,0.0,0.0
2024-01-08 19:15:00,0.049,2.3333333333333335,0.0
2024-01-08 19:30:00,0.049,0.0,0.0
2024-01-08 19:45:00,0.049,0.0,0.0
2024-01-08 20:00:00,0.087,0.0,0.0
2024-01-08 20:15:00,0.239,0.0,0.0
2024-01-08 20:30:00,0.09966666666666665,0.0,0.0
2024-01-08 20:45:00,0.049,0.0,0.0
2024-01-08 21:00:00,0.049,0.0,0.0
2024-01-08 21:15:00,0.049,0.0,0.0
2024-01-08 21:30:00,0.18833333333333332,0.0,0.0
2024-01-08 21:45:00,0.18833333333333332,0.0,0.0
2024-01-08 22:00:00,0.049,0.0,0.0
