,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-10 04:00:00,0.001,0.0,0.049,1.4
2024-01-10 04:15:00,0.001,0.0,0.049,3.0
2024-01-10 04:30:00,0.001,0.0,0.049,2.8
2024-01-10 04:45:00,0.001,0.0,0.15033333333333332,0.0
2024-01-10 05:00:00,0.001,0.0,0.20099999999999998,0.0
2024-01-10 05:15:00,0.001,0.0,0.049,0.0
2024-01-10 05:30:00,0.001,0.0,0.049,0.0
2024-01-10 05:45:00,0.001,0.0,0.049,0.0
2024-01-10 06:00:00,0.001,0.0,0.049,0.6
2024-01-10 06:15:00,0.001,0.0,0.11233333333333334,1.6
2024-01-10 06:30:00,0.001,0.0,0.239,3.0
2024-01-10 06:45:00,0.001,0.0,0.049,3.0
2024-01-10 07:00:00,0.001,0.0,0.049,3.0
2024-01-10 07:15:00,0.001,0.0,0.1036,0.2
2024-01-10 07:30:00,0.001,0.0009333333333333333,0.1452,0.0
2024-01-10 07:45:00,0.001,1.2004666666666668,0.17833333333333332,0.0
2024-01-10 08:00:00,0.001,0.001,0.343,1.4
2024-01-10 08:15:00,0.001,0.001,0.10606666666666667,2.6
2024-01-10 08:30:00,0.001,0.001,0.06026666666666667,0.0
2024-01-10 08:45:00,0.001,0.001,0.049,0.0
2024-01-10 09:00:00,0.001,0.001,0.049,0.0
2024-01-10 09:15:00,0.001,0.001,0.049,1.0
2024-01-10 09:30:00,0.001,0.6007333333333332,0.22633333333333333,3.0
2024-01-10 09:45:00,0.001,1.8002,0.15673333333333334,0.0
2024-01-10 10:00:00,0.001,0.001,0.083,0.0
2024-01-10 10:15:00,0.001,0.001,0.06713333333333334,0.0
2024-01-10 10:30:00,0.001,6.666666666666667e-05,0.049,0.2
2024-01-10 10:45:00,0.001,0.0,0.049,3.0
2024-01-10 11:00:00,0.001,0.0,0.18833333333333332,0.2
2024-01-10 11:15:00,0.001,0.0,0.16299999999999998,0.0
2024-01-10 11:30:00,0.001,0.0,0.049,0.0
2024-01-10 11:45:00,0.001,0.0,0.049,1.2
2024-01-10 12:00:00,0.001,0.0,0.049,2.6
2024-01-10 12:15:00,0.001,0.0,0.049,0.0
2024-01-10 12:30:00,0.001,0.0,0.15033333333333332,0.0
2024-01-10 12:45:00,0.001,0.0,0.20099999999999998,0.0
2024-01-10 13:00:00,0.001,0.0,0.049,0.2
2024-01-10 13:15:00,0.001,0.0,0.049,3.0
2024-01-10 13:30:00,0.001,0.0,0.049,0.6
2024-01-10 13:45:00,0.001,0.0,0.049,0.0
2024-01-10 14:00:00,0.001,0.0,0.11233333333333334,0.0
2024-01-10 14:15:00,0.001,0.0,0.239,0.0
2024-01-10 14:30:00,0.001,0.0,0.049,1.6
2024-01-10 14:45:00,0.001,0.0,0.049,2.2
2024-01-10 15:00:00,0.001,0.0,0.049,0.0
2024-01-10 15:15:00,0.001,0.0,0.049,0.0
2024-01-10 15:30:00,0.001,0.0,0.07433333333333333,0.0
2024-01-10 15:45:00,0.001,0.0,0.239,0.0
2024-01-10 16:00:00,0.001,0.0,0.087,2.6
2024-01-10 16:15:00,0.001,0.0,0.049,1.2
2024-01-10 16:30:00,0.001,0.0,0.049,0.0
2024-01-10 16:45:00,0.001,0.0,0.049,0.0
2024-01-10 17:00:00,0.001,0.0,0.049,0.0
