,WasherDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-01 22:45:00,0.001,0.0,0.4938918739412831,0.0,0.0
2024-01-01 23:00:00,0.001,0.0,0.5020759397255878,0.0,0.0
2024-01-01 23:15:00,0.001,0.0,0.33900927305892115,0.0,0.0
2024-01-01 23:30:00,0.001,0.0,0.40574260639225446,0.0,0.0
2024-01-01 23:45:00,0.001,0.0,0.29098927305892114,0.0,0.0
2024-01-02 00:00:00,0.001,0.0,0.23860579323539355,0.0,0.0
2024-01-02 00:15:00,0.001,0.0,0.2827294969490694,0.0,0.0
2024-01-02 00:30:00,0.001,0.0,0.3303333333333333,0.0,0.0
2024-01-02 00:45:00,0.001,0.0,0.28173333333333334,0.0,0.0
2024-01-02 01:00:00,0.001,0.0,0.047,0.0,0.0
2024-01-02 01:15:00,0.001,0.0,0.5800666666666666,0.0,0.0
2024-01-02 01:30:00,0.001,0.0,0.05433333333333333,0.0,0.0
2024-01-02 01:45:00,0.001,0.0,0.157,0.0,0.0
2024-01-02 02:00:00,0.001,0.0,0.8670666666666667,0.0,0.0
2024-01-02 02:15:00,0.001,0.0,0.17099999999999999,0.0,0.0
2024-01-02 02:30:00,0.001,0.0,0.4467999999999999,0.0,0.0
2024-01-02 02:45:00,0.001,0.0,1.1131333333333333,0.0,0.0
2024-01-02 03:00:00,0.001,0.0,0.07233333333333333,0.0,0.0
2024-01-02 03:15:00,0.001,0.0,0.2816666666666666,0.0,0.0
2024-01-02 03:30:00,0.001,0.0,0.12933333333333333,0.0,0.0
2024-01-02 03:45:00,0.001,0.0,0.202,0.0,0.0
2024-01-02 04:00:00,0.001,0.0,0.078,4.666666666666667,0.0
2024-01-02 04:15:00,0.001,0.0,0.09766666666666665,5.6,0.9333333333333333
2024-01-02 04:30:00,0.001,0.0,0.161,0.0,0.26666666666666666
2024-01-02 04:45:00,0.001,0.0,0.12033333333333333,0.0,0.0
2024-01-02 05:00:00,0.001,0.0,0.12033333333333333,0.0,0.13333333333333333
2024-01-02 05:15:00,0.001,0.0,0.171,0.0,0.26666666666666666
2024-01-02 05:30:00,0.001,0.0,0.21600000000000003,0.0,0.0
2024-01-02 05:45:00,0.001,0.0,0.13566666666666669,0.0,2.0
2024-01-02 06:00:00,0.001,0.0,0.047,3.2666666666666666,0.4
2024-01-02 06:15:00,0.001,0.0,0.10093333333333333,3.7333333333333334,0.0
2024-01-02 06:30:00,0.001,0.0,0.15533333333333335,0.0,0.0
2024-01-02 06:45:00,0.001,0.0,0.22333333333333333,0.0,0.0
2024-01-02 07:00:00,0.001,0.0,0.2783333333333333,0.0,0.0
2024-01-02 07:15:00,0.001,0.0,0.053933333333333326,0.0,0.0
2024-01-02 07:30:00,0.001,0.0,0.047,0.0,0.0
2024-01-02 07:45:00,0.001,0.0,0.07790983231635647,0.0,0.0
2024-01-02 08:00:00,0.001,0.0,0.29549040903934015,0.0,2.0
2024-01-02 08:15:00,0.001,0.0,0.10415707570600684,0.0,0.26666666666666666
2024-01-02 08:30:00,0.001,0.0,0.21382374237267351,0.0,0.0
2024-01-02 08:45:00,0.001,0.0,0.1208237423726735,0.0,0.0
2024-01-02 09:00:00,0.001,0.0,0.0588237423726735,0.0,0.0
2024-01-02 09:15:00,0.001,0.0,0.20948633129937957,0.0,0.0
2024-01-02 09:30:00,0.001,0.0,0.16966666666666666,0.0,0.0
2024-01-02 09:45:00,0.001,0.0,0.08326666666666666,1.8666666666666667,0.0
2024-01-02 10:00:00,0.001,0.0,0.153,7.0,0.0
2024-01-02 10:15:00,0.001,0.0,0.458415828248449,6.533333333333333,0.0
2024-01-02 10:30:00,0.001,0.0,0.36889040903934023,0.0,0.0
2024-01-02 10:45:00,0.001,0.0,0.0588237423726735,0.0,0.0
2024-01-02 11:00:00,0.001,0.0,0.15415707570600684,0.0,0.0
2024-01-02 11:15:00,0.001,0.0,0.5028628302824028,0.0,0.0
2024-01-02 11:30:00,0.001,0.0,0.49046666666666666,0.0,0.0
2024-01-02 11:45:00,0.001,0.0,0.35400000000000004,0.0,0.0
2024-01-02 12:00:00,0.001,0.0,0.078,0.0,0.0
2024-01-02 12:15:00,0.001,0.0,0.047,0.0,0.0
2024-01-02 12:30:00,0.001,0.0,0.12033333333333333,0.0,0.8
2024-01-02 12:45:00,0.001,0.0,0.18988553068624764,0.0,1.6
2024-01-02 13:00:00,0.001,0.0,0.20521886401958098,0.0,0.0
2024-01-02 13:15:00,0.001,0.0,0.2025521973529143,0.0,0.0
2024-01-02 13:30:00,0.001,0.0,0.1833759397255878,4.666666666666667,0.0
2024-01-02 13:45:00,0.001,0.0,0.07354810113736684,7.0,0.0
2024-01-02 14:00:00,0.001,0.0,0.17349040903934018,2.3333333333333335,0.0
2024-01-02 14:15:00,0.001,0.0,0.25549040903934017,0.0,0.0
2024-01-02 14:30:00,0.001,0.0,0.0588237423726735,0.0,0.0
2024-01-02 14:45:00,0.001,0.0,0.11420000000000001,0.0,0.0
2024-01-02 15:00:00,0.001,0.0,0.215,0.0,0.0
2024-01-02 15:15:00,0.001,0.0,0.14866666666666667,0.0,0.0
2024-01-02 15:30:00,0.001,0.0,0.16533333333333333,0.0,0.0
2024-01-02 15:45:00,0.001,0.0,0.16046666666666667,2.3333333333333335,0.0
2024-01-02 16:00:00,0.001,0.0,0.05433333333333333,0.0,0.0
2024-01-02 16:15:00,0.001,0.0,0.4467999999999999,0.0,0.0
2024-01-02 16:30:00,0.001,0.0,0.316,0.0,1.7333333333333334
2024-01-02 16:45:00,0.001,0.0,0.15966666666666668,0.0,0.5333333333333333
2024-01-02 17:00:00,0.001,0.0,0.05433333333333333,0.0,0.0
2024-01-02 17:15:00,0.001,0.0,0.157,0.0,0.0
2024-01-02 17:30:00,0.001,0.0,0.07633333333333334,0.0,0.0
