,DishWasher,BaseLoad,P_EV,P_HP
2024-01-03 05:00:00,0.0,0.045,0.0,1.6
2024-01-03 05:15:00,0.0,0.4448,0.0,0.0
2024-01-03 05:30:00,0.0,0.045,0.0,0.0
2024-01-03 05:45:00,0.0,0.17166666666666666,0.0,0.0
2024-01-03 06:00:00,0.0,0.18433333333333332,0.0,0.0
2024-01-03 06:15:00,0.0,0.045,0.0,0.0
2024-01-03 06:30:00,0.0,0.045,0.0,0.0
2024-01-03 06:45:00,0.0,0.045,0.0,0.0
2024-01-03 07:00:00,0.0,0.045,0.0,0.0
2024-01-03 07:15:00,0.0,0.235,0.0,0.0
2024-01-03 07:30:00,0.0006000000000000001,0.121,0.0,0.0
2024-01-03 07:45:00,1.2004666666666668,0.045,5.133333333333334,0.0
2024-01-03 08:00:00,0.001,0.045,2.2,0.0
2024-01-03 08:15:00,0.001,0.045,0.0,0.0
2024-01-03 08:30:00,0.001,0.10833333333333334,0.0,0.0
2024-01-03 08:45:00,6.666666666666667e-05,0.235,0.0,0.0
2024-01-03 09:00:00,0.0,0.057666666666666665,0.0,0.0
2024-01-03 09:15:00,0.0,0.054533333333333336,0.0,0.0
2024-01-03 09:30:00,0.0,0.058,0.0,0.0
2024-01-03 09:45:00,0.0,0.058,0.0,0.0
2024-01-03 10:00:00,0.0,0.31793333333333335,0.0,0.0
2024-01-03 10:15:00,0.0,0.4517333333333333,0.0,0.0
2024-01-03 10:30:00,0.0,0.045,0.0,0.0
2024-01-03 10:45:00,0.0,0.045,0.0,0.0
2024-01-03 11:00:00,0.0,0.13678666666666667,0.0,0.0
2024-01-03 11:15:00,0.0,0.10925424542360411,0.0,0.0
2024-01-03 11:30:00,0.0,0.35833040903934016,0.0,0.0
2024-01-03 11:45:00,0.0,0.2668237423726735,0.0,0.5333333333333333
2024-01-03 12:00:00,0.0,0.1856237423726735,0.0,2.4
2024-01-03 12:15:00,0.0,0.1778237423726735,2.933333333333333,0.0
2024-01-03 12:30:00,0.0,0.17230599593209253,0.0,0.0
2024-01-03 12:45:00,0.0,0.18093333333333333,0.0,0.0
2024-01-03 13:00:00,0.0,0.3770347982352762,0.0,0.0
2024-01-03 13:15:00,0.0,0.21021886401958095,0.0,0.0
2024-01-03 13:30:00,0.0,0.21583469226802998,0.0,0.0
2024-01-03 13:45:00,0.0,0.2223759397255878,0.0,0.0
2024-01-03 14:00:00,0.0,0.15784260639225448,0.0,0.0
2024-01-03 14:15:00,0.0,0.30591128798050593,0.0,0.0
2024-01-03 14:30:00,0.0,0.3188904090393402,0.0,0.0
2024-01-03 14:45:00,0.0,0.17703549288116197,0.0,0.0
2024-01-03 15:00:00,0.0,0.166,0.0,0.0
2024-01-03 15:15:00,0.0,0.166,0.0,0.0
2024-01-03 15:30:00,0.0,0.13373333333333334,0.0,0.0
2024-01-03 15:45:00,0.0,0.235,0.0,0.0
2024-01-03 16:00:00,0.0,0.15044871752938668,0.0,0.0
2024-01-03 16:15:00,0.0,0.07655219735291431,0.0,0.0
2024-01-03 16:30:00,0.0,0.07655219735291431,0.0,0.0
2024-01-03 16:45:00,0.0,0.07655219735291431,0.0,0.0
2024-01-03 17:00:00,0.0,0.13988553068624762,2.2,0.0
2024-01-03 17:15:00,0.0,0.2644487175293867,0.0,0.0
2024-01-03 17:30:00,0.0,0.6222855306862477,0.0,0.0
2024-01-03 17:45:00,0.0,0.07655219735291431,0.0,0.0
2024-01-03 18:00:00,0.0,0.07655219735291431,0.0,0.0
2024-01-03 18:15:00,0.0,0.13648553068624766,0.0,0.0
2024-01-03 18:30:00,0.0,0.33721886401958096,0.0,0.0
2024-01-03 18:45:00,0.0,1.3091759397255878,0.0,2.1333333333333333
2024-01-03 19:00:00,0.0,1.8579092730589213,0.0,0.8
2024-01-03 19:15:00,0.0,1.0259092730589212,0.0,0.0
2024-01-03 19:30:00,0.0,0.21284260639225447,0.0,0.0
2024-01-03 19:45:00,0.0,0.741654356900743,0.0,0.0
2024-01-03 20:00:00,0.0,0.3875521973529143,0.0,0.0
2024-01-03 20:15:00,0.0,0.1716543569007429,0.0,0.0
2024-01-03 20:30:00,0.0,0.10450927305892115,0.0,0.0
2024-01-03 20:45:00,0.0,0.20937593972558782,0.0,0.0
2024-01-03 21:00:00,0.0,0.3223092730589211,0.0,0.0
2024-01-03 21:15:00,0.0,0.39370927305892106,0.0,0.0
2024-01-03 21:30:00,0.0,0.5053947558483777,0.0,0.0
2024-01-03 21:45:00,0.0,0.3262192113425238,0.0,0.0
2024-01-03 22:00:00,0.0,0.33037593972558776,0.0,0.0
2024-01-03 22:15:00,0.0,0.33037593972558776,0.0,0.0
2024-01-03 22:30:00,0.0,0.21744260639225446,0.0,0.0
2024-01-03 22:45:00,0.0,0.3844426063922544,0.0,0.0
2024-01-03 23:00:00,0.0,0.4519994407425646,0.0,0.0
2024-01-03 23:15:00,0.0,0.31749379213341494,0.0,0.0
2024-01-03 23:30:00,0.0,0.2826904090393402,0.0,0.0
2024-01-03 23:45:00,0.0,0.6007620204314773,0.0,0.0
