,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-03 06:45:00,0.001,0.001,0.0,0.001,2.2796666666666665,0.0
2024-01-03 07:00:00,0.001,0.001,0.0,0.001,1.9307333333333332,0.0
2024-01-03 07:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 07:30:00,0.001,0.001,0.0,0.001,0.146,0.0
2024-01-03 07:45:00,0.001,0.001,0.0,0.001,0.146,0.0
2024-01-03 08:00:00,0.001,0.001,0.0,0.001,0.146,0.0
2024-01-03 08:15:00,0.001,0.001,0.0,0.001,0.24133333333333334,0.0
2024-01-03 08:30:00,0.001,0.001,0.0,0.001,0.1536,0.0
2024-01-03 08:45:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 09:00:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 09:15:00,0.001,0.001,0.0,0.001,0.4548,0.0
2024-01-03 09:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 09:45:00,0.001,0.001,0.0,0.001,1.3424666666666667,0.0
2024-01-03 10:00:00,0.001,0.001,0.0,0.001,1.8656000000000001,0.0
2024-01-03 10:15:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 10:30:00,0.001,0.001,0.0,0.001,0.055,0.0
2024-01-03 10:45:00,0.001,0.001,0.0,0.001,0.059333333333333335,0.0
2024-01-03 11:00:00,0.001,0.001,0.0,0.001,0.068,0.0
2024-01-03 11:15:00,0.001,0.001,0.0,0.001,0.14866666666666667,0.0
2024-01-03 11:30:00,0.001,0.001,0.0,0.001,0.12666666666666665,0.0
2024-01-03 11:45:00,0.001,0.001,0.0,0.001,0.0616,0.0
2024-01-03 12:00:00,0.001,0.001,0.0,0.001,0.089,0.0
2024-01-03 12:15:00,0.001,0.001,0.0,0.001,0.6220666666666667,0.0
2024-01-03 12:30:00,0.001,0.001,0.0,0.001,0.6514133333333333,0.0
2024-01-03 12:45:00,0.001,0.001,0.0,0.001,0.2640333333333333,0.0
2024-01-03 13:00:00,0.001,0.001,0.0,0.001,0.2567,0.0
2024-01-03 13:15:00,0.001,0.001,0.0,0.001,0.19069999999999998,0.0
2024-01-03 13:30:00,0.001,0.001,0.0,0.001,0.21489999999999998,0.0
2024-01-03 13:45:00,0.001,0.001,0.0,0.001,0.3117,0.0
2024-01-03 14:00:00,0.001,0.001,0.0,0.001,0.3278333333333333,0.0
2024-01-03 14:15:00,0.001,0.001,0.0,0.001,0.49870000000000003,0.0
2024-01-03 14:30:00,0.001,0.001,0.0,0.001,0.5060333333333333,0.0
2024-01-03 14:45:00,0.001,0.001,0.0,0.001,0.4327,0.0
2024-01-03 15:00:00,0.001,0.001,0.0,0.001,0.34396666666666664,0.0
2024-01-03 15:15:00,0.001,0.001,0.0,0.001,0.19069999999999998,0.0
2024-01-03 15:30:00,0.001,0.001,0.0,0.001,0.19069999999999998,0.0
2024-01-03 15:45:00,0.001,0.001,0.0,0.001,0.24936666666666663,0.0
2024-01-03 16:00:00,0.001,0.001,0.0,0.001,0.302918864019581,0.0
2024-01-03 16:15:00,0.001,0.001,0.0,0.001,0.2222521973529143,0.0
2024-01-03 16:30:00,0.1592069572115326,0.001,0.0,0.001,0.2222521973529143,0.0
2024-01-03 16:45:00,0.7920347860576631,0.001,0.0,0.001,1.3417855306862476,0.0
2024-01-03 17:00:00,0.7920347860576631,0.001,0.0,0.001,1.8457855306862474,0.0
2024-01-03 17:15:00,0.7920347860576631,0.001,0.0,0.001,0.7817646517450818,0.0
2024-01-03 17:30:00,0.7920347860576631,0.001,0.0,0.001,0.3997,0.0
2024-01-03 17:45:00,0.7920347860576631,0.001,0.0,0.001,0.3117,0.0
2024-01-03 18:00:00,0.7920347860576631,0.001,0.0,0.001,0.19409333333333334,0.0
