,BaseLoad,P_EV,P_WB
2024-01-03 21:00:00,0.6533481011373669,0.0,0.4
2024-01-03 21:15:00,0.20837593972558782,0.0,2.2
2024-01-03 21:30:00,0.3350426063922544,0.0,3.0
2024-01-03 21:45:00,0.45257593972558774,0.0,0.0
2024-01-03 22:00:00,0.3246464427765184,0.0,0.0
2024-01-03 22:15:00,0.3456880467948125,0.0,0.0
2024-01-03 22:30:00,0.4424904090393402,0.0,0.0
2024-01-03 22:45:00,0.282037661666784,0.0,0.0
2024-01-03 23:00:00,0.3097092730589211,0.0,2.4
2024-01-03 23:15:00,0.7970426063922545,0.0,1.8
2024-01-03 23:30:00,0.2882543569007429,0.0,0.0
2024-01-03 23:45:00,0.19655219735291432,0.0,0.0
2024-01-04 00:00:00,0.3412188640195809,0.0,1.2
2024-01-04 00:15:00,0.2520576920980267,0.0,3.0
2024-01-04 00:30:00,0.16033333333333336,0.0,0.4
2024-01-04 00:45:00,0.234,0.0,1.0
2024-01-04 01:00:00,0.06082783858822096,0.0,3.0
2024-01-04 01:15:00,0.608618864019581,0.0,3.0
2024-01-04 01:30:00,0.1375521973529143,0.0,0.2
2024-01-04 01:45:00,0.2305521973529143,0.0,0.0
2024-01-04 02:00:00,0.1178049447254705,0.0,0.0
2024-01-04 02:15:00,0.234,0.0,0.0
2024-01-04 02:30:00,0.06933333333333333,0.0,0.0
2024-01-04 02:45:00,0.44380000000000003,0.0,2.4
2024-01-04 03:00:00,0.044,0.0,2.6
2024-01-04 03:15:00,0.17833333333333334,0.0,0.0
2024-01-04 03:30:00,0.15200000000000002,0.0,0.6
2024-01-04 03:45:00,0.234,0.0,2.6
2024-01-04 04:00:00,0.09466666666666666,0.0,2.8
2024-01-04 04:15:00,0.044,0.0,3.0
2024-01-04 04:30:00,0.044,0.0,0.0
2024-01-04 04:45:00,0.09566666666666666,0.0,0.4
2024-01-04 05:00:00,0.199,0.0,1.6
2024-01-04 05:15:00,0.24433333333333335,0.0,0.0
2024-01-04 05:30:00,0.12000000000000001,0.0,1.8
