,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-03 19:15:00,0.001,6.666666666666667e-05,1.827618864019581,0.0,0.7
2024-01-03 19:30:00,0.001,1.6502666666666668,0.9371376073242297,0.0,1.5
2024-01-03 19:45:00,0.001,1.3504,0.44039707570600684,0.0,0.9
2024-01-03 20:00:00,0.001,1.6502666666666668,0.7016237423726736,0.0,0.0
2024-01-03 20:15:00,0.001,0.0009333333333333333,1.012317075706007,0.0,0.0
2024-01-03 20:30:00,0.001,0.0,0.7986692730589211,0.0,0.0
2024-01-03 20:45:00,0.001,0.0,0.45787785791771973,0.0,0.0
2024-01-03 21:00:00,0.001,0.0,0.4651013589346966,0.0,0.0
2024-01-03 21:15:00,0.001,0.0,0.39804260639225447,0.0,0.0
2024-01-03 21:30:00,0.001,0.0,0.3429092730589211,0.0,0.0
2024-01-03 21:45:00,0.001,0.0,0.7331759397255877,0.0,0.0
2024-01-03 22:00:00,0.001,0.0,0.940339126568727,0.0,0.0
2024-01-03 22:15:00,0.001,0.0,1.0748904090393403,0.0,0.0
2024-01-03 22:30:00,0.001,0.0,0.5834770757060068,0.0,0.0
2024-01-03 22:45:00,0.001,0.0,0.38574374237267345,0.0,0.0
2024-01-03 23:00:00,0.001,0.0,0.26555707570600684,0.0,0.6
2024-01-03 23:15:00,0.001,0.0,0.3249620204314773,0.0,1.5
2024-01-03 23:30:00,0.001,0.0,0.4727092730589211,0.0,1.5
2024-01-03 23:45:00,0.001,0.0,0.5473759397255878,0.0,1.5
2024-01-04 00:00:00,0.001,0.0,0.4820699437934952,0.0,1.5
2024-01-04 00:15:00,0.001,0.0,0.3318855306862476,0.0,0.1
2024-01-04 00:30:00,0.001,0.0,0.3215521973529143,0.0,0.0
2024-01-04 00:45:00,0.001,0.0,0.33658361249411567,0.0,0.7
2024-01-04 01:00:00,0.001,0.0,0.510755060784422,0.0,1.5
2024-01-04 01:15:00,0.001,0.0,0.8729570757060068,0.0,1.5
2024-01-04 01:30:00,0.001,0.0,0.4464904090393401,0.0,1.5
2024-01-04 01:45:00,0.001,0.0,0.3018237423726735,0.0,0.7
2024-01-04 02:00:00,0.001,0.0,0.3018237423726735,0.0,0.7
2024-01-04 02:15:00,0.001,0.0,0.2377215828248449,0.0,1.5
2024-01-04 02:30:00,0.001,0.0,0.238,0.0,0.9
2024-01-04 02:45:00,0.001,0.0,0.1766666666666667,0.0,0.0
2024-01-04 03:00:00,0.001,0.0,0.7050666666666667,0.0,0.9
2024-01-04 03:15:00,0.001,0.0,0.16093333333333334,0.0,1.5
2024-01-04 03:30:00,0.001,0.0,0.169,0.0,0.9
2024-01-04 03:45:00,0.001,0.0,0.30833333333333335,0.0,0.0
2024-01-04 04:00:00,0.001,0.0,0.32099999999999995,0.0,0.0
2024-01-04 04:15:00,0.001,0.0,0.23653333333333335,0.0,0.0
2024-01-04 04:30:00,0.001,0.0,0.15133333333333335,0.0,0.0
2024-01-04 04:45:00,0.001,0.0,0.048,0.0,0.0
2024-01-04 05:00:00,0.001,0.0,0.06066666666666667,0.0,1.5
2024-01-04 05:15:00,0.001,0.0,0.238,0.0,1.5
2024-01-04 05:30:00,0.001,0.0,0.6697333333333334,0.0,1.5
2024-01-04 05:45:00,0.001,0.0,0.19266666666666668,0.0,1.5
2024-01-04 06:00:00,0.001,0.0,0.13066666666666668,0.0,0.2
2024-01-04 06:15:00,0.001,0.0,0.053200000000000004,0.0,1.0
2024-01-04 06:30:00,0.001,0.0,0.137,0.0,1.5
2024-01-04 06:45:00,0.001,0.0,0.251,0.0,1.5
2024-01-04 07:00:00,0.001,0.0,0.22993333333333332,0.0,1.5
2024-01-04 07:15:00,0.001,0.0,1.2155999999999998,0.0,0.4
2024-01-04 07:30:00,0.001,0.0,0.214,0.0,0.0
2024-01-04 07:45:00,0.001,0.0,0.152,0.0,0.0
2024-01-04 08:00:00,0.001,0.0,0.27920000000000006,0.0,0.5
2024-01-04 08:15:00,0.001,0.0,0.22687074440662724,0.0,1.5
2024-01-04 08:30:00,0.001,0.0,0.0908237423726735,0.0,1.5
2024-01-04 08:45:00,0.001,0.0,0.21482374237267352,0.0,1.5
2024-01-04 09:00:00,0.001,0.0,0.10115707570600684,0.0,1.5
2024-01-04 09:15:00,0.001,0.0,0.07249040903934016,0.0,1.5
2024-01-04 09:30:00,0.001,0.0,0.23878824949151156,0.0,1.5
2024-01-04 09:45:00,0.001,0.0,0.13666666666666666,0.0,1.5
2024-01-04 10:00:00,0.001,0.0,0.09966666666666667,0.0,1.5
2024-01-04 10:15:00,0.001,0.0,0.203,0.0,1.5
2024-01-04 10:30:00,0.001,0.0,0.06866666666666667,0.0,1.5
2024-01-04 10:45:00,0.001,0.0,0.12399999999999999,0.0,1.5
2024-01-04 11:00:00,0.001,0.0,0.238,0.0,1.5
2024-01-04 11:15:00,0.001,0.0,0.07333333333333333,0.0,1.5
2024-01-04 11:30:00,0.001,0.0,0.6534,0.0,1.5
2024-01-04 11:45:00,0.001,0.0,0.7360666666666666,0.0,1.5
2024-01-04 12:00:00,0.001,0.0,0.048,0.0,1.5
2024-01-04 12:15:00,0.001,0.0,0.7531999999999999,0.0,1.5
2024-01-04 12:30:00,0.001,0.0,2.7226666666666666,0.0,1.5
2024-01-04 12:45:00,0.001,0.0,1.1927333333333332,0.0,1.5
2024-01-04 13:00:00,0.001,0.0,0.16188249491511567,0.0,1.5
2024-01-04 13:15:00,0.001,0.0,0.20715707570600683,0.0,1.5
2024-01-04 13:30:00,0.001,0.0,0.08202374237267351,0.0,1.5
2024-01-04 13:45:00,0.001,0.0,0.7828904090393404,0.0,1.5
2024-01-04 14:00:00,0.001,0.0,0.5482904090393402,0.0,1.5
2024-01-04 14:15:00,0.001,0.0,0.053517746440580966,0.0,1.5
2024-01-04 14:30:00,0.001,0.0,0.5614666666666667,0.0,1.5
2024-01-04 14:45:00,0.001,0.0,0.21006666666666668,0.0,1.5
2024-01-04 15:00:00,0.001,0.0,0.3418,0.0,1.5
2024-01-04 15:15:00,0.001,0.0,0.5125972719569425,0.0,1.5
2024-01-04 15:30:00,0.001,0.0,0.35870927305892114,0.0,1.5
2024-01-04 15:45:00,0.001,0.0,0.3333759397255877,0.0,1.5
2024-01-04 16:00:00,0.001,0.0,0.38704260639225446,0.0,1.5
2024-01-04 16:15:00,0.001,0.0,0.29670519531896056,0.0,1.5
2024-01-04 16:30:00,0.001,0.0,0.2549173991176381,4.0,1.5
2024-01-04 16:45:00,0.001,0.0,0.213,15.0,1.5
2024-01-04 17:00:00,0.001,0.0,0.061000000000000006,15.0,1.5
2024-01-04 17:15:00,0.001,0.0,0.17139999999999997,1.0,1.5
2024-01-04 17:30:00,0.001,0.0,0.20906666666666668,0.0,1.5
2024-01-04 17:45:00,0.001,0.0,0.133,0.0,1.5
2024-01-04 18:00:00,0.001,0.0,0.238,0.0,1.5
2024-01-04 18:15:00,0.001,0.0,0.13666666666666666,0.0,1.5
2024-01-04 18:30:00,0.001,0.0,0.048,0.0,1.5
2024-01-04 18:45:00,0.001,0.0,0.14126666666666668,0.0,1.5
2024-01-04 19:00:00,0.001,0.0,0.324,0.0,1.5
2024-01-04 19:15:00,0.001,0.0,0.30849040903934016,0.0,1.5
2024-01-04 19:30:00,0.001,0.0,0.3708237423726735,0.0,1.5
2024-01-04 19:45:00,0.001,0.0,0.32223564674519917,0.0,1.5
2024-01-04 20:00:00,0.001,0.0,0.4216959397255877,0.0,1.5
2024-01-04 20:15:00,0.001,0.0,0.9077759397255878,0.0,1.5
2024-01-04 20:30:00,0.001,0.0,0.5733092730589211,0.0,1.5
2024-01-04 20:45:00,0.001,0.0,0.5947092730589211,0.0,1.5
2024-01-04 21:00:00,0.001,0.0,0.5521759397255878,0.0,1.5
2024-01-04 21:15:00,0.001,0.0,0.2065759397255878,0.0,1.5
2024-01-04 21:30:00,0.001,0.0,0.15190927305892113,0.0,1.5
2024-01-04 21:45:00,0.001,0.0,0.2743759397255878,0.0,1.5
2024-01-04 22:00:00,0.001,0.0,1.1122426063922544,0.0,1.5
2024-01-04 22:15:00,0.001,0.0,0.533709273058921,0.0,1.5
2024-01-04 22:30:00,0.001,0.0,0.8131718619856272,0.0,1.5
2024-01-04 22:45:00,0.001,0.0,0.3333759397255877,0.0,1.5
