,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.3046999999999999,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.3046999999999999,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.31736666666666663,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.4866333333333333,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.3103666666666667,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.001,0.1837,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.001,0.1837,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.001,0.1837,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.001,0.1932333333333333,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.0,0.001,0.3850688262144953,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.001,0.4169904090393402,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.0,0.001,0.32865707570600683,0.0,1.6666666666666667
2024-01-01 19:30:00,0.001,0.001,0.0,0.001,0.3572043283334506,0.0,5.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.001,0.4690759397255878,0.0,0.3333333333333333
2024-01-01 20:00:00,0.001,0.001,0.0,0.001,0.46434644277651843,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.0,0.001,0.49710711351109255,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.0,0.001,0.9269426063922545,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.0,0.001,0.4820759397255878,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.001,0.4820759397255878,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.0,0.001,0.4820759397255878,0.0,5.0
2024-01-01 21:30:00,0.001,0.001,0.0,0.001,0.4552759397255878,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.001,0.47474260639225446,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.001,0.5364994407425646,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.0,0.001,0.3536483609686504,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.0,0.001,0.37192868709814403,0.0,2.3333333333333335
2024-01-01 22:45:00,0.001,0.001,0.0,0.001,0.4669724599020602,0.0,0.3333333333333333
2024-01-01 23:00:00,0.001,0.001,0.0,0.001,0.4690759397255878,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.5704092730589211,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.5444092730589211,0.0,1.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.2487994407425647,0.0,3.6666666666666665
2024-01-02 00:00:00,0.001,0.001,0.0,0.001,0.20055219735291427,0.0,0.0
2024-01-02 00:15:00,0.001,0.001,0.0,0.001,0.11322783858822097,0.0,3.6666666666666665
2024-01-02 00:30:00,0.001,0.001,0.0,0.001,0.048,0.0,3.3333333333333335
2024-01-02 00:45:00,0.001,0.001,0.0,0.001,0.12399999999999999,0.0,0.0
2024-01-02 01:00:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-02 01:15:00,0.001,0.001,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-02 01:30:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-02 01:45:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-02 02:00:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,2.0
2024-01-02 02:15:00,0.001,0.001,0.0,0.001,0.11166666666666666,0.0,0.0
2024-01-02 02:30:00,0.001,0.001,0.0,0.001,0.24406666666666668,0.0,0.0
2024-01-02 02:45:00,0.001,0.001,0.0,0.001,0.13666666666666666,0.0,2.3333333333333335
2024-01-02 03:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.3333333333333333
2024-01-02 03:30:00,0.001,0.001,0.0,0.001,0.1448,0.0,3.6666666666666665
2024-01-02 03:45:00,0.001,0.001,0.0,0.001,0.19433333333333333,0.0,0.0
2024-01-02 04:00:00,0.001,0.001,0.0,0.001,0.359,0.0,0.0
2024-01-02 04:15:00,0.001,0.001,0.0,0.001,0.28300000000000003,0.0,0.0
2024-01-02 04:30:00,0.001,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-02 04:45:00,0.001,0.001,0.0,0.001,0.08833333333333335,0.0,0.0
2024-01-02 05:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-02 05:15:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-02 05:30:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-02 05:45:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,0.0
2024-01-02 06:00:00,0.001,0.001,0.0,0.001,0.048,0.0,1.3333333333333333
2024-01-02 06:15:00,0.001,0.001,0.0,0.001,0.048,0.0,1.0
2024-01-02 06:30:00,0.001,0.001,0.0,0.001,0.048,0.0,3.0
2024-01-02 06:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.3333333333333333
2024-01-02 07:00:00,0.001,0.001,0.0,0.001,0.21439999999999998,0.0,0.0
2024-01-02 07:15:00,0.001,0.001,0.0,0.001,0.22566666666666665,0.0,2.6666666666666665
2024-01-02 07:30:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,1.3333333333333333
2024-01-02 07:45:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-02 08:00:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-02 08:15:00,0.001,0.001,0.0,0.001,0.04886666666666666,0.0,0.0
2024-01-02 08:30:00,0.4756208716345978,0.001,0.0,0.001,0.1882,0.0,0.0
2024-01-02 08:45:00,0.7920347860576631,0.001,0.0,0.001,2.090066666666667,0.0,2.0
2024-01-02 09:00:00,0.7920347860576631,0.001,0.0,0.001,2.041533333333333,0.0,0.3333333333333333
2024-01-02 09:15:00,0.7920347860576631,0.001,0.0,0.036593312409691596,0.061000000000000006,0.0,1.3333333333333333
2024-01-02 09:30:00,0.7920347860576631,0.001,0.0,0.19006134212123083,0.05753333333333333,0.0,3.6666666666666665
2024-01-02 09:45:00,0.7920347860576631,0.001,0.0,0.7803025484349668,0.12060000000000001,0.0,0.0
2024-01-02 10:00:00,0.7920347860576631,0.001,0.0,0.5492199581826239,0.3233333333333333,0.0,0.0
2024-01-02 10:15:00,0.7920347860576631,0.001,0.0,0.1434513441698239,0.8797999999999999,0.0,0.0
2024-01-02 10:30:00,0.7920347860576631,0.001,0.0,0.2554147936828785,1.4348666666666667,0.0,0.0
2024-01-02 10:45:00,0.7920347860576631,0.001,0.0,0.67508669111518,1.5729333333333335,0.0,0.0
2024-01-02 11:00:00,0.7920347860576631,0.001,0.0,0.09870951859967539,0.15498205086272004,0.0,0.3333333333333333
2024-01-02 11:15:00,0.7920347860576631,0.001,0.0,0.18557756726486918,0.0925521973529143,0.0,4.0
2024-01-02 11:30:00,0.7920347860576631,0.001,0.0,0.8314813029734992,0.18121886401958096,0.0,1.6666666666666667
2024-01-02 11:45:00,0.7920347860576631,0.001,0.0,1.341038226434923,0.27648553068624765,0.0,1.6666666666666667
2024-01-02 12:00:00,0.6338278288461304,0.001,0.0,0.14565805940498583,0.13034523770585907,0.0,2.3333333333333335
2024-01-02 12:15:00,0.001,0.001,0.0,0.15539743014652482,0.1578,0.0,1.0
2024-01-02 12:30:00,0.001,0.001,0.0,0.326329885707718,0.182,0.0,0.6666666666666666
2024-01-02 12:45:00,0.001,0.001,0.0,0.2819603052988337,2.1012,0.0,2.6666666666666665
2024-01-02 13:00:00,0.001,0.001,0.0,0.001,0.5591333333333334,0.0,0.0
2024-01-02 13:15:00,0.001,0.001,0.0,0.001,0.359,0.0,0.0
2024-01-02 13:30:00,0.001,0.001,0.0,0.001,0.18502087894116573,0.0,0.0
2024-01-02 13:45:00,0.001,0.001,0.0,0.001,0.4793521973529143,0.0,0.0
