,DishWasher,BaseLoad,P_HP,P_WB
2024-01-03 14:15:00,0.001,0.048,0.0,0.0
2024-01-03 14:30:00,0.0008,0.07333333333333333,0.0,0.0
2024-01-03 14:45:00,0.0,0.24233333333333332,0.0,0.0
2024-01-03 15:00:00,0.0,0.11166666666666666,1.4666666666666666,0.0
2024-01-03 15:15:00,0.0,0.061000000000000006,0.8,0.8
2024-01-03 15:30:00,0.0,0.061000000000000006,0.0,3.0
2024-01-03 15:45:00,0.0,0.46080000000000004,0.0,0.0
2024-01-03 16:00:00,0.0,0.27080000000000004,0.0,0.0
2024-01-03 16:15:00,0.0,0.7584,0.0,0.0
2024-01-03 16:30:00,0.0,0.048,0.0,0.0
2024-01-03 16:45:00,0.0,0.1448,0.0,0.0
2024-01-03 17:00:00,0.0,0.169,0.0,0.0
2024-01-03 17:15:00,0.0,0.169,0.0,1.0
2024-01-03 17:30:00,0.0,0.43587043947058285,0.0,3.0
2024-01-03 17:45:00,0.0,0.45371886401958095,0.0,0.8
2024-01-03 18:00:00,0.0,0.28471886401958096,0.0,0.0
2024-01-03 18:15:00,0.0,1.2943855306862475,0.0,0.0
2024-01-03 18:30:00,0.0,0.23849944074256466,2.0,2.6
2024-01-03 18:45:00,0.0,0.24993564674519925,0.26666666666666666,2.8
2024-01-03 19:00:00,0.0,0.3933237423726735,0.0,1.0
2024-01-03 19:15:00,0.0,0.25919040903934015,0.0,2.6
2024-01-03 19:30:00,0.0,0.2085237423726735,0.0,0.0
2024-01-03 19:45:00,0.0,0.23517447482364495,0.0,0.0
2024-01-03 20:00:00,0.0,0.3610759397255878,0.0,0.0
2024-01-03 20:15:00,0.0,0.44974260639225444,0.0,0.0
2024-01-03 20:30:00,0.0,0.5536759397255878,0.0,1.2
2024-01-03 20:45:00,0.0,0.4690759397255878,0.0,3.0
2024-01-03 21:00:00,0.0,0.4690759397255878,0.0,1.2
2024-01-03 21:15:00,0.0,0.4690759397255878,0.0,2.8
2024-01-03 21:30:00,0.0,0.4690759397255878,0.0,1.4
2024-01-03 21:45:00,0.0,0.633209273058921,1.2,1.8
2024-01-03 22:00:00,0.0,0.7272391265687268,1.0666666666666667,0.0
2024-01-03 22:15:00,0.0,0.8818759397255878,0.0,1.6
2024-01-03 22:30:00,0.0,0.47947593972558783,0.0,3.0
2024-01-03 22:45:00,0.0,0.7603159397255878,0.0,1.8
2024-01-03 23:00:00,0.0,0.2457759397255878,0.0,0.0
2024-01-03 23:15:00,0.0,0.4441759397255878,0.0,0.0
2024-01-03 23:30:00,0.0,0.3865252072746163,0.0,0.0
