,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 16:45:00,0.42744810113736686,0.0,0.0,0.0
2024-01-01 17:00:00,1.1389393292654257,0.0,0.0,0.0
2024-01-01 17:15:00,0.5860570757060068,0.0,0.0,0.0
2024-01-01 17:30:00,0.3195237423726735,0.0,0.0,0.0
2024-01-01 17:45:00,0.40019040903934017,0.0,0.0,1.6
2024-01-01 18:00:00,0.5628021595478285,0.0,0.0,0.2
2024-01-01 18:15:00,0.6355278385882209,0.0,0.0,1.2
2024-01-01 18:30:00,0.8407855306862476,0.0,0.0,0.4
2024-01-01 18:45:00,0.9948953630026041,0.0,0.0,0.0
2024-01-01 19:00:00,0.4478759397255878,0.0,0.0,0.0
2024-01-01 19:15:00,0.4937426063922545,0.0,0.0,0.0
2024-01-01 19:30:00,0.7386092730589212,0.0,0.0,0.0
2024-01-01 19:45:00,0.8505057932353935,0.0,0.0,1.2
2024-01-01 20:00:00,0.6515585406079496,0.0,0.0,2.6
2024-01-01 20:15:00,0.4123692730589211,0.0,0.5333333333333333,0.0
2024-01-01 20:30:00,0.33637593972558777,0.0,2.6666666666666665,0.0
2024-01-01 20:45:00,0.27184260639225444,0.0,0.0,0.2
2024-01-01 21:00:00,0.2153759397255878,0.0,0.0,3.0
2024-01-01 21:15:00,0.24070927305892112,0.0,0.0,3.0
2024-01-01 21:30:00,0.36504260639225444,0.0,0.0,1.8
2024-01-01 21:45:00,0.28409535376481065,0.0,0.0,0.0
2024-01-01 22:00:00,0.24764260639225447,0.0,0.0,0.0
2024-01-01 22:15:00,0.7361759397255878,0.0,0.0,0.0
2024-01-01 22:30:00,0.33637593972558777,0.0,0.0,0.0
2024-01-01 22:45:00,0.33637593972558777,0.0,0.0,0.8
2024-01-01 23:00:00,0.9963759397255878,0.0,0.0,0.4
2024-01-01 23:15:00,1.5263759397255876,0.0,0.0,0.0
2024-01-01 23:30:00,0.9048237423726735,0.0,0.0,1.2
2024-01-01 23:45:00,0.7046237423726734,0.0,0.0,1.2
2024-01-02 00:00:00,0.3048237423726735,0.0,0.0,0.0
2024-01-02 00:15:00,0.8378904090393402,0.0,0.0,1.8
2024-01-02 00:30:00,0.2863570757060068,0.0,0.0,0.0
2024-01-02 00:45:00,0.3092904090393402,0.0,0.0,0.0
2024-01-02 01:00:00,0.15149040903934016,0.0,0.0,0.0
2024-01-02 01:15:00,0.0628237423726735,0.0,0.0,0.0
2024-01-02 01:30:00,0.05967074440662724,0.0,0.0,0.0
2024-01-02 01:45:00,0.051,0.0,0.0,0.0
2024-01-02 02:00:00,0.051,0.0,0.8,0.0
2024-01-02 02:15:00,0.19033333333333333,0.0,2.4,1.2
2024-01-02 02:30:00,0.22833333333333333,0.0,0.0,0.0
2024-01-02 02:45:00,0.18426666666666666,0.0,0.0,0.2
2024-01-02 03:00:00,0.4508,0.0,0.0,1.2
2024-01-02 03:15:00,0.054152997966046265,0.0,0.0,0.0
2024-01-02 03:30:00,0.5958904090393401,0.0,0.0,0.0
2024-01-02 03:45:00,0.23449040903934018,0.0,0.0,0.0
2024-01-02 04:00:00,0.3738237423726735,0.0,0.0,0.0
2024-01-02 04:15:00,0.7928904090393403,0.0,0.0,1.2
2024-01-02 04:30:00,0.17515299796604628,0.0,0.0,0.0
2024-01-02 04:45:00,0.5718,0.0,0.0,2.0
2024-01-02 05:00:00,0.08326666666666666,0.0,0.0,0.0
2024-01-02 05:15:00,0.051,0.0,0.0,0.0
2024-01-02 05:30:00,0.20299999999999999,0.0,0.0,0.0
2024-01-02 05:45:00,0.7487333333333335,0.0,0.0,1.0
2024-01-02 06:00:00,0.051,0.0,0.0,1.6
2024-01-02 06:15:00,0.051,0.0,0.0,0.0
2024-01-02 06:30:00,0.051,0.0,0.0,2.8
2024-01-02 06:45:00,0.5840666666666666,0.0,0.0,2.6
2024-01-02 07:00:00,0.11433333333333333,0.0,0.0,3.0
2024-01-02 07:15:00,0.241,0.0,0.0,3.0
2024-01-02 07:30:00,0.5141333333333333,0.0,0.0,3.0
2024-01-02 07:45:00,0.051,0.0,0.0,3.0
2024-01-02 08:00:00,0.051,0.0,0.0,3.0
2024-01-02 08:15:00,0.06713333333333332,0.0,3.2,3.0
2024-01-02 08:30:00,0.172,0.0,0.0,3.0
2024-01-02 08:45:00,0.33666666666666667,0.0,0.0,3.0
2024-01-02 09:00:00,0.32399999999999995,0.0,0.0,3.0
