,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-03 14:00:00,0.0,0.001,0.15733333333333333,0.0
2024-01-03 14:15:00,0.0,0.001,0.1366666666666667,0.0
2024-01-03 14:30:00,0.0,0.001,0.11466666666666667,0.0
2024-01-03 14:45:00,0.0,0.001,0.056,0.0
2024-01-03 15:00:00,0.0,0.001,0.5088,0.0
2024-01-03 15:15:00,0.0,0.001,0.3416666666666667,0.0
2024-01-03 15:30:00,0.0,0.001,0.35033333333333333,0.0
2024-01-03 15:45:00,0.0,0.001,0.38699999999999996,0.0
2024-01-03 16:00:00,0.0,0.001,0.30767074440662723,0.0
2024-01-03 16:15:00,0.0,0.001,0.6218904090393402,0.0
2024-01-03 16:30:00,0.0,0.001,0.31289040903934023,0.0
2024-01-03 16:45:00,0.0,0.001,0.12782374237267352,0.0
2024-01-03 17:00:00,0.0,0.001,0.3079437423726735,13.0
2024-01-03 17:15:00,0.0,0.001,0.5051147678040334,15.0
2024-01-03 17:30:00,0.0,0.001,0.5035737801777592,15.0
2024-01-03 17:45:00,0.0,0.001,0.3122521973529143,15.0
2024-01-03 18:00:00,0.0,0.001,0.334118864019581,5.0
2024-01-03 18:15:00,0.0,0.001,0.35818553068624764,0.0
2024-01-03 18:30:00,0.0,0.001,0.35357362631372186,0.0
2024-01-03 18:45:00,0.0,0.001,0.44596666666666657,0.0
2024-01-03 19:00:00,0.0,0.001,0.7251666666666666,0.0
2024-01-03 19:15:00,0.0,0.001,0.9336333333333333,0.0
2024-01-03 19:30:00,0.0,0.001,0.4828333333333334,0.0
2024-01-03 19:45:00,0.0,0.001,0.5083707444066273,0.0
2024-01-03 20:00:00,0.0,0.001,0.5117637423726735,0.0
2024-01-03 20:15:00,0.0,0.001,0.6048892730589212,0.0
2024-01-03 20:30:00,0.0,0.001,0.6496759397255878,0.0
2024-01-03 20:45:00,0.0,0.001,0.4713426063922545,0.0
2024-01-03 21:00:00,0.0,0.001,0.45240927305892115,0.0
2024-01-03 21:15:00,0.0,0.001,0.3570759397255878,0.0
2024-01-03 21:30:00,0.0,0.001,0.8627973686863954,0.0
2024-01-03 21:45:00,0.0,0.001,0.3316504090393402,0.0
2024-01-03 22:00:00,0.0,0.001,0.5279112879805059,0.0
2024-01-03 22:15:00,0.0,0.001,0.5686464427765184,0.0
2024-01-03 22:30:00,0.0,0.001,1.0111092730589213,0.0
2024-01-03 22:45:00,0.0,0.001,0.46337593972558777,0.0
2024-01-03 23:00:00,0.0,0.001,0.28244260639225444,0.0
2024-01-03 23:15:00,0.0,0.001,0.9127988335883384,0.0
2024-01-03 23:30:00,0.0,0.001,0.16315707570600685,0.0
2024-01-03 23:45:00,0.0,0.001,0.5932628302824027,0.0
2024-01-04 00:00:00,0.0,0.001,0.177,0.0
2024-01-04 00:15:00,0.0,0.001,0.177,0.0
2024-01-04 00:30:00,0.0,0.001,0.31633333333333336,0.0
2024-01-04 00:45:00,0.0,0.001,0.28099999999999997,0.0
2024-01-04 01:00:00,0.0,0.001,0.25033333333333335,0.0
2024-01-04 01:15:00,0.0,0.001,0.20726666666666665,0.0
2024-01-04 01:30:00,0.0,0.001,0.191,0.0
