,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-08-03 16:42:00,1.0,0,0,0,0.0,0.0,20.0,24.529266456908573,24.285423929880896,26.60333,0.36222655735187775,0.0,0.06626289702551712,60.0,55.13144851275856,0.0
2024-08-03 16:43:00,1.0,0,0,0,0.0,0.0,20.0,24.53110125679204,24.28646690977228,26.60333,0.36222655735187775,0.0,0.06646840162699459,60.0,55.234200813497296,0.0
2024-08-03 16:44:00,1.0,0,0,0,0.0,0.0,20.0,24.532935173789017,24.287510353380032,26.60333,0.36222655735187775,0.0,0.06667387677248524,60.0,55.336938386242615,0.0
2024-08-03 16:45:00,1.0,0,0,0,0.0,0.0,20.0,24.53476820929533,24.288554259152356,26.60333,0.36222655735187775,0.0,0.0668793224662111,60.0,55.439661233105554,0.0
2024-08-03 16:46:00,1.0,0,0,0,0.0,0.0,20.0,24.53660036470378,24.289598625541032,26.60333,0.36222655735187775,0.0,0.06708473871239369,60.0,55.54236935619684,0.0
2024-08-03 16:47:00,1.0,0,0,0,0.0,0.0,20.0,24.538431641404145,24.29064345100142,26.60333,0.36222655735187775,0.0,0.06729012551525383,60.0,55.64506275762692,0.0
2024-08-03 16:48:00,1.0,0,0,0,0.0,0.0,20.0,24.540262040783187,24.291688733992434,26.60333,0.36222655735187775,0.0,0.0674954828790118,60.0,55.7477414395059,0.0
2024-08-03 16:49:00,1.0,0,0,0,0.0,0.0,20.0,24.54209156422466,24.292734472976555,26.60333,0.36222655735187775,0.0,0.06770081080788724,60.0,55.85040540394362,0.0
2024-08-03 16:50:00,1.0,0,0,0,0.0,0.0,20.0,24.54392021310931,24.293780666419803,26.60333,0.36222655735187775,0.0,0.0679061093060992,60.0,55.9530546530496,0.0
2024-08-03 16:51:00,1.0,0,0,0,0.0,0.0,20.0,24.545747988814888,24.29482731279174,26.60333,0.36222655735187775,0.0,0.06811137837786611,60.0,56.05568918893306,0.0
2024-08-03 16:52:00,1.0,0,0,0,0.0,0.0,20.0,24.54757489271616,24.29587441056546,26.60333,0.36222655735187775,0.0,0.06831661802740584,60.0,56.15830901370292,0.0
2024-08-03 16:53:00,1.0,0,0,0,0.0,0.0,20.0,24.549400926184905,24.296921958217585,26.60333,0.36222655735187775,0.0,0.0685218282589356,60.0,56.2609141294678,0.0
2024-08-03 16:54:00,1.0,0,0,0,0.0,0.0,20.0,24.551226090589928,24.297969954228243,26.60333,0.36222655735187775,0.0,0.06872700907667202,60.0,56.36350453833601,0.0
2024-08-03 16:55:00,1.0,0,0,0,0.0,0.0,20.0,24.553050387297063,24.29901839708108,26.60333,0.36222655735187775,0.0,0.06893216048483111,60.0,56.46608024241556,0.0
2024-08-03 16:56:00,1.0,0,0,0,0.0,0.0,20.0,24.55487381766918,24.300067285263236,26.60333,0.36222655735187775,0.0,0.06913728248762832,60.0,56.56864124381416,0.0
2024-08-03 16:57:00,1.0,0,0,0,0.0,0.0,20.0,24.556696383066193,24.301116617265343,26.60333,0.36222655735187775,0.0,0.06934237508927844,60.0,56.671187544639224,0.0
2024-08-03 16:58:00,1.0,0,0,0,0.0,0.0,20.0,24.55851808484507,24.302166391581526,26.60333,0.36222655735187775,0.0,0.0695474382939957,60.0,56.773719146997855,0.0
2024-08-03 16:59:00,1.0,0,0,0,0.0,0.0,20.0,24.560338924359833,24.303216606709373,26.60333,0.36222655735187775,0.0,0.06975247210599371,60.0,56.87623605299685,0.0
2024-08-03 17:00:00,1.0,0,0,0,0.0,0.0,20.0,24.56215890296157,24.304267261149953,28.815,0.36222655735187775,0.0,0.06995747652948543,60.0,56.97873826474272,0.0
2024-08-03 17:01:00,1.0,0,0,0,0.0,0.0,20.0,24.563320392311514,24.30607273949045,28.815,0.36222655735187775,0.0,0.07016245156868331,60.0,57.081225784341655,0.0
2024-08-03 17:02:00,1.0,0,0,0,0.0,0.0,20.0,24.56448247441644,24.307876935517406,28.815,0.36222655735187775,0.0,0.07036739722779912,60.0,57.18369861389956,0.0
2024-08-03 17:03:00,1.0,0,0,0,0.0,0.0,20.0,24.56564514736279,24.309679851608756,28.815,0.36222655735187775,0.0,0.07057231351104407,60.0,57.28615675552203,0.0
2024-08-03 17:04:00,1.0,0,0,0,0.0,0.0,20.0,24.56680840924141,24.311481490137183,28.815,0.36222655735187775,0.0,0.07077720042262871,60.0,57.388600211314355,0.0
2024-08-03 17:05:00,1.0,0,0,0,0.0,0.0,20.0,24.56797225814755,24.313281853470123,28.815,0.36222655735187775,1.92556,0.07098205796676307,60.0,57.49102898338153,1.0
2024-08-03 17:06:00,1.0,0,0,0,0.0,0.0,20.0,24.569136692180834,24.315080943969793,28.815,0.36222655735187775,0.0,0.07091088614765652,60.0,57.455443073828256,0.0
2024-08-03 17:07:00,1.0,0,0,0,0.0,0.0,20.0,24.57030170944527,24.316878763993184,28.815,0.36222655735187775,0.0,0.07111572452995737,60.0,57.55786226497869,0.0
2024-08-03 17:08:00,1.0,0,0,0,0.0,0.0,20.0,24.571467308049233,24.318675315892087,28.815,0.36222655735187775,0.0,0.07132053355176388,60.0,57.66026677588194,0.0
2024-08-03 17:09:00,1.0,0,0,0,0.0,0.0,20.0,24.57263348610545,24.320470602013096,28.815,0.36222655735187775,0.0,0.0715253132172844,60.0,57.7626566086422,0.0
2024-08-03 17:10:00,1.0,0,0,0,0.0,0.0,20.0,24.573800241730996,24.322264624697624,28.815,0.36222655735187775,0.0,0.07173006353072674,60.0,57.86503176536337,0.0
2024-08-03 17:11:00,1.0,0,0,0,0.0,0.0,20.0,24.57496757304729,24.32405738628191,28.815,0.36222655735187775,0.0,0.07193478449629806,60.0,57.96739224814903,0.0
2024-08-03 17:12:00,1.0,0,0,0,0.0,0.0,20.0,24.576135478180063,24.325848889097045,28.815,0.36222655735187775,0.0,0.07213947611820495,60.0,58.06973805910248,0.0
2024-08-03 17:13:00,1.0,0,0,0,0.0,0.0,20.0,24.57730395525938,24.327639135468964,28.815,0.36222655735187775,0.0,0.07234413840065337,60.0,58.17206920032669,0.0
2024-08-03 17:14:00,1.0,0,0,0,0.0,0.0,20.0,24.578473002419603,24.32942812771846,28.815,0.36222655735187775,0.0,0.0725487713478487,60.0,58.27438567392435,0.0
2024-08-03 17:15:00,1.0,0,0,0,0.0,0.0,20.0,24.579642617799394,24.33121586816122,28.815,0.36222655735187775,1.92556,0.07275337496399568,60.0,58.37668748199784,1.0
2024-08-03 17:16:00,1.0,0,0,0,0.0,0.0,20.0,24.580812799541704,24.3330023591078,28.815,0.36222655735187775,0.0,0.0726819492532985,60.0,58.34097462664925,0.0
2024-08-03 17:17:00,1.0,0,0,0,0.0,0.0,20.0,24.581983545793765,24.33478760286367,28.815,0.36222655735187775,0.0,0.07288653378040028,60.0,58.443266890200135,0.0
2024-08-03 17:18:00,1.0,0,0,0,0.0,0.0,20.0,24.583154854707075,24.336571601729197,28.815,0.36222655735187775,0.0,0.073091088983394,60.0,58.545544491697,0.0
2024-08-03 17:19:00,1.0,0,0,0,0.0,0.0,20.0,24.584326724437393,24.338354357999677,28.815,0.36222655735187775,0.0,0.07329561486648287,60.0,58.64780743324143,0.0
2024-08-03 17:20:00,1.0,0,0,0,0.0,0.0,20.0,24.585499153144728,24.340135873965334,28.815,0.36222655735187775,0.0,0.07350011143386942,60.0,58.75005571693471,0.0
2024-08-03 17:21:00,1.0,0,0,0,0.0,0.0,20.0,24.586672138993325,24.341916151911345,28.815,0.36222655735187775,0.0,0.07370457868975563,60.0,58.85228934487782,0.0
2024-08-03 17:22:00,1.0,0,0,0,0.0,0.0,20.0,24.587845680151666,24.343695194117835,28.815,0.36222655735187775,0.0,0.07390901663834286,60.0,58.95450831917143,0.0
2024-08-03 17:23:00,1.0,0,0,0,0.0,0.0,20.0,24.58901977479245,24.345473002859897,28.815,0.36222655735187775,0.0,0.07411342528383187,60.0,59.05671264191594,0.0
