,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-07-29 02:03:00,2.0,0,0,0,0.0,0.0,15.0,15.369060777328823,16.021972909916517,16.29,0.36655901510803535
2024-07-29 02:04:00,2.0,0,0,0,0.0,0.0,15.0,15.371152188645961,16.02014093442028,16.29,0.36655901510803535
2024-07-29 02:05:00,2.0,0,0,0,0.0,0.0,15.0,15.373231190130488,16.018323501445106,16.29,0.36655901510803535
2024-07-29 02:06:00,2.0,0,0,0,0.0,0.0,15.0,15.375297866944198,16.016520509079257,16.29,0.36655901510803535
2024-07-29 02:07:00,2.0,0,0,0,0.0,0.0,15.0,15.377352303657831,16.01473185611934,16.29,0.36655901510803535
2024-07-29 02:08:00,2.0,0,0,0,0.0,0.0,15.0,15.379394584255179,16.01295744206541,16.29,0.36655901510803535
2024-07-29 02:09:00,2.0,0,0,0,0.0,0.0,15.0,15.381424792137157,16.01119716711607,16.29,0.36655901510803535
2024-07-29 02:10:00,2.0,0,0,0,0.0,0.0,15.0,15.38344301012586,16.009450932163617,16.29,0.36655901510803535
2024-07-29 02:11:00,2.0,0,0,0,0.0,0.0,15.0,15.38544932046858,16.007718638789232,16.29,0.36655901510803535
2024-07-29 02:12:00,2.0,0,0,0,0.0,0.0,15.0,15.387443804841794,16.00600018925819,16.29,0.36655901510803535
2024-07-29 02:13:00,2.0,0,0,0,0.0,0.0,15.0,15.389426544355139,16.00429548651511,16.29,0.36655901510803535
2024-07-29 02:14:00,2.0,0,0,0,0.0,0.0,15.0,15.391397619555338,16.002604434179233,16.29,0.36655901510803535
2024-07-29 02:15:00,2.0,0,0,0,0.0,0.0,15.0,15.39335711043012,16.000926936539727,16.29,0.36655901510803535
2024-07-29 02:16:00,2.0,0,0,0,0.0,0.0,15.0,15.395305096412093,15.999262898551057,16.29,0.36655901510803535
2024-07-29 02:17:00,2.0,0,0,0,0.0,0.0,15.0,15.39724165638261,15.99761222582834,16.29,0.36655901510803535
2024-07-29 02:18:00,2.0,0,0,0,0.0,0.0,15.0,15.39916686867559,15.995974824642765,16.29,0.36655901510803535
2024-07-29 02:19:00,2.0,0,0,0,0.0,0.0,15.0,15.401080811081322,15.99435060191704,16.29,0.36655901510803535
2024-07-29 02:20:00,2.0,0,0,0,0.0,0.0,15.0,15.402983560850247,15.992739465220856,16.29,0.36655901510803535
2024-07-29 02:21:00,2.0,0,0,0,0.0,0.0,15.0,15.404875194696698,15.991141322766401,16.29,0.36655901510803535
2024-07-29 02:22:00,2.0,0,0,0,0.0,0.0,15.0,15.406755788802633,15.98955608340389,16.29,0.36655901510803535
2024-07-29 02:23:00,2.0,0,0,0,0.0,0.0,15.0,15.408625418821325,15.987983656617141,16.29,0.36655901510803535
2024-07-29 02:24:00,2.0,0,0,0,0.0,0.0,15.0,15.41048415988104,15.986423952519166,16.29,0.36655901510803535
2024-07-29 02:25:00,2.0,0,0,0,0.0,0.0,15.0,15.412332086588682,15.984876881847802,16.29,0.36655901510803535
2024-07-29 02:26:00,2.0,0,0,0,0.0,0.0,15.0,15.414169273033412,15.983342355961373,16.29,0.36655901510803535
2024-07-29 02:27:00,2.0,0,0,0,0.0,0.0,15.0,15.415995792790248,15.981820286834377,16.29,0.36655901510803535
2024-07-29 02:28:00,2.0,0,0,0,0.0,0.0,15.0,15.417811718923632,15.98031058705321,16.29,0.36655901510803535
