,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-08-01 18:43:00,1.0,20.0,22.710354012923148,22.09044486774036,28.60667,0.3258480176488709
2024-08-01 18:44:00,1.0,20.0,22.71135469525089,22.093441652523385,28.60667,0.3258480176488709
2024-08-01 18:45:00,1.0,20.0,22.712357565203675,22.09643510704467,28.60667,0.3258480176488709
2024-08-01 18:46:00,1.0,20.0,22.71336261654649,22.099425238769577,28.60667,0.3258480176488709
2024-08-01 18:47:00,1.0,20.0,22.714369843059835,22.10241205514521,28.60667,0.3258480176488709
2024-08-01 18:48:00,1.0,20.0,22.71537923853968,22.105395563600464,28.60667,0.3258480176488709
2024-08-01 18:49:00,1.0,20.0,22.716390796797434,22.108375771546076,28.60667,0.3258480176488709
2024-08-01 18:50:00,1.0,20.0,22.7174045116599,22.111352686374662,28.60667,0.3258480176488709
2024-08-01 18:51:00,1.0,20.0,22.718420376969238,22.11432631546076,28.60667,0.3258480176488709
2024-08-01 18:52:00,1.0,20.0,22.719438386582933,22.117296666160886,28.60667,0.3258480176488709
2024-08-01 18:53:00,1.0,20.0,22.720458534373755,22.120263745813556,28.60667,0.3258480176488709
2024-08-01 18:54:00,1.0,20.0,22.721480814229714,22.123227561739363,28.60667,0.3258480176488709
2024-08-01 18:55:00,1.0,20.0,22.722505220054032,22.126188121240986,28.60667,0.3258480176488709
2024-08-01 18:56:00,1.0,20.0,22.723531745765097,22.129145431603266,28.60667,0.3258480176488709
2024-08-01 18:57:00,1.0,20.0,22.72456038529644,22.132099500093222,28.60667,0.3258480176488709
2024-08-01 18:58:00,1.0,20.0,22.725591132596676,22.135050333960116,28.60667,0.3258480176488709
2024-08-01 18:59:00,1.0,20.0,22.726623981629487,22.137997940435486,28.60667,0.3258480176488709
2024-08-01 19:00:00,1.0,20.0,22.727658926373575,22.140942326733192,27.29833,0.3258480176488709
2024-08-01 19:01:00,1.0,20.0,22.727189131048828,22.143423801104028,27.29833,0.3258480176488709
2024-08-01 19:02:00,1.0,20.0,22.72672264402012,22.145901036543208,27.29833,0.3258480176488709
