,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV
2024-01-05 10:15:00,0.001,0.001,0.001,0.24033333333333334,0.0
2024-01-05 10:30:00,0.001,0.001,0.001,0.22033333333333335,0.0
2024-01-05 10:45:00,0.001,0.001,0.001,0.11413333333333334,0.0
2024-01-05 11:00:00,0.001,0.001,0.001,2.1321333333333334,0.0
2024-01-05 11:15:00,0.001,0.001,0.001,1.1174666666666666,0.0
2024-01-05 11:30:00,0.001,0.001,0.001,0.3154666666666666,5.866666666666666
2024-01-05 11:45:00,0.001,0.001,0.001,2.8001333333333336,11.0
2024-01-05 12:00:00,0.001,0.001,0.001,3.4980666666666664,11.0
2024-01-05 12:15:00,0.001,0.001,0.001,0.8738237423726736,11.0
2024-01-05 12:30:00,0.001,0.001,0.001,1.3128237423726736,11.0
2024-01-05 12:45:00,0.001,0.001,0.001,1.2296237423726735,8.8
2024-01-05 13:00:00,0.001,0.001,0.001,0.0648237423726735,0.0
2024-01-05 13:15:00,0.001,0.001,0.001,0.34142172745108873,0.0
2024-01-05 13:30:00,0.001,0.001,0.001,0.6420426063922544,0.0
2024-01-05 13:45:00,0.001,0.001,0.05564715796137402,0.39067378017775917,0.0
2024-01-05 14:00:00,0.001,0.001,0.22013987331463125,0.31441886401958097,0.0
2024-01-05 14:15:00,0.001,0.001,0.9795795582158954,0.40781886401958095,0.0
2024-01-05 14:30:00,0.001,0.001,0.3190568556123789,0.16816813156860955,0.0
2024-01-05 14:45:00,0.001,0.001,0.14121900394048875,0.195,0.0
2024-01-05 15:00:00,0.001,0.001,0.23940084995644734,0.34619999999999995,0.0
2024-01-05 15:15:00,0.001,0.001,0.67508669111518,0.34700407773996056,0.0
2024-01-05 15:30:00,0.001,0.001,0.11586924878944922,0.2373570757060068,0.0
2024-01-05 15:45:00,0.001,0.001,0.23374226993171238,0.31572520727461634,0.0
2024-01-05 16:00:00,0.001,0.001,1.1687090628504015,0.3923092730589211,0.0
2024-01-05 16:15:00,0.001,0.001,0.9583355868984219,0.3723759397255878,0.0
2024-01-05 16:30:00,0.001,0.001,0.15898641551634765,0.7328426063922545,0.0
2024-01-05 16:45:00,0.001,0.001,0.19416460380795228,3.083415982112486,0.0
2024-01-05 17:00:00,0.001,0.001,0.4402888580549542,0.14913333333333334,3.6666666666666665
2024-01-05 17:15:00,0.001,0.001,0.4049109027048677,0.04,5.866666666666666
2024-01-05 17:30:00,0.001,0.001,0.001,1.0137333333333334,0.0
2024-01-05 17:45:00,0.001,0.001,0.001,2.2886666666666664,0.0
2024-01-05 18:00:00,0.001,0.001,0.001,1.2976666666666667,0.0
2024-01-05 18:15:00,0.001,0.001,0.001,0.3177701464901943,0.0
2024-01-05 18:30:00,0.001,0.001,0.001,0.5096188640195809,0.0
2024-01-05 18:45:00,0.001,0.001,0.001,0.3492188640195809,8.066666666666666
2024-01-05 19:00:00,0.001,0.001,0.001,1.001618864019581,4.4
2024-01-05 19:15:00,0.001,0.001,0.001,0.2787521973529143,0.0
2024-01-05 19:30:00,0.001,0.001,0.001,0.15293333333333334,0.0
2024-01-05 19:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-05 20:00:00,0.001,0.001,0.001,0.2738,0.0
2024-01-05 20:15:00,0.001,0.001,0.001,0.37273333333333336,0.0
2024-01-05 20:30:00,0.001,0.001,0.001,0.329,0.0
2024-01-05 20:45:00,0.001,0.001,0.001,0.2235023134118659,0.0
2024-01-05 21:00:00,0.001,0.001,0.001,0.21650927305892112,0.0
2024-01-05 21:15:00,0.001,0.001,0.001,0.3092426063922545,0.0
2024-01-05 21:30:00,0.001,0.001,0.001,0.7885092730589212,0.0
2024-01-05 21:45:00,0.001,0.001,0.001,0.6290426063922544,0.0
2024-01-05 22:00:00,0.001,0.001,0.001,0.5023759397255877,0.0
2024-01-05 22:15:00,0.001,0.001,0.001,0.3253759397255878,0.0
2024-01-05 22:30:00,0.001,0.001,0.001,0.3314426063922544,0.0
2024-01-05 22:45:00,0.001,0.001,0.001,0.33837593972558777,0.0
2024-01-05 23:00:00,0.001,0.001,0.001,0.3487092730589211,0.0
2024-01-05 23:15:00,0.001,0.001,0.001,0.6327092730589211,0.0
2024-01-05 23:30:00,0.001,0.001,0.001,0.7093994407425647,0.0
2024-01-05 23:45:00,0.001,0.001,0.001,0.5608188640195809,0.0
2024-01-06 00:00:00,0.001,0.001,0.001,0.3265521973529143,0.0
2024-01-06 00:15:00,0.001,0.001,0.001,0.3265521973529143,0.0
2024-01-06 00:30:00,0.001,0.001,0.001,0.7641521973529143,0.0
2024-01-06 00:45:00,0.001,0.001,0.001,0.37721886401958094,0.0
2024-01-06 01:00:00,0.001,0.001,0.001,0.3928855306862476,0.0
2024-01-06 01:15:00,0.001,0.001,0.001,0.6621333333333334,0.0
2024-01-06 01:30:00,0.001,0.001,0.001,0.161,0.0
2024-01-06 01:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-06 02:00:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-06 02:15:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-06 02:30:00,0.001,0.001,0.001,0.6744000000000001,0.0
2024-01-06 02:45:00,0.001,0.001,0.001,0.23,0.0
2024-01-06 03:00:00,0.001,0.001,0.001,0.06533333333333333,0.0
2024-01-06 03:15:00,0.001,0.001,0.001,0.4501333333333334,0.0
2024-01-06 03:30:00,0.001,0.001,0.001,0.195,0.0
2024-01-06 03:45:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-06 04:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-06 04:15:00,0.001,0.001,0.001,0.21733333333333335,0.0
2024-01-06 04:30:00,0.001,0.001,0.001,0.3126,0.0
2024-01-06 04:45:00,0.001,0.001,0.001,0.3685333333333334,0.0
2024-01-06 05:00:00,0.001,0.001,0.001,0.20193333333333333,0.0
2024-01-06 05:15:00,0.001,0.001,0.001,0.06333333333333332,0.0
2024-01-06 05:30:00,0.001,0.001,0.001,0.053,0.0
2024-01-06 05:45:00,0.001,0.001,0.001,0.11633333333333333,0.0
2024-01-06 06:00:00,0.001,0.001,0.001,0.6341333333333333,0.0
2024-01-06 06:15:00,0.001,0.001,0.001,0.217,0.0
2024-01-06 06:30:00,0.001,0.001,0.001,0.15366666666666667,0.0
2024-01-06 06:45:00,0.001,0.001,0.001,0.04,6.6
2024-01-06 07:00:00,0.001,0.001,0.001,0.04,11.0
2024-01-06 07:15:00,0.001,0.001,0.001,0.04,10.266666666666667
2024-01-06 07:30:00,0.001,0.001,0.001,0.18966666666666668,0.0
2024-01-06 07:45:00,0.001,0.001,0.001,0.37233333333333335,0.0
2024-01-06 08:00:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-06 08:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-06 08:30:00,0.001,0.001,0.001,0.06420000000000001,0.0
2024-01-06 08:45:00,0.001,0.001,0.001,0.17313333333333333,0.0
2024-01-06 09:00:00,0.001,0.001,0.001,0.2613333333333333,0.0
2024-01-06 09:15:00,0.001,0.001,0.001,0.519,0.0
2024-01-06 09:30:00,0.001,0.001,0.001,0.2856666666666667,0.0
2024-01-06 09:45:00,0.001,0.001,0.001,0.161,0.0
2024-01-06 10:00:00,0.001,0.001,0.11168793632775932,0.04,0.0
2024-01-06 10:15:00,0.001,0.001,0.19883213881083456,0.048666666666666664,0.0
2024-01-06 10:30:00,0.001,0.001,1.1919111899081825,0.16666666666666666,0.0
2024-01-06 10:45:00,0.001,0.001,0.10943051901756166,0.26799999999999996,0.0
2024-01-06 11:00:00,0.001,0.001,0.17218476076597364,0.4029333333333333,0.0
2024-01-06 11:15:00,0.001,0.001,0.35116374390942556,2.3113333333333332,0.0
2024-01-06 11:30:00,0.001,0.001,0.5287194589028279,0.04,0.0
2024-01-06 11:45:00,0.001,0.001,0.12049328674879728,0.050333333333333334,0.0
2024-01-06 12:00:00,0.001,0.001,0.29288461440607627,0.195,0.0
2024-01-06 12:15:00,0.001,0.001,1.8736703260242642,0.10594124745755784,0.0
2024-01-06 12:30:00,0.001,0.001,0.20474016831201747,0.22915707570600682,0.0
2024-01-06 12:45:00,0.001,0.001,0.16744607592559418,0.19115707570600685,0.0
2024-01-06 13:00:00,0.001,0.001,0.2434875653999393,0.0518237423726735,0.0
2024-01-06 13:15:00,0.001,0.001,0.6674238354129497,0.11382374237267351,0.0
2024-01-06 13:30:00,0.001,0.001,0.07106131879829929,0.2068237423726735,0.0
2024-01-06 13:45:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-06 14:00:00,0.001,0.001,0.001,0.6364000000000001,0.0
2024-01-06 14:15:00,0.001,0.001,0.001,0.23693333333333333,0.0
2024-01-06 14:30:00,0.001,0.001,0.001,0.11633333333333333,0.0
2024-01-06 14:45:00,0.001,0.001,0.001,0.16666666666666666,0.0
2024-01-06 15:00:00,0.001,0.001,0.001,0.16666666666666666,0.0
2024-01-06 15:15:00,0.001,0.001,0.001,0.05126666666666667,0.0
2024-01-06 15:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-06 15:45:00,0.001,0.001,0.001,0.17933333333333332,0.0
2024-01-06 16:00:00,0.001,0.001,0.001,0.22766666666666666,0.0
2024-01-06 16:15:00,0.001,0.001,0.001,0.195,0.0
2024-01-06 16:30:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-06 16:45:00,0.001,0.001,0.001,0.04,2.2
2024-01-06 17:00:00,0.001,0.001,0.001,0.3065333333333334,11.0
2024-01-06 17:15:00,0.001,0.001,0.001,0.1986,11.0
2024-01-06 17:30:00,0.001,0.001,0.001,0.30462087894116574,11.0
2024-01-06 17:45:00,0.001,0.001,0.001,0.32788553068624765,11.0
2024-01-06 18:00:00,0.001,0.001,0.001,0.12773661046016194,11.0
2024-01-06 18:15:00,0.001,0.001,0.001,0.20437593972558782,2.933333333333333
2024-01-06 18:30:00,0.001,0.001,0.001,0.2141988335883383,0.0
2024-01-06 18:45:00,0.001,0.001,0.001,0.2938237423726735,0.0
2024-01-06 19:00:00,0.001,0.001,0.001,0.5114237423726735,0.0
2024-01-06 19:15:00,0.001,0.001,0.001,1.1333098323163564,0.0
2024-01-06 19:30:00,0.001,0.001,0.001,0.7566,0.0
2024-01-06 19:45:00,0.001,0.001,0.001,0.14173333333333332,0.0
2024-01-06 20:00:00,0.001,0.001,0.001,0.07824175788233144,0.0
2024-01-06 20:15:00,0.001,0.001,0.001,0.618418864019581,0.0
2024-01-06 20:30:00,0.001,0.001,0.001,0.228916945827449,0.0
2024-01-06 20:45:00,0.001,0.001,0.001,0.3469092730589211,0.0
2024-01-06 21:00:00,0.001,0.001,0.001,0.3416057932353935,0.0
2024-01-06 21:15:00,0.001,0.001,0.001,0.17282374237267348,0.0
2024-01-06 21:30:00,0.001,0.001,0.001,0.17282374237267348,0.0
2024-01-06 21:45:00,0.001,0.001,0.001,0.9115876902340763,0.0
2024-01-06 22:00:00,0.001,0.001,0.001,0.4803759397255878,0.0
2024-01-06 22:15:00,0.001,0.001,0.001,0.3990426063922544,0.0
2024-01-06 22:30:00,0.001,0.001,0.001,0.5153759397255878,0.0
2024-01-06 22:45:00,0.001,0.001,0.001,0.7885092730589212,0.0
2024-01-06 23:00:00,0.001,0.001,0.001,0.2961973779241888,0.0
2024-01-06 23:15:00,0.001,0.001,0.001,0.7954666666666667,0.0
2024-01-06 23:30:00,0.001,0.001,0.001,0.6067681315686095,0.0
2024-01-06 23:45:00,0.001,0.001,0.001,0.0715521973529143,0.0
2024-01-07 00:00:00,0.001,0.001,0.001,0.21088553068624763,0.0
2024-01-07 00:15:00,0.001,0.001,0.001,0.2488855306862476,0.0
2024-01-07 00:30:00,0.001,0.001,0.001,0.08188553068624764,0.0
2024-01-07 00:45:00,0.001,0.001,0.001,0.7448945052548875,0.0
2024-01-07 01:00:00,0.001,0.001,0.001,0.10200000000000001,0.0
2024-01-07 01:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 01:30:00,0.001,0.001,0.001,0.06533333333333333,0.0
2024-01-07 01:45:00,0.001,0.001,0.001,0.23,0.0
2024-01-07 02:00:00,0.001,0.001,0.001,0.20333333333333334,0.0
2024-01-07 02:15:00,0.001,0.001,0.001,0.195,0.0
2024-01-07 02:30:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-07 02:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 03:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 03:15:00,0.001,0.001,0.001,0.14133333333333334,0.0
2024-01-07 03:30:00,0.001,0.001,0.001,0.3436666666666667,0.0
2024-01-07 03:45:00,0.001,0.001,0.001,0.179,0.0
2024-01-07 04:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 04:15:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 04:30:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 04:45:00,0.001,0.001,0.001,0.050333333333333334,0.0
2024-01-07 05:00:00,0.001,0.001,0.001,0.37233333333333335,0.0
2024-01-07 05:15:00,0.001,0.001,0.001,0.24133333333333334,0.0
2024-01-07 05:30:00,0.001,0.001,0.001,0.5730666666666667,10.266666666666667
2024-01-07 05:45:00,0.001,0.001,0.001,0.04,11.0
2024-01-07 06:00:00,0.001,0.001,0.001,0.04,11.0
2024-01-07 06:15:00,0.001,0.001,0.001,0.10200000000000001,11.0
2024-01-07 06:30:00,0.001,0.001,0.001,0.25833333333333336,11.0
2024-01-07 06:45:00,0.001,0.001,0.001,0.24033333333333334,4.4
2024-01-07 07:00:00,0.001,0.001,0.001,0.11460000000000001,0.0
2024-01-07 07:15:00,0.001,0.001,0.001,0.053,0.0
2024-01-07 07:30:00,0.001,0.001,0.001,0.053,0.0
2024-01-07 07:45:00,0.001,0.001,0.001,0.5647333333333333,0.0
2024-01-07 08:00:00,0.528356524038442,0.001,0.001,0.2869333333333334,0.0
2024-01-07 08:15:00,0.7920347860576631,0.001,0.001,0.19146666666666665,0.0
2024-01-07 08:30:00,0.7920347860576631,0.001,0.001,0.6301333333333333,0.0
2024-01-07 08:45:00,0.7920347860576631,0.001,0.001,0.053,0.0
2024-01-07 09:00:00,0.7920347860576631,0.001,0.001,0.46313333333333334,0.0
2024-01-07 09:15:00,0.7920347860576631,0.001,0.001,0.29632,0.0
2024-01-07 09:30:00,0.7920347860576631,0.001,0.001,0.6993333333333333,0.0
2024-01-07 09:45:00,0.7920347860576631,0.001,0.1613153268107452,4.466745237705859,0.0
2024-01-07 10:00:00,0.7920347860576631,0.001,0.4742561237541715,0.937218864019581,0.0
2024-01-07 10:15:00,0.7920347860576631,0.001,0.6380746265796866,0.3025521973529143,0.0
2024-01-07 10:30:00,0.7920347860576631,0.001,0.3286032769611479,0.2545521973529143,0.0
2024-01-07 10:45:00,0.7920347860576631,0.001,0.7776798389088754,0.34755219735291426,0.0
2024-01-07 11:00:00,0.7920347860576631,0.001,0.16114019821312534,0.20288553068624765,0.0
2024-01-07 11:15:00,0.7920347860576631,0.001,0.1581828177695388,0.19255219735291432,0.0
2024-01-07 11:30:00,0.7920347860576631,0.001,1.000722737988656,0.2938855306862476,0.0
2024-01-07 11:45:00,0.7920347860576631,0.001,0.7836777193005633,0.3744855306862476,0.0
2024-01-07 12:00:00,0.7920347860576631,0.001,0.12242849310647148,0.19582783858822098,0.0
2024-01-07 12:15:00,0.7920347860576631,0.001,0.2539360595937185,0.15366666666666667,0.0
2024-01-07 12:30:00,0.7920347860576631,0.001,0.7200642343758334,0.04,0.0
2024-01-07 12:45:00,0.1592069572115326,0.001,0.2705145916472217,0.04,0.0
2024-01-07 13:00:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 13:15:00,0.001,0.001,0.001,0.2711529979660463,0.0
2024-01-07 13:30:00,0.001,0.001,0.001,0.46715707570600684,0.0
2024-01-07 13:45:00,0.001,0.001,0.001,0.23482374237267353,0.0
2024-01-07 14:00:00,0.001,0.001,0.001,0.22122374237267348,0.0
2024-01-07 14:15:00,0.001,0.001,0.001,0.6912589938981388,0.0
2024-01-07 14:30:00,0.001,0.001,0.001,0.21746666666666667,0.0
2024-01-07 14:45:00,0.001,0.001,0.001,0.28948633129937956,0.0
2024-01-07 15:00:00,0.001,0.001,0.001,0.5241341818432563,0.0
2024-01-07 15:15:00,0.001,0.001,0.001,0.2780426063922545,0.0
2024-01-07 15:30:00,0.001,0.001,0.001,0.20437593972558782,1.4666666666666666
2024-01-07 15:45:00,0.001,0.5133357661134783,0.001,0.20437593972558782,11.0
2024-01-07 16:00:00,0.001,1.8126105293494639,0.001,0.19885819328500684,11.0
2024-01-07 16:15:00,0.001,1.9750930667388347,0.001,0.21748553068624765,6.6
2024-01-07 16:30:00,0.001,1.9517746161720926,0.001,0.8647131094431851,0.0
2024-01-07 16:45:00,0.001,0.7872116014247428,0.001,0.25439883358833826,0.0
2024-01-07 17:00:00,0.001,0.001,0.001,0.10829040903934017,0.0
2024-01-07 17:15:00,0.001,0.001,0.001,0.17282374237267348,0.0
2024-01-07 17:30:00,0.001,0.001,0.001,0.18315707570600684,0.0
2024-01-07 17:45:00,0.001,0.001,0.001,0.3278237423726735,0.0
2024-01-07 18:00:00,0.001,0.001,0.001,0.24972566056480547,0.0
2024-01-07 18:15:00,0.001,0.001,0.001,0.23,0.0
2024-01-07 18:30:00,0.001,0.001,0.001,0.14133333333333334,0.0
2024-01-07 18:45:00,0.001,0.001,0.001,0.04,0.0
2024-01-07 19:00:00,0.001,0.001,0.001,0.15846666666666667,0.0
2024-01-07 19:15:00,0.001,0.001,0.001,0.316,0.0
2024-01-07 19:30:00,0.001,0.001,0.001,0.2842666666666666,0.0
2024-01-07 19:45:00,0.001,0.001,0.001,0.38333333333333336,0.0
2024-01-07 20:00:00,0.001,0.001,0.001,0.47200000000000003,0.0
2024-01-07 20:15:00,0.001,0.001,0.001,0.23473333333333332,0.0
2024-01-07 20:30:00,0.001,0.001,0.001,0.21048058596077715,0.0
2024-01-07 20:45:00,0.001,0.001,0.001,0.31488960842620817,0.0
2024-01-07 21:00:00,0.001,0.001,0.001,0.20437593972558782,0.0
2024-01-07 21:15:00,0.001,0.001,0.001,0.20437593972558782,0.0
