,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-02 03:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.21066666666666664,0.0,0.0,0.0
2024-01-02 03:30:00,0.001,0.001,0.18533333333333332,0.0,0.0,0.1
2024-01-02 03:45:00,0.001,0.001,0.44580000000000003,0.0,0.0,1.5
2024-01-02 04:00:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-02 04:15:00,0.001,0.001,0.046,0.0,0.0,1.1
2024-01-02 04:30:00,0.001,0.001,0.17266666666666666,0.0,1.6,0.4
2024-01-02 04:45:00,0.001,0.001,0.2233333333333333,0.0,0.0,1.5
2024-01-02 05:00:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-02 05:15:00,0.001,0.001,0.046,0.0,1.3333333333333333,0.4
2024-01-02 05:30:00,0.001,0.001,0.046,0.0,1.8666666666666667,0.0
2024-01-02 05:45:00,0.001,0.001,0.13466666666666666,0.0,0.0,0.0
2024-01-02 06:00:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
2024-01-02 06:15:00,0.001,0.001,0.07133333333333333,0.0,0.0,0.0
2024-01-02 06:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 06:45:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 07:00:00,0.001,0.001,0.09666666666666666,0.0,0.0,0.0
2024-01-02 07:15:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
2024-01-02 07:30:00,0.001,0.001,0.6424,0.0,0.0,0.7
2024-01-02 07:45:00,0.001,0.001,0.046,0.0,0.0,1.4
2024-01-02 08:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-02 08:15:00,0.001,0.001,0.10880000000000001,0.0,0.0,0.0
2024-01-02 08:30:00,0.001,0.001,0.37,0.0,0.0,0.0
2024-01-02 08:45:00,0.001,0.001,0.2813333333333333,0.0,0.0,1.1
2024-01-02 09:00:00,0.001,0.001,0.7130666666666666,0.0,0.0,1.5
2024-01-02 09:15:00,0.001,0.001,0.18,0.0,2.1333333333333333,1.5
2024-01-02 09:30:00,0.001,0.001,0.063,0.0,0.26666666666666666,1.5
2024-01-02 09:45:00,0.001,0.001,0.23170146490194288,0.0,0.0,1.5
2024-01-02 10:00:00,0.001,0.001,0.21688553068624764,0.0,0.0,1.5
2024-01-02 10:15:00,0.001,0.001,0.07755219735291431,0.0,0.0,1.5
2024-01-02 10:30:00,0.001,0.001,0.07755219735291431,0.0,0.0,1.5
2024-01-02 10:45:00,0.001,0.001,0.06913827805880383,0.0,0.0,1.5
2024-01-02 11:00:00,0.001,0.001,0.17266666666666666,0.0,0.0,1.5
2024-01-02 11:15:00,0.001,0.001,0.2233333333333333,0.0,0.0,1.5
2024-01-02 11:30:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-02 11:45:00,0.001,0.001,0.046,0.0,0.0,0.8
2024-01-02 12:00:00,0.001,0.001,0.046,0.0,0.0,0.0
