,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-03 13:00:00,0.0,0.23982869028390835,0.31894724338965036,0.3333333333333333
2024-01-03 13:15:00,0.0,0.5993692209683182,0.2119637423726735,0.0
2024-01-03 13:30:00,0.0,0.15725309728029072,0.17095707570600685,0.0
2024-01-03 13:45:00,0.0,0.001,0.2538237423726735,0.0
2024-01-03 14:00:00,0.0,0.001,0.10024724338965038,1.3333333333333333
2024-01-03 14:15:00,0.0,0.001,0.052,1.3333333333333333
2024-01-03 14:30:00,0.0,0.001,0.052,0.0
2024-01-03 14:45:00,0.0,0.001,0.09233333333333332,3.0
2024-01-03 15:00:00,0.0,0.001,0.41233333333333333,4.333333333333333
2024-01-03 15:15:00,0.0,0.001,0.45899999999999996,1.0
2024-01-03 15:30:00,0.0,0.001,0.307,0.0
2024-01-03 15:45:00,0.0,0.001,0.3061333333333333,2.6666666666666665
2024-01-03 16:00:00,0.0,0.001,0.1004,0.6666666666666666
2024-01-03 16:15:00,0.0,0.001,0.10085333333333332,0.0
2024-01-03 16:30:00,0.0,0.001,0.3798034798235276,0.0
2024-01-03 16:45:00,0.0,0.001,0.8283188640195809,0.0
2024-01-03 17:00:00,0.0,0.001,0.2192521973529143,3.0
2024-01-03 17:15:00,0.0,0.001,0.2192521973529143,0.0
2024-01-03 17:30:00,0.0,0.001,0.32965219735291423,2.3333333333333335
2024-01-03 17:45:00,0.0,0.001,0.2931945052548876,3.6666666666666665
2024-01-03 18:00:00,0.0,0.001,0.47311424542360414,3.0
2024-01-03 18:15:00,0.0,0.001,0.2256321669216716,0.3333333333333333
2024-01-03 18:30:00,0.0,0.001,0.2440759397255878,0.0
2024-01-03 18:45:00,0.0,0.001,0.29247593972558783,0.0
2024-01-03 19:00:00,0.0,0.001,0.36507593972558783,0.0
2024-01-03 19:15:00,6.666666666666667e-05,0.001,0.5255661074092314,0.0
2024-01-03 19:30:00,1.6502666666666668,0.001,0.5225426063922545,0.0
2024-01-03 19:45:00,1.3504,0.001,0.5613959397255878,0.0
2024-01-03 20:00:00,1.6502666666666668,0.001,0.4488759397255878,0.3333333333333333
2024-01-03 20:15:00,0.0009333333333333333,0.001,0.4004759397255878,4.666666666666667
2024-01-03 20:30:00,0.0,0.001,0.4592092730589211,0.0
2024-01-03 20:45:00,0.0,0.001,0.5226265275503154,4.666666666666667
2024-01-03 21:00:00,0.0,0.001,0.4508521973529144,1.0
2024-01-03 21:15:00,0.0,0.001,0.46125219735291434,0.0
2024-01-03 21:30:00,0.0,0.001,0.46125219735291434,0.0
2024-01-03 21:45:00,0.0,0.001,0.46125219735291434,2.6666666666666665
2024-01-03 22:00:00,0.0,0.001,0.5650418546117842,2.0
2024-01-03 22:15:00,0.0,0.001,0.4805904090393402,0.0
2024-01-03 22:30:00,0.0,0.001,0.3205237423726735,0.0
2024-01-03 22:45:00,0.0,0.001,0.3205237423726735,0.0
2024-01-03 23:00:00,0.0,0.001,0.29338374237267345,2.3333333333333335
2024-01-03 23:15:00,0.0,0.001,0.1974904090393402,4.333333333333333
2024-01-03 23:30:00,0.0,0.001,0.4123391265687268,0.0
2024-01-03 23:45:00,0.0,0.001,0.40549344481047206,0.0
2024-01-04 00:00:00,0.0,0.001,0.3255521973529143,0.0
2024-01-04 00:15:00,0.0,0.001,0.327916945827449,0.0
2024-01-04 00:30:00,0.0,0.001,0.32124260639225444,2.6666666666666665
2024-01-04 00:45:00,0.0,0.001,0.2861112879805059,0.0
2024-01-04 01:00:00,0.0,0.001,1.2592904090393404,0.0
2024-01-04 01:15:00,0.0,0.001,0.5968904090393402,0.0
2024-01-04 01:30:00,0.0,0.001,0.5968904090393402,0.0
2024-01-04 01:45:00,0.0,0.001,0.06067074440662724,2.6666666666666665
2024-01-04 02:00:00,0.0,0.001,0.052,0.0
2024-01-04 02:15:00,0.0,0.001,0.21666666666666667,4.0
2024-01-04 02:30:00,0.0,0.001,0.16599999999999998,3.6666666666666665
2024-01-04 02:45:00,0.0,0.001,0.5850666666666666,0.0
2024-01-04 03:00:00,0.0,0.001,0.052,0.0
2024-01-04 03:15:00,0.0,0.001,0.052,0.0
2024-01-04 03:30:00,0.0,0.001,0.10266666666666667,0.0
2024-01-04 03:45:00,0.0,0.001,0.242,0.0
2024-01-04 04:00:00,0.0,0.001,0.09,0.0
2024-01-04 04:15:00,0.0,0.001,0.052,0.3333333333333333
2024-01-04 04:30:00,0.0,0.001,0.052,2.6666666666666665
2024-01-04 04:45:00,0.0,0.001,0.052,0.0
2024-01-04 05:00:00,0.0,0.001,0.31193333333333334,0.0
2024-01-04 05:15:00,0.0,0.001,1.1368666666666667,2.3333333333333335
2024-01-04 05:30:00,0.0,0.001,0.052,1.3333333333333333
2024-01-04 05:45:00,0.0,0.001,0.07724175788233144,2.3333333333333335
2024-01-04 06:00:00,0.0,0.001,0.0835521973529143,2.0
2024-01-04 06:15:00,0.0,0.001,0.09621886401958096,0.0
2024-01-04 06:30:00,0.0,0.001,0.27355219735291425,0.0
2024-01-04 06:45:00,0.0,0.001,1.092418864019581,1.3333333333333333
2024-01-04 07:00:00,0.0,0.001,0.23242783858822094,1.3333333333333333
2024-01-04 07:15:00,0.0,0.001,0.143,3.6666666666666665
2024-01-04 07:30:00,0.0,0.001,0.143,0.0
2024-01-04 07:45:00,0.0,0.001,0.23166666666666666,0.0
2024-01-04 08:00:00,0.0,0.001,0.32260000000000005,0.0
2024-01-04 08:15:00,0.0,0.001,0.065,0.0
2024-01-04 08:30:00,0.0,0.001,0.065,0.0
2024-01-04 08:45:00,0.0,0.001,0.065,0.0
2024-01-04 09:00:00,0.0,0.001,0.46480000000000005,0.0
2024-01-04 09:15:00,0.0,0.001,0.21666666666666667,2.0
2024-01-04 09:30:00,0.0,0.001,0.16599999999999998,0.6666666666666666
2024-01-04 09:45:00,0.0,0.001,0.5850666666666667,0.0
2024-01-04 10:00:00,0.0,0.023245747194113448,0.052,0.0
2024-01-04 10:15:00,0.0,0.10312271613385555,0.5850666666666667,2.3333333333333335
2024-01-04 10:30:00,0.0,0.2010950398913879,0.10266666666666667,1.0
2024-01-04 10:45:00,0.0,1.1929415846478972,0.27818666666666664,0.0
2024-01-04 11:00:00,0.0,0.10714553533121343,0.6255,0.0
2024-01-04 11:15:00,0.0,0.22679193220298569,0.18769999999999998,0.0
2024-01-04 11:30:00,0.0,0.46523556676035854,0.2007,3.0
2024-01-04 11:45:00,0.0,0.3648347632789099,1.3324333333333334,1.6666666666666667
2024-01-04 12:00:00,0.0,0.11089546792914368,2.4493666666666667,0.0
2024-01-04 12:15:00,0.0,0.3183593209385203,1.4533666666666667,0.0
2024-01-04 12:30:00,0.0,1.9552611943631961,0.19549999999999998,0.0
2024-01-04 12:45:00,1.0503333333333333,0.09966301068376837,0.32276666666666665,4.666666666666667
