,WasherDryer,TumbleDryer,BaseLoad
2024-01-01 21:30:00,0.001,0.001,0.5104570757060068
2024-01-01 21:45:00,0.001,0.001,0.42692374237267344
2024-01-01 22:00:00,0.001,0.001,0.3165237423726735
2024-01-01 22:15:00,0.001,0.001,0.3165237423726735
2024-01-01 22:30:00,0.001,0.001,0.3557942454236041
2024-01-01 22:45:00,0.001,0.001,0.4184570757060068
2024-01-01 23:00:00,0.001,0.001,0.20285707570600683
2024-01-01 23:15:00,0.001,0.001,0.1955237423726735
2024-01-01 23:30:00,0.001,0.001,0.1955237423726735
2024-01-01 23:45:00,0.001,0.001,0.5905942454236041
2024-01-02 00:00:00,0.001,0.001,0.19836666666666666
2024-01-02 00:15:00,0.001,0.001,0.29369999999999996
2024-01-02 00:30:00,0.001,0.001,0.22036666666666666
2024-01-02 00:45:00,0.001,0.001,0.1837
2024-01-02 01:00:00,0.001,0.001,0.13846666666666665
2024-01-02 01:15:00,0.001,0.001,0.048
2024-01-02 01:30:00,0.001,0.001,0.44780000000000003
2024-01-02 01:45:00,0.001,0.001,0.14333333333333334
2024-01-02 02:00:00,0.001,0.001,0.114
2024-01-02 02:15:00,0.001,0.001,0.048
2024-01-02 02:30:00,0.001,0.001,0.048
2024-01-02 02:45:00,0.001,0.001,0.048
2024-01-02 03:00:00,0.001,0.001,0.31453333333333333
2024-01-02 03:15:00,0.001,0.001,0.38053333333333333
2024-01-02 03:30:00,0.001,0.001,0.14333333333333334
2024-01-02 03:45:00,0.001,0.001,0.048
2024-01-02 04:00:00,0.001,0.001,0.048
2024-01-02 04:15:00,0.001,0.001,0.048
2024-01-02 04:30:00,0.001,0.001,0.048
2024-01-02 04:45:00,0.001,0.001,0.08466666666666667
2024-01-02 05:00:00,0.001,0.001,0.5578000000000001
2024-01-02 05:15:00,0.001,0.001,0.19593333333333335
2024-01-02 05:30:00,0.001,0.001,0.048
2024-01-02 05:45:00,0.001,0.001,0.048
2024-01-02 06:00:00,0.001,0.001,0.44780000000000003
2024-01-02 06:15:00,0.001,0.001,0.05533333333333334
2024-01-02 06:30:00,0.001,0.001,0.158
2024-01-02 06:45:00,0.001,0.001,0.09200000000000001
2024-01-02 07:00:00,0.001,0.001,0.048
2024-01-02 07:15:00,0.001,0.001,0.048
2024-01-02 07:30:00,0.001,0.001,0.05926666666666667
2024-01-02 07:45:00,0.001,0.001,0.061000000000000006
2024-01-02 08:00:00,0.001,0.001,0.14900000000000002
2024-01-02 08:15:00,0.001,0.001,0.12826666666666667
2024-01-02 08:30:00,0.001,0.001,0.048
2024-01-02 08:45:00,0.001,0.001,0.048
2024-01-02 09:00:00,0.001,0.001,0.0584
2024-01-02 09:15:00,0.001,0.001,0.061000000000000006
2024-01-02 09:30:00,0.001,0.001,0.11966666666666667
2024-01-02 09:45:00,0.001,0.001,0.16193333333333335
2024-01-02 10:00:00,0.001,0.001,0.048
2024-01-02 10:15:00,0.001,0.001,0.048
2024-01-02 10:30:00,0.001,0.001,0.06730599593209254
2024-01-02 10:45:00,0.001,0.001,0.07282374237267351
2024-01-02 11:00:00,0.001,0.001,0.10215707570600685
2024-01-02 11:15:00,0.001,0.001,0.18282374237267351
2024-01-02 11:30:00,0.001,0.001,0.1676237423726735
2024-01-02 11:45:00,0.001,0.001,1.8306431656496898
2024-01-02 12:00:00,0.001,0.001,3.2852040777399605
2024-01-02 12:15:00,0.001,0.001,2.4314237423726737
2024-01-02 12:30:00,0.001,0.001,0.5118904090393401
