,TumbleDryer,BaseLoad,P_EV
2024-01-02 21:00:00,0.001,2.547209273058921,0.0
2024-01-02 21:15:00,0.001,0.4649229417595416,0.0
2024-01-02 21:30:00,0.001,0.37040842454899814,0.0
2024-01-02 21:45:00,0.001,0.630118864019581,0.0
2024-01-02 22:00:00,0.001,0.5195855306862477,0.0
2024-01-02 22:15:00,0.001,0.46255819328500686,0.0
2024-01-02 22:30:00,0.001,0.4680759397255878,0.0
2024-01-02 22:45:00,0.001,0.4622759397255878,0.0
2024-01-02 23:00:00,0.001,0.9368759397255878,0.0
2024-01-02 23:15:00,0.001,0.3850759397255878,0.0
2024-01-02 23:30:00,0.001,0.34471119125105315,0.0
2024-01-02 23:45:00,0.001,0.33525219735291434,0.0
2024-01-03 00:00:00,0.001,0.41125219735291435,0.0
2024-01-03 00:15:00,0.001,0.5171855306862476,0.0
2024-01-03 00:30:00,0.001,0.22691886401958097,0.0
2024-01-03 00:45:00,0.001,0.19618175788233141,0.0
2024-01-03 01:00:00,0.001,0.168,0.0
2024-01-03 01:15:00,0.001,0.2693333333333333,0.0
2024-01-03 01:30:00,0.001,0.3453333333333333,0.0
2024-01-03 01:45:00,0.001,0.168,0.0
2024-01-03 02:00:00,0.001,0.1438,0.0
2024-01-03 02:15:00,0.001,0.047,0.0
2024-01-03 02:30:00,0.001,0.17366666666666666,0.0
2024-01-03 02:45:00,0.001,0.19899999999999998,0.0
2024-01-03 03:00:00,0.001,0.047,0.0
2024-01-03 03:15:00,0.001,0.6516942454236041,0.0
2024-01-03 03:30:00,0.001,0.1798237423726735,0.0
2024-01-03 03:45:00,0.001,0.33182374237267354,0.0
2024-01-03 04:00:00,0.001,0.30649040903934016,0.0
2024-01-03 04:15:00,0.001,0.1798237423726735,0.0
2024-01-03 04:30:00,0.001,0.09618824949151157,0.0
2024-01-03 04:45:00,0.001,0.047,0.0
2024-01-03 05:00:00,0.001,0.22433333333333333,0.0
2024-01-03 05:15:00,0.001,0.14833333333333334,0.0
2024-01-03 05:30:00,0.001,0.3135333333333333,0.0
2024-01-03 05:45:00,0.001,0.18026666666666666,0.0
2024-01-03 06:00:00,0.001,0.059666666666666666,0.0
2024-01-03 06:15:00,0.001,0.3702666666666667,0.0
2024-01-03 06:30:00,0.001,0.5228,0.0
2024-01-03 06:45:00,0.001,0.047,0.0
2024-01-03 07:00:00,0.001,0.047,0.0
2024-01-03 07:15:00,0.001,0.08499999999999999,0.0
2024-01-03 07:30:00,0.001,0.7700666666666667,0.0
2024-01-03 07:45:00,0.001,0.09766666666666665,0.0
2024-01-03 08:00:00,0.001,0.047,0.0
2024-01-03 08:15:00,0.001,0.047,0.0
2024-01-03 08:30:00,0.001,0.3768666666666667,0.0
2024-01-03 08:45:00,0.001,0.3702666666666667,0.0
2024-01-03 09:00:00,0.001,0.07233333333333333,0.0
2024-01-03 09:15:00,0.001,0.8466666666666668,0.0
2024-01-03 09:30:00,0.001,1.9662000000000002,0.0
2024-01-03 09:45:00,0.001,0.6789666666666666,0.0
2024-01-03 10:00:00,0.001,0.3857,0.0
2024-01-03 10:15:00,0.001,0.19569999999999999,0.0
2024-01-03 10:30:00,0.001,0.5954999999999999,0.0
2024-01-03 10:45:00,0.001,0.22796666666666665,0.0
2024-01-03 11:00:00,0.001,0.4307,0.0
2024-01-03 11:15:00,0.001,0.5781666666666667,0.0
2024-01-03 11:30:00,0.001,0.43770000000000003,0.0
2024-01-03 11:45:00,0.001,0.4351,0.0
2024-01-03 12:00:00,0.001,0.35183333333333333,0.0
2024-01-03 12:15:00,0.001,0.45603333333333335,6.533333333333333
2024-01-03 12:30:00,0.001,0.3558961636157361,7.0
2024-01-03 12:45:00,0.001,0.2075237423726735,7.0
2024-01-03 13:00:00,0.001,0.3123904090393402,7.0
2024-01-03 13:15:00,0.001,0.4253237423726735,7.0
2024-01-03 13:30:00,0.001,1.147257075706007,7.0
2024-01-03 13:45:00,0.001,0.5557237423726735,7.0
2024-01-03 14:00:00,0.001,0.4365237423726735,6.533333333333333
