,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-03 10:30:00,0.001,0.0,0.001,0.041
2024-01-03 10:45:00,0.001,0.0,0.001,0.4408
2024-01-03 11:00:00,0.001,0.0,0.001,0.17426666666666665
2024-01-03 11:15:00,0.001,0.0,0.001,0.18033333333333335
2024-01-03 11:30:00,0.001,0.0,0.001,0.12966666666666668
2024-01-03 11:45:00,0.001,0.0,0.001,0.041
2024-01-03 12:00:00,0.001,0.0,0.001,0.041
2024-01-03 12:15:00,0.001,0.0,0.001,0.041
2024-01-03 12:30:00,0.001,0.0,0.001,0.079
2024-01-03 12:45:00,0.001,0.0,0.001,0.231
2024-01-03 13:00:00,0.001,0.0,0.001,0.041
2024-01-03 13:15:00,0.001,0.0,0.001,0.041
2024-01-03 13:30:00,0.001,0.0,0.001,0.041
2024-01-03 13:45:00,0.001,0.0,0.001,0.041
2024-01-03 14:00:00,0.001,0.0,0.001,0.16766666666666669
2024-01-03 14:15:00,0.001,0.0,0.001,0.14233333333333334
2024-01-03 14:30:00,0.001,0.0,0.001,0.041
2024-01-03 14:45:00,0.001,0.0,0.001,0.041
2024-01-03 15:00:00,0.001,0.0,0.001,0.041
2024-01-03 15:15:00,0.001,0.0,0.001,0.06633333333333334
2024-01-03 15:30:00,0.001,0.0,0.001,0.231
2024-01-03 15:45:00,0.001,0.0,0.001,0.05366666666666667
2024-01-03 16:00:00,0.001,0.0,0.001,0.041
2024-01-03 16:15:00,0.001,0.0,0.001,0.041
2024-01-03 16:30:00,0.001,0.0,0.001,0.041
2024-01-03 16:45:00,0.001,0.0,0.001,0.155
2024-01-03 17:00:00,0.001,0.0,0.001,0.155
2024-01-03 17:15:00,0.001,0.0,0.001,0.041
2024-01-03 17:30:00,0.001,0.0,0.001,0.041
2024-01-03 17:45:00,0.001,0.0,0.001,0.041
2024-01-03 18:00:00,0.001,0.0,0.001,0.05366666666666667
2024-01-03 18:15:00,0.001,0.0,0.001,0.231
2024-01-03 18:30:00,0.001,0.0,0.001,0.06633333333333333
2024-01-03 18:45:00,0.001,0.0,0.001,0.041
2024-01-03 19:00:00,0.001,0.0,0.001,0.041
2024-01-03 19:15:00,0.001,0.0,0.001,0.041
2024-01-03 19:30:00,0.001,0.0,0.001,0.14233333333333334
2024-01-03 19:45:00,0.001,0.0,0.001,0.16766666666666669
2024-01-03 20:00:00,0.001,0.0,0.001,0.041
2024-01-03 20:15:00,0.001,0.0,0.001,0.041
2024-01-03 20:30:00,0.001,0.0,0.001,0.041
2024-01-03 20:45:00,0.001,0.0,0.001,0.041
2024-01-03 21:00:00,0.001,0.0,0.001,0.231
2024-01-03 21:15:00,0.001,0.0,0.001,0.079
2024-01-03 21:30:00,0.001,0.0,0.001,0.0894
2024-01-03 21:45:00,0.001,0.0,0.001,0.162
2024-01-03 22:00:00,0.001,0.0,0.001,0.16515299796604627
2024-01-03 22:15:00,0.001,0.0,0.001,0.2624904090393402
2024-01-03 22:30:00,0.001,0.0,0.001,0.4464237423726735
2024-01-03 22:45:00,0.001,0.0,0.001,0.5736237423726736
2024-01-03 23:00:00,0.001,0.0,0.001,0.0528237423726735
2024-01-03 23:15:00,0.001,0.0,0.001,0.1498079141242245
2024-01-03 23:30:00,0.001,0.0,0.001,0.162
2024-01-03 23:45:00,0.001,0.0,0.001,0.3393333333333333
2024-01-04 00:00:00,0.001,0.0,0.001,0.21266666666666667
2024-01-04 00:15:00,0.001,0.0,0.001,0.14586666666666667
2024-01-04 00:30:00,0.001,0.0,0.001,0.041
2024-01-04 00:45:00,0.001,0.0,0.001,0.041
2024-01-04 01:00:00,0.001,0.0,0.001,0.117
2024-01-04 01:15:00,0.001,0.0,0.001,0.193
2024-01-04 01:30:00,0.001,0.0,0.001,0.041
2024-01-04 01:45:00,0.001,0.0,0.001,0.041
2024-01-04 02:00:00,0.001,0.0,0.001,0.041
2024-01-04 02:15:00,0.001,0.0,0.001,0.5740666666666667
2024-01-04 02:30:00,0.001,0.0,0.001,0.20566666666666666
2024-01-04 02:45:00,0.001,0.0,0.001,0.10433333333333335
2024-01-04 03:00:00,0.001,0.0,0.001,0.041
2024-01-04 03:15:00,0.001,0.0,0.001,0.041
2024-01-04 03:30:00,0.001,0.0,0.001,0.041
2024-01-04 03:45:00,0.001,0.0,0.001,0.10433333333333333
2024-01-04 04:00:00,0.001,0.0,0.001,0.20566666666666666
2024-01-04 04:15:00,0.001,0.0,0.001,0.041
2024-01-04 04:30:00,0.001,0.0,0.001,0.041
2024-01-04 04:45:00,0.001,0.0,0.001,0.041
2024-01-04 05:00:00,0.001,0.0,0.001,0.041
2024-01-04 05:15:00,0.001,0.0,0.001,0.193
2024-01-04 05:30:00,0.001,0.0,0.001,0.117
2024-01-04 05:45:00,0.001,0.0,0.001,0.041
2024-01-04 06:00:00,0.001,0.0,0.001,0.049670744406627235
2024-01-04 06:15:00,0.001,0.0,0.001,0.0528237423726735
2024-01-04 06:30:00,0.001,0.0,0.001,0.10349040903934018
2024-01-04 06:45:00,0.001,0.0,0.001,0.23015707570600685
2024-01-04 07:00:00,0.001,0.0,0.001,0.05124724338965037
2024-01-04 07:15:00,0.001,0.0,0.001,0.041
2024-01-04 07:30:00,0.001,0.0,0.001,0.041
2024-01-04 07:45:00,0.001,0.0,0.001,0.20093333333333335
2024-01-04 08:00:00,0.001,0.0,0.001,2.2663999999999995
2024-01-04 08:15:00,0.001,0.0,0.001,0.14266666666666666
2024-01-04 08:30:00,0.001,0.0,0.001,0.054
2024-01-04 08:45:00,0.001,0.0,0.001,0.054
2024-01-04 09:00:00,0.001,0.0,0.001,0.5758
2024-01-04 09:15:00,0.001,0.0,0.001,0.079
2024-01-04 09:30:00,0.001,0.0,0.001,0.7640666666666667
2024-01-04 09:45:00,0.001,0.0,0.001,0.041
2024-01-04 10:00:00,0.001,0.0,0.001,0.041
2024-01-04 10:15:00,0.001,0.0,0.001,0.041
2024-01-04 10:30:00,0.001,0.0,0.001,0.041
2024-01-04 10:45:00,0.001,0.0,0.001,0.16766666666666669
2024-01-04 11:00:00,0.001,0.0,0.001,0.14233333333333334
2024-01-04 11:15:00,0.001,0.0,0.001,0.041
2024-01-04 11:30:00,0.001,0.0,0.001,0.4408
2024-01-04 11:45:00,0.001,0.0,0.001,0.041
2024-01-04 12:00:00,0.001,0.0,0.001,0.06633333333333334
2024-01-04 12:15:00,0.001,0.0,0.001,0.231
2024-01-04 12:30:00,0.001,0.0,0.001,0.05366666666666667
2024-01-04 12:45:00,0.001,0.0,0.001,0.041
2024-01-04 13:00:00,0.001,0.0,0.001,0.041
2024-01-04 13:15:00,0.001,0.0,0.001,0.041
2024-01-04 13:30:00,0.001,0.0,0.001,0.155
2024-01-04 13:45:00,0.001,0.0,0.001,0.15736474847453472
2024-01-04 14:00:00,0.001,0.0,0.001,0.0528237423726735
2024-01-04 14:15:00,0.001,0.0,0.001,0.0528237423726735
2024-01-04 14:30:00,0.001,0.0,0.001,0.0528237423726735
2024-01-04 14:45:00,0.001,0.0,0.001,0.06549040903934017
2024-01-04 15:00:00,0.001,0.0,0.001,0.2428237423726735
2024-01-04 15:15:00,0.001,0.0,0.001,0.4779570757060069
2024-01-04 15:30:00,0.001,0.0,0.001,0.0528237423726735
2024-01-04 15:45:00,0.001,0.0,0.001,0.45262374237267355
2024-01-04 16:00:00,0.001,0.0,0.001,0.0528237423726735
2024-01-04 16:15:00,0.001,0.0,0.001,0.14233333333333334
2024-01-04 16:30:00,0.001,0.0,0.001,0.16766666666666669
2024-01-04 16:45:00,0.001,0.0,0.001,0.041
2024-01-04 17:00:00,0.001,0.0,0.001,0.0514
2024-01-04 17:15:00,0.001,0.0,0.001,0.5344666666666666
2024-01-04 17:30:00,0.001,0.0,0.001,0.175
2024-01-04 17:45:00,0.001,0.0,0.001,0.8447999999999999
2024-01-04 18:00:00,0.001,0.0,0.001,2.1218
2024-01-04 18:15:00,0.001,0.0,0.001,0.162
2024-01-04 18:30:00,0.001,0.0,0.001,0.07326666666666666
2024-01-04 18:45:00,0.001,0.0,0.001,0.041
2024-01-04 19:00:00,0.001,0.0,0.001,0.21033333333333332
2024-01-04 19:15:00,0.001,0.0,0.001,0.8344
2024-01-04 19:30:00,0.001,0.0,0.001,0.16988249491511567
2024-01-04 19:45:00,0.001,0.0,0.001,0.1738237423726735
2024-01-04 20:00:00,0.001,0.0006000000000000001,0.001,0.7068904090393403
2024-01-04 20:15:00,0.001,1.2004666666666668,0.001,2.332223742372674
2024-01-04 20:30:00,0.001,0.001,0.001,0.38772566056480545
2024-01-04 20:45:00,0.001,0.0009333333333333333,0.001,0.17233333333333334
2024-01-04 21:00:00,0.001,0.0,0.001,0.162
2024-01-04 21:15:00,0.001,0.0,0.001,0.17672435876469333
2024-01-04 21:30:00,0.001,0.00046666666666666666,0.001,0.1943404468444259
2024-01-04 21:45:00,0.001,0.9006000000000001,0.001,0.2813759397255878
2024-01-04 22:00:00,0.001,0.30086666666666667,0.001,0.2928426063922544
2024-01-04 22:15:00,0.001,0.001,0.001,0.0843759397255878
2024-01-04 22:30:00,0.001,0.001,0.001,0.06965158096089445
2024-01-04 22:45:00,0.001,0.001,0.001,0.1738237423726735
2024-01-04 23:00:00,0.001,0.001,0.001,0.18408431637779488
2024-01-04 23:15:00,0.001,0.001,0.001,0.358218864019581
2024-01-04 23:30:00,0.001,0.001,0.001,0.25688553068624764
2024-01-04 23:45:00,0.001,1.8002,0.001,0.19355219735291432
2024-01-05 00:00:00,0.001,0.6007333333333332,0.001,0.11288553068624765
2024-01-05 00:15:00,0.001,0.001,0.001,0.04941391929411048
2024-01-05 00:30:00,0.001,0.0005333333333333334,0.001,0.5136666666666667
2024-01-05 00:45:00,0.001,0.0,0.001,0.21866666666666665
2024-01-05 01:00:00,0.001,0.0,0.001,0.4538
2024-01-05 01:15:00,0.001,0.0,0.001,0.18726666666666666
2024-01-05 01:30:00,0.001,0.0,0.001,0.8440666666666666
2024-01-05 01:45:00,0.001,0.0,0.001,0.041
2024-01-05 02:00:00,0.001,0.0,0.001,0.20167074440662722
2024-01-05 02:15:00,0.001,0.0,0.001,0.12882374237267352
2024-01-05 02:30:00,0.001,0.0,0.001,0.0528237423726735
2024-01-05 02:45:00,0.001,0.0,0.001,0.0528237423726735
2024-01-05 03:00:00,0.001,0.0,0.001,0.0528237423726735
2024-01-05 03:15:00,0.001,0.0,0.001,0.09481966463271294
2024-01-05 03:30:00,0.001,0.0,0.001,0.21833333333333335
2024-01-05 03:45:00,0.001,0.0,0.001,0.5740666666666667
2024-01-05 04:00:00,0.001,0.0,0.001,0.041
2024-01-05 04:15:00,0.001,0.0,0.001,0.041
2024-01-05 04:30:00,0.001,0.0,0.001,0.041
2024-01-05 04:45:00,0.001,0.0,0.001,0.18033333333333335
2024-01-05 05:00:00,0.001,0.0,0.001,0.12966666666666668
2024-01-05 05:15:00,0.001,0.0,0.001,0.041
2024-01-05 05:30:00,0.001,0.0,0.001,0.041
2024-01-05 05:45:00,0.001,0.0,0.001,0.041
2024-01-05 06:00:00,0.001,0.0,0.001,0.079
2024-01-05 06:15:00,0.001,0.0,0.001,0.231
2024-01-05 06:30:00,0.001,0.0,0.001,0.041
2024-01-05 06:45:00,0.001,0.0,0.001,0.4408
2024-01-05 07:00:00,0.001,0.0,0.001,0.4408
2024-01-05 07:15:00,0.001,0.0,0.001,0.041
2024-01-05 07:30:00,0.001,0.0,0.001,0.16766666666666669
2024-01-05 07:45:00,0.001,0.0,0.001,0.14233333333333334
2024-01-05 08:00:00,0.001,0.0,0.001,0.041
2024-01-05 08:15:00,0.001,0.0,0.001,0.041
2024-01-05 08:30:00,0.001,0.0,0.001,0.041
2024-01-05 08:45:00,0.001,0.0,0.001,0.06633333333333334
2024-01-05 09:00:00,0.001,0.0,0.001,0.231
2024-01-05 09:15:00,0.001,0.0,0.001,0.05366666666666667
2024-01-05 09:30:00,0.001,0.0,0.001,0.041
2024-01-05 09:45:00,0.001,0.0,0.001,0.041
2024-01-05 10:00:00,0.001,0.0,0.001,0.041
2024-01-05 10:15:00,0.001,0.0,0.001,0.155
2024-01-05 10:30:00,0.001,0.0,0.001,0.155
2024-01-05 10:45:00,0.001,0.0,0.001,0.041
2024-01-05 11:00:00,0.001,0.0,0.001,0.041
2024-01-05 11:15:00,0.001,0.0,0.001,0.041
2024-01-05 11:30:00,0.001,0.0,0.001,0.45346666666666663
2024-01-05 11:45:00,0.001,0.0,0.001,0.3729374110732939
2024-01-05 12:00:00,0.001,0.0,0.001,0.07815707570600684
2024-01-05 12:15:00,0.001,0.0,0.001,0.0528237423726735
2024-01-05 12:30:00,0.001,0.0,0.001,0.13349040903934017
2024-01-05 12:45:00,0.001,0.0,0.001,0.1738237423726735
2024-01-05 13:00:00,0.001,0.0,0.001,0.27200407773996055
2024-01-05 13:15:00,0.001,0.0,0.001,0.2886666666666667
2024-01-05 13:30:00,0.001,0.0,0.001,0.15393333333333334
2024-01-05 13:45:00,0.001,0.0,0.001,0.041
2024-01-05 14:00:00,0.001,0.0,0.001,0.041
2024-01-05 14:15:00,0.001,0.0,0.001,0.041
2024-01-05 14:30:00,0.001,0.0,0.001,0.231
2024-01-05 14:45:00,0.001,0.0,0.001,0.079
2024-01-05 15:00:00,0.001,0.0,0.001,0.041
2024-01-05 15:15:00,0.001,0.0,0.001,0.041
2024-01-05 15:30:00,0.001,0.0,0.001,0.041
