,WasherDryer,WashingMachine,BaseLoad,P_HP
2024-01-03 09:00:00,0.001,0.001,0.155,0.0
2024-01-03 09:15:00,0.1064713048076884,0.001,0.15920695964705525,0.0
2024-01-03 09:30:00,0.7920347860576631,0.001,0.32988553068624765,0.0
2024-01-03 09:45:00,0.7920347860576631,0.001,0.2952188640195809,0.0
2024-01-03 10:00:00,0.7920347860576631,0.001,0.18741886401958097,0.0
2024-01-03 10:15:00,0.7920347860576631,0.001,1.0035521973529142,0.0
2024-01-03 10:30:00,0.7920347860576631,0.001,2.083615027635317,0.0
2024-01-03 10:45:00,0.7920347860576631,0.001,0.19892722219620113,0.0
2024-01-03 11:00:00,0.7920347860576631,0.001,0.7526237423726736,0.0
2024-01-03 11:15:00,0.7920347860576631,0.001,2.365157075706007,0.0
2024-01-03 11:30:00,0.7920347860576631,0.001,0.20482374237267348,0.0
2024-01-03 11:45:00,0.7920347860576631,0.001,1.9197844131072477,2.0
2024-01-03 12:00:00,0.7920347860576631,0.001,1.2745333333333333,0.0
2024-01-03 12:15:00,0.7920347860576631,0.001,0.19786283028240273,0.0
2024-01-03 12:30:00,0.7920347860576631,0.001,2.594727222196201,0.0
2024-01-03 12:45:00,0.7920347860576631,0.001,1.166109273058921,0.0
2024-01-03 13:00:00,0.21194260961537684,0.001,0.4503759397255877,0.0
2024-01-03 13:15:00,0.001,0.001,0.4246959397255878,0.0
2024-01-03 13:30:00,0.001,0.001,0.8615601114771388,0.0
2024-01-03 13:45:00,0.6338278288461304,0.001,0.2895743780941922,0.0
2024-01-03 14:00:00,0.7920347860576631,0.001,0.2511037423726735,0.0
2024-01-03 14:15:00,0.7920347860576631,0.001,0.4465237423726735,0.0
2024-01-03 14:30:00,0.7920347860576631,0.001,0.536900848509923,0.0
2024-01-03 14:45:00,0.7920347860576631,0.001,0.5216092730589211,0.0
2024-01-03 15:00:00,0.7920347860576631,0.001,0.8438404468444259,0.0
2024-01-03 15:15:00,0.7920347860576631,0.001,0.5695855306862476,0.0
2024-01-03 15:30:00,0.7920347860576631,0.001,0.43025219735291437,2.0
2024-01-03 15:45:00,0.7920347860576631,0.001,0.33491886401958104,0.0
2024-01-03 16:00:00,0.7920347860576631,0.001,0.40825219735291435,0.0
2024-01-03 16:15:00,0.7920347860576631,0.001,0.29582869633593745,0.0
2024-01-03 16:30:00,0.7920347860576631,0.001,0.2300759397255878,0.0
2024-01-03 16:45:00,0.7920347860576631,0.001,0.6277724599020602,0.0
2024-01-03 17:00:00,0.7920347860576631,0.0283419891600648,0.7508759397255879,0.0
2024-01-03 17:15:00,0.7920347860576631,0.10681042737621244,0.3571426063922545,0.0
2024-01-03 17:30:00,0.7920347860576631,0.23745119725150918,1.3648759397255879,0.0
2024-01-03 17:45:00,0.7920347860576631,1.1517212860473274,3.1886092730589213,0.0
2024-01-03 18:00:00,0.7920347860576631,0.11247319452245182,0.9094759397255879,0.0
2024-01-03 18:15:00,0.7920347860576631,0.252807102289962,0.4752988335883383,0.0
2024-01-03 18:30:00,0.7920347860576631,0.5250463032851831,0.4342177464405809,0.0
2024-01-03 18:45:00,0.7920347860576631,0.27769471884134433,0.3627576920980267,0.0
2024-01-03 19:00:00,0.264678262019221,0.10995358341106361,0.3973581932850069,1.6
2024-01-03 19:15:00,0.001,0.29023453170057695,0.5410759397255878,0.4
2024-01-03 19:30:00,0.001,0.001,0.38907593972558785,0.0
2024-01-03 19:45:00,0.001,0.001,0.2153759397255878,0.0
2024-01-03 20:00:00,0.001,0.001,0.27184260639225444,0.0
2024-01-03 20:15:00,0.001,0.001,0.32994810113736683,0.0
2024-01-03 20:30:00,0.001,0.001,0.37572769023407626,0.0
2024-01-03 20:45:00,0.001,0.001,0.7736521973529144,0.0
2024-01-03 21:00:00,0.001,0.001,0.5959229417595415,0.0
2024-01-03 21:15:00,0.001,0.001,0.4765959397255878,0.0
2024-01-03 21:30:00,0.05373565240384421,0.001,0.45070579323539356,0.0
2024-01-03 21:45:00,0.7920347860576631,0.001,0.3889904090393402,0.0
2024-01-03 22:00:00,0.7920347860576631,0.001,0.4650037423726735,0.0
2024-01-03 22:15:00,0.7920347860576631,0.001,0.5513904090393402,0.0
2024-01-03 22:30:00,0.7920347860576631,0.001,0.6063237423726735,0.0
2024-01-03 22:45:00,0.7920347860576631,0.001,0.36441128798050587,0.0
2024-01-03 23:00:00,0.7920347860576631,0.001,0.47207593972558776,0.0
2024-01-03 23:15:00,0.7920347860576631,0.001,0.47207593972558776,0.0
2024-01-03 23:30:00,0.7920347860576631,0.001,0.4075426063922544,0.0
2024-01-03 23:45:00,0.7920347860576631,0.001,0.4374759397255878,0.0
2024-01-04 00:00:00,0.7920347860576631,0.001,1.0892341818432563,0.0
2024-01-04 00:15:00,0.7920347860576631,0.001,0.3955237423726735,0.0
2024-01-04 00:30:00,0.7920347860576631,0.001,0.3195237423726735,0.0
