,WasherDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-02 09:45:00,0.001,0.0,0.042,8.066666666666666,2.4
2024-01-02 10:00:00,0.001,0.0,0.042,0.0,3.0
2024-01-02 10:15:00,0.001,0.0,0.064,0.0,3.0
2024-01-02 10:30:00,0.001,0.0,0.152,0.0,3.0
2024-01-02 10:45:00,0.001,0.0,0.04933333333333333,0.0,3.0
2024-01-02 11:00:00,0.001,0.0,0.042,0.0,3.0
2024-01-02 11:15:00,0.001,0.0,0.042,0.0,3.0
2024-01-02 11:30:00,0.001,0.0,0.04933333333333333,0.0,2.6
2024-01-02 11:45:00,0.001,0.0,0.152,1.4666666666666666,0.0
2024-01-02 12:00:00,0.001,0.0,0.064,1.4666666666666666,0.0
2024-01-02 12:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 12:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 12:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 13:00:00,0.001,0.0,0.14466666666666667,0.0,0.0
2024-01-02 13:15:00,0.001,0.0,0.07866666666666666,0.0,0.0
2024-01-02 13:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 13:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 14:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 14:15:00,0.001,0.0,0.13,0.0,0.0
2024-01-02 14:30:00,0.001,0.0,0.09333333333333332,0.0,0.0
2024-01-02 14:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 15:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 15:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 15:30:00,0.001,0.0,0.11533333333333333,1.4666666666666666,0.0
2024-01-02 15:45:00,0.001,0.0,0.108,2.933333333333333,0.0
2024-01-02 16:00:00,0.001,0.0,0.042,0.0,0.4
2024-01-02 16:15:00,0.001,0.0,0.042,0.0,2.6
2024-01-02 16:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 16:45:00,0.001,0.0,0.10066666666666667,0.0,0.0
2024-01-02 17:00:00,0.001,0.0,0.12266666666666666,0.0,0.0
2024-01-02 17:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 17:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 17:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 18:00:00,0.001,0.0,0.08600000000000001,0.0,2.2
2024-01-02 18:15:00,0.001,0.0,0.13733333333333334,0.0,0.0
2024-01-02 18:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 18:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 19:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 19:15:00,0.001,0.0,0.19233333333333336,0.0,0.0
2024-01-02 19:30:00,0.001,0.0,0.2919313184117486,0.0,1.4
2024-01-02 19:45:00,0.001,0.0,0.19455219735291432,0.0,2.4
2024-01-02 20:00:00,0.001,0.0,0.7114855306862478,0.0,0.0
2024-01-02 20:15:00,0.001,0.0,0.13808553068624765,0.0,0.0
2024-01-02 20:30:00,0.001,0.0,0.20921886401958098,0.0,0.0
2024-01-02 20:45:00,0.001,0.0,0.2856208789411657,0.0,0.0
2024-01-02 21:00:00,0.001,0.0,0.17766666666666667,0.0,3.0
2024-01-02 21:15:00,0.001,0.0,0.1610596010523652,0.0,0.2
2024-01-02 21:30:00,0.001,0.0,0.19830927305892113,0.0,0.0
2024-01-02 21:45:00,0.001,0.0,0.32737593972558776,0.0,0.0
2024-01-02 22:00:00,0.001,0.0,0.4373759397255878,0.0,0.0
2024-01-02 22:15:00,0.001,0.0,0.35513277407589794,0.0,0.0
2024-01-02 22:30:00,0.001,0.0,0.31247629628632406,0.0,2.8
2024-01-02 22:45:00,0.001,0.0,0.30317593972558776,0.0,1.0
2024-01-02 23:00:00,0.001,0.0,0.6061759397255879,0.0,0.0
2024-01-02 23:15:00,0.001,0.0,0.42270927305892114,0.0,0.0
2024-01-02 23:30:00,0.001,0.0,0.37137593972558774,0.0,2.0
2024-01-02 23:45:00,0.001,0.0,0.3073013589346966,0.0,0.6
2024-01-03 00:00:00,0.001,0.0,0.19455219735291432,0.0,0.0
2024-01-03 00:15:00,0.001,0.0,0.14615219735291432,0.0,0.0
2024-01-03 00:30:00,0.001,0.0,0.1287113939477521,0.0,0.0
2024-01-03 00:45:00,0.001,0.0,0.11249040903934017,0.0,0.6
2024-01-03 01:00:00,0.001,0.0,0.0538237423726735,0.0,1.4
2024-01-03 01:15:00,0.001,0.0,0.0538237423726735,0.0,0.0
2024-01-03 01:30:00,0.001,0.0,0.5868904090393402,0.0,0.0
2024-01-03 01:45:00,0.001,0.0,0.6489491615817824,0.0,0.0
2024-01-03 02:00:00,0.001,0.0,0.6484,0.0,0.0
2024-01-03 02:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 02:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 02:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 03:00:00,0.001,0.0,0.09333333333333332,0.0,0.0
2024-01-03 03:15:00,0.001,0.0,0.13,0.0,2.0
2024-01-03 03:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 03:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 04:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 04:15:00,0.001,0.0,0.6117333333333334,0.0,0.6
2024-01-03 04:30:00,0.001,0.0,0.14466666666666667,0.0,1.6
2024-01-03 04:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 05:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 05:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 05:30:00,0.001,0.0,0.064,0.0,0.0
2024-01-03 05:45:00,0.001,0.0,0.152,0.0,0.0
2024-01-03 06:00:00,0.001,0.0,0.04933333333333333,0.0,0.0
2024-01-03 06:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 06:30:00,0.001,0.0,0.042,0.0,2.2
2024-01-03 06:45:00,0.001,0.0,0.04933333333333333,0.0,0.0
2024-01-03 07:00:00,0.001,0.0,0.152,0.0,0.0
2024-01-03 07:15:00,0.001,0.0,0.064,0.0,0.0
2024-01-03 07:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 07:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 08:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 08:15:00,0.001,0.0,0.14466666666666667,0.0,0.0
2024-01-03 08:30:00,0.001,0.0,0.07866666666666666,0.0,0.0
2024-01-03 08:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 09:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 09:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 09:30:00,0.001,0.0,0.13,0.0,0.0
2024-01-03 09:45:00,0.001,0.0,0.09333333333333332,0.0,2.2
2024-01-03 10:00:00,0.001,0.0,0.44179999999999997,0.0,0.0
2024-01-03 10:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 10:30:00,0.001,0.0,0.13032,0.0,0.0
2024-01-03 10:45:00,0.001,0.0,0.11533333333333333,0.0,2.2
2024-01-03 11:00:00,0.001,0.0,0.108,0.0,2.8
2024-01-03 11:15:00,0.001,0.30033333333333334,0.04988249491511566,0.0,0.0
2024-01-03 11:30:00,0.001,2.25,0.0538237423726735,0.0,0.0
2024-01-03 11:45:00,0.001,0.9006000000000001,0.5868904090393402,0.0,0.0
2024-01-03 12:00:00,0.001,1.2004666666666668,0.11249040903934017,3.6666666666666665,0.0
2024-01-03 12:15:00,0.001,0.0005333333333333334,0.13449040903934018,11.0,0.0
2024-01-03 12:30:00,0.001,0.0,0.45362374237267356,11.0,1.8
2024-01-03 12:45:00,0.001,0.0,0.0538237423726735,0.0,2.4
2024-01-03 13:00:00,0.001,0.0,0.06671033350333662,0.0,0.0
2024-01-03 13:15:00,0.001,0.0,0.1293759397255878,0.0,0.0
2024-01-03 13:30:00,0.21194260961537684,0.0,0.18070927305892112,0.0,0.0
2024-01-03 13:45:00,0.7920347860576631,0.0,0.48517593972558787,0.0,0.0
2024-01-03 14:00:00,0.7920347860576631,0.0,0.06223766166678398,0.0,0.0
2024-01-03 14:15:00,0.7920347860576631,0.0,0.04830599593209253,0.0,0.0
2024-01-03 14:30:00,0.7920347860576631,0.0,0.07527458079089117,0.0,0.0
2024-01-03 14:45:00,0.7920347860576631,0.0,0.1638237423726735,0.0,0.0
2024-01-03 15:00:00,0.7920347860576631,0.0,0.19095707570600684,0.0,2.2
2024-01-03 15:15:00,0.7920347860576631,0.0,0.29582374237267345,0.0,0.0
2024-01-03 15:30:00,0.7920347860576631,0.0,0.29582374237267345,0.0,0.0
2024-01-03 15:45:00,0.7920347860576631,0.0,0.3049726625987592,0.0,0.0
2024-01-03 16:00:00,0.7920347860576631,0.0,0.28913333333333335,0.0,0.0
2024-01-03 16:15:00,0.7920347860576631,0.0,0.17766666666666667,0.0,0.0
2024-01-03 16:30:00,0.7920347860576631,0.0,0.23306666666666667,0.0,0.4
2024-01-03 16:45:00,0.7392991336538189,0.0,0.163,0.0,1.8
2024-01-03 17:00:00,0.001,0.0,0.163,0.0,0.0
2024-01-03 17:15:00,0.001,0.0,0.273,0.0,1.2
2024-01-03 17:30:00,0.001,0.0,1.1256666666666666,0.0,0.8
2024-01-03 17:45:00,0.001,0.0,1.4640666666666666,0.0,0.0
2024-01-03 18:00:00,0.001,0.0,0.163,0.0,0.0
2024-01-03 18:15:00,0.001,0.0,0.163,0.0,0.0
2024-01-03 18:30:00,0.001,0.0,0.25833333333333336,0.0,0.0
2024-01-03 18:45:00,0.001,0.0,0.2154139192941105,0.0,0.0
2024-01-03 19:00:00,0.001,0.0,0.154218864019581,0.0,0.0
2024-01-03 19:15:00,0.001,0.0,0.23488553068624765,0.0,0.0
2024-01-03 19:30:00,0.001,1.3503333333333332,0.31555219735291423,0.0,0.4
2024-01-03 19:45:00,0.001,1.6502666666666668,0.796018864019581,0.0,1.8
2024-01-03 20:00:00,0.001,1.5003333333333333,0.374218864019581,0.0,0.0
2024-01-03 20:15:00,0.001,0.1508,0.24295219735291432,0.0,0.8
2024-01-03 20:30:00,0.001,0.0,0.130018864019581,0.0,2.2
2024-01-03 20:45:00,0.001,0.0,0.20016813156860955,0.0,0.0
2024-01-03 21:00:00,0.001,0.0,0.35,0.0,2.4
2024-01-03 21:15:00,0.001,0.0,0.35733333333333334,0.0,0.0
2024-01-03 21:30:00,0.001,0.0,0.284,0.0,0.0
2024-01-03 21:45:00,0.001,0.0,0.284,0.0,0.0
2024-01-03 22:00:00,0.001,0.0,0.1549333333333333,0.0,0.0
2024-01-03 22:15:00,0.001,0.0,0.09333333333333332,0.0,0.0
2024-01-03 22:30:00,0.001,0.0,0.13,0.0,0.0
2024-01-03 22:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-03 23:00:00,0.001,0.0,0.042788249491511575,0.0,0.0
2024-01-03 23:15:00,0.001,0.0,0.0538237423726735,0.0,0.0
2024-01-03 23:30:00,0.001,0.0,0.09049040903934016,0.0,0.0
2024-01-03 23:45:00,0.001,0.0,0.15649040903934014,0.0,0.0
2024-01-04 00:00:00,0.001,0.0,0.09415707570600683,0.0,1.4
2024-01-04 00:15:00,0.001,0.0,0.1748237423726735,0.0,0.8
2024-01-04 00:30:00,0.001,0.0,0.29705491615817825,0.0,0.0
2024-01-04 00:45:00,0.001,0.0,0.5848,0.0,0.0
2024-01-04 01:00:00,0.001,0.0,0.273,0.7333333333333333,0.0
2024-01-04 01:15:00,0.001,0.0,0.10580000000000002,1.4666666666666666,0.0
2024-01-04 01:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 01:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-04 02:00:00,0.001,0.0,0.04933333333333333,0.0,0.0
