,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-05-31 03:00:00,0.001,0.0,0.001,0.17966666666666667,0.0
2024-05-31 03:15:00,0.001,0.0,0.001,0.053,0.0
2024-05-31 03:30:00,0.001,0.0,0.001,0.053,0.0
2024-05-31 03:45:00,0.001,0.0,0.001,0.208,0.0
2024-05-31 04:00:00,0.001,0.0,0.001,0.19799999999999998,0.0
2024-05-31 04:15:00,0.001,0.0,0.001,0.21766666666666667,0.0
2024-05-31 04:30:00,0.001,0.0,0.001,0.053,0.0
2024-05-31 04:45:00,0.001,0.0,0.001,0.12533333333333332,0.0
2024-05-31 05:00:00,0.001,0.0,0.001,0.16666666666666666,0.0
2024-05-31 05:15:00,0.001,0.0,0.001,0.129,0.0
2024-05-31 05:30:00,0.001,0.0,0.001,0.243,0.0
2024-05-31 05:45:00,0.001,0.0,0.001,0.06566666666666666,0.0
2024-05-31 06:00:00,0.001,0.0,0.001,0.19766666666666666,0.0
2024-05-31 06:15:00,0.001,0.0,0.001,0.09433333333333334,0.0
2024-05-31 06:30:00,0.001,0.0,0.001,0.091,0.0
2024-05-31 06:45:00,0.001,0.0,0.001,0.243,0.0
2024-05-31 07:00:00,0.001,0.0,0.001,0.16566666666666666,0.0
2024-05-31 07:15:00,0.001,0.0,0.001,0.7100666666666666,0.0
2024-05-31 07:30:00,0.001,0.0,0.001,0.053,0.0
2024-05-31 07:45:00,0.001,0.0,0.001,0.10139999999999999,0.0
2024-05-31 08:00:00,0.001,0.0,0.001,0.364,0.0
2024-05-31 08:15:00,0.001,0.0,0.001,0.397,0.0
2024-05-31 08:30:00,0.001,0.0,0.001,0.22566666666666665,0.0
2024-05-31 08:45:00,0.001,0.0,0.001,0.174,0.0
2024-05-31 09:00:00,0.001,0.0,0.001,0.11986666666666666,0.0
2024-05-31 09:15:00,0.001,0.0,0.001,0.26966666666666667,0.0
2024-05-31 09:30:00,0.001,0.0,0.001,1.9755333333333334,0.0
2024-05-31 09:45:00,0.001,0.0,0.001,0.8236666666666667,0.0
2024-05-31 10:00:00,0.001,0.0,0.001,0.15613333333333335,0.0
2024-05-31 10:15:00,0.001,0.0,0.001,0.144,0.0
2024-05-31 10:30:00,0.001,0.0,0.001,0.3516666666666667,0.0
2024-05-31 10:45:00,0.001,0.0,0.001,0.38908754560783243,0.0
2024-05-31 11:00:00,0.001,0.0,0.001,0.2297521973529143,0.0
2024-05-31 11:15:00,0.001,0.0,0.001,0.8691521973529143,0.0
2024-05-31 11:30:00,0.001,0.0,0.001,0.38088553068624764,0.0
2024-05-31 11:45:00,0.001,0.0,0.001,0.5440855306862477,2.8
2024-05-31 12:00:00,0.001,0.0,0.001,0.39382783858822096,7.0
2024-05-31 12:15:00,0.001,0.0,0.001,0.16133333333333333,7.0
2024-05-31 12:30:00,0.001,0.0,0.001,0.053,7.0
2024-05-31 12:45:00,0.001,0.0,0.001,0.16666666666666666,2.3333333333333335
2024-05-31 13:00:00,0.001,0.0,0.001,0.2959024193791121,0.0
2024-05-31 13:15:00,0.001,0.0,0.001,0.4203759397255878,0.0
2024-05-31 13:30:00,0.001,0.0,0.001,0.2810426063922545,0.0
2024-05-31 13:45:00,0.001,0.0,0.001,0.2613759397255878,0.0
2024-05-31 14:00:00,0.001,0.0,0.001,0.38824260639225444,0.0
2024-05-31 14:15:00,0.001,0.0,0.001,0.2587709950001173,2.8
2024-05-31 14:30:00,0.001,0.0,0.001,0.49524724338965037,1.4
2024-05-31 14:45:00,0.001,0.0,0.001,0.38539999999999996,0.0
2024-05-31 15:00:00,0.001,0.0,0.001,0.41133333333333333,0.0
2024-05-31 15:15:00,0.001,0.0,0.001,0.7904666666666668,0.0
2024-05-31 15:30:00,0.001,0.0,0.001,0.6078347982352762,0.0
2024-05-31 15:45:00,0.001,0.0,0.001,0.3705521973529143,2.3333333333333335
2024-05-31 16:00:00,0.001,0.0,0.001,0.36037186198562726,0.0
2024-05-31 16:15:00,0.001,0.0,0.001,0.3723759397255878,0.0
2024-05-31 16:30:00,0.001,0.0,0.001,0.2108814344707002,0.0
2024-05-31 16:45:00,0.001,0.0002666666666666667,0.001,0.29875707570600685,0.0
2024-05-31 17:00:00,0.001,2.1000666666666667,0.001,0.38049040903934017,0.0
2024-05-31 17:15:00,0.001,1.2004666666666668,0.001,0.5581844131072476,0.0
2024-05-31 17:30:00,0.001,1.3504,0.001,0.388,0.0
2024-05-31 17:45:00,0.001,0.0007333333333333333,0.001,0.295,0.0
2024-05-31 18:00:00,0.001,0.0,0.001,0.2224,0.0
2024-05-31 18:15:00,0.001,0.0,0.001,0.7127333333333333,0.0
2024-05-31 18:30:00,0.001,0.0,0.001,0.519,0.0
2024-05-31 18:45:00,0.001,0.0,0.001,0.23047161139213715,0.0
2024-05-31 19:00:00,0.001,0.0,0.001,0.2055521973529143,0.0
2024-05-31 19:15:00,0.001,0.0,0.001,0.6838321973529143,0.0
2024-05-31 19:30:00,0.001,0.0,0.001,0.958518864019581,0.0
2024-05-31 19:45:00,0.001,0.0,0.001,0.7123881315686095,0.0
2024-05-31 20:00:00,0.001,0.0,0.001,0.464518864019581,0.0
2024-05-31 20:15:00,0.001,0.7503333333333333,0.001,0.464616945827449,0.0
2024-05-31 20:30:00,0.001,2.25,0.001,0.4740759397255878,0.0
2024-05-31 20:45:00,0.001,0.9006000000000001,0.001,0.6290759397255877,0.0
2024-05-31 21:00:00,0.001,0.7506666666666667,0.001,0.6929724599020601,0.0
2024-05-31 21:15:00,0.001,0.0002,0.001,0.5311904090393401,0.0
2024-05-31 21:30:00,0.001,0.0,0.001,0.3699237423726735,0.0
2024-05-31 21:45:00,0.001,0.0,0.001,0.3828215828248449,0.0
2024-05-31 22:00:00,0.001,0.0,0.001,0.42336666666666667,0.0
2024-05-31 22:15:00,0.001,0.0,0.001,0.3891,0.0
2024-05-31 22:30:00,0.001,0.0,0.001,0.31536666666666663,0.0
2024-05-31 22:45:00,0.001,0.0,0.001,0.18869999999999998,0.0
2024-05-31 23:00:00,0.001,0.0,0.001,0.33336666666666664,0.0
2024-05-31 23:15:00,0.001,0.0,0.001,0.23003333333333334,0.0
2024-05-31 23:30:00,0.001,0.0,0.001,0.30269999999999997,0.0
2024-05-31 23:45:00,0.001,0.0,0.001,0.39448824949151157,0.0
2024-06-01 00:00:00,0.001,0.0,0.001,0.3835237423726735,0.0
2024-06-01 00:15:00,0.001,0.0,0.001,0.44552374237267345,0.0
2024-06-01 00:30:00,0.001,0.0,0.001,0.23105707570600684,0.0
2024-06-01 00:45:00,0.001,0.0,0.001,0.26182374237267353,0.0
2024-06-01 01:00:00,0.001,0.0,0.001,0.2532472433896504,0.0
2024-06-01 01:15:00,0.001,0.0,0.001,0.2,0.0
2024-06-01 01:30:00,0.001,0.0,0.001,0.10466666666666666,0.0
2024-06-01 01:45:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 02:00:00,0.001,0.0,0.001,0.091,0.0
2024-06-01 02:15:00,0.001,0.0,0.001,0.2946666666666667,0.0
2024-06-01 02:30:00,0.001,0.0,0.001,0.238,0.0
2024-06-01 02:45:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 03:00:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 03:15:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 03:30:00,0.001,0.0,0.001,0.367,0.0
2024-06-01 03:45:00,0.001,0.0,0.001,0.2036666666666667,0.0
2024-06-01 04:00:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 04:15:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 04:30:00,0.001,0.0,0.001,0.09433333333333334,0.0
2024-06-01 04:45:00,0.001,0.0,0.001,0.3496666666666667,0.0
2024-06-01 05:00:00,0.001,0.0,0.001,0.17966666666666667,0.0
2024-06-01 05:15:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 05:30:00,0.001,0.0,0.001,0.053,0.0
2024-06-01 05:45:00,0.001,0.0,0.001,0.16666666666666666,0.0
2024-06-01 06:00:00,0.001,0.0,0.001,0.23933333333333331,3.2666666666666666
2024-06-01 06:15:00,0.001,0.0,0.001,0.22719999999999999,7.0
2024-06-01 06:30:00,0.001,0.0,0.001,0.066,0.4666666666666667
2024-06-01 06:45:00,0.001,0.0,0.001,0.13733333333333334,0.0
2024-06-01 07:00:00,0.001,0.0,0.001,0.42929808180786805,0.0
2024-06-01 07:15:00,0.001,0.0,0.001,0.3528237423726735,0.0
2024-06-01 07:30:00,0.001,0.0,0.001,0.4668237423726735,0.0
2024-06-01 07:45:00,0.001,0.0,0.001,0.28949040903934015,0.0
2024-06-01 08:00:00,0.001,0.0,0.001,0.6579688262144953,0.0
2024-06-01 08:15:00,0.001,0.0,0.001,0.13566666666666666,0.0
2024-06-01 08:30:00,0.001,0.0,0.001,0.091,0.0
2024-06-01 08:45:00,0.001,0.0,0.297276234069305,0.5418,0.0
2024-06-01 09:00:00,0.001,0.0,0.7682342728211028,0.5118666666666667,0.0
2024-06-01 09:15:00,0.001,0.0,0.23075527013400157,0.3324666666666667,0.0
2024-06-01 09:30:00,0.001,0.0,0.1654467459191263,0.19733333333333333,0.0
2024-06-01 09:45:00,0.001,0.0,0.862219893075306,0.187,0.0
2024-06-01 10:00:00,0.4228852192307536,0.0,0.927589509504157,0.26406666666666667,0.0
2024-06-01 10:15:00,0.7920347860576631,0.0,0.10276240932223042,0.33598666666666666,0.0
2024-06-01 10:30:00,0.7920347860576631,0.0,0.2128863143598306,0.159,0.0
