,DishWasher,BaseLoad,P_WB
2024-09-30 22:15:00,0.0,0.8921426063922546,0.6666666666666666
2024-09-30 22:30:00,0.0,0.34694260639225444,0.6666666666666666
2024-09-30 22:45:00,0.0,0.3667426063922545,2.0
2024-09-30 23:00:00,0.0,0.5010759397255878,0.0
2024-09-30 23:15:00,0.0,0.9378092730589211,3.0
2024-09-30 23:30:00,0.0,0.5360759397255878,0.6666666666666666
2024-09-30 23:45:00,0.0,0.7204759397255879,0.0
2024-10-01 00:00:00,0.0,0.22507593972558781,0.0
2024-10-01 00:15:00,0.0,0.4620092730589212,0.0
2024-10-01 00:30:00,0.0,0.4184092730589211,0.0
2024-10-01 00:45:00,0.0,0.3460759397255878,0.0
2024-10-01 01:00:00,0.0,0.8776338345203134,1.6666666666666667
2024-10-01 01:15:00,0.0,0.4259,0.0
2024-10-01 01:30:00,0.0,0.7870999999999999,0.0
2024-10-01 01:45:00,0.0,0.19714,0.0
2024-10-01 02:00:00,0.0,0.046,1.6666666666666667
2024-10-01 02:15:00,0.0,0.046,0.0
2024-10-01 02:30:00,0.0,0.12199999999999998,1.0
2024-10-01 02:45:00,0.0,0.9229999999999999,1.0
2024-10-01 03:00:00,0.0,1.0259333333333334,0.0
2024-10-01 03:15:00,0.0,0.06666666666666667,3.3333333333333335
2024-10-01 03:30:00,0.0,0.5790666666666666,0.0
2024-10-01 03:45:00,0.0,0.046,1.3333333333333333
2024-10-01 04:00:00,0.0,0.046,0.0
2024-10-01 04:15:00,0.0,1.2928666666666666,0.0
2024-10-01 04:30:00,0.0,0.21966666666666665,0.0
2024-10-01 04:45:00,0.0,0.17926666666666666,0.0
2024-10-01 05:00:00,0.0,0.31253333333333333,0.0
2024-10-01 05:15:00,0.0,0.046,1.0
2024-10-01 05:30:00,0.0,0.11833333333333335,0.0
2024-10-01 05:45:00,0.0,0.284,0.0
2024-10-01 06:00:00,0.0,0.2233333333333333,0.0
2024-10-01 06:15:00,0.0,0.046,1.3333333333333333
2024-10-01 06:30:00,0.0,0.5894666666666666,0.0
2024-10-01 06:45:00,0.0,1.0125333333333333,0.0
2024-10-01 07:00:00,0.0,0.214,1.0
2024-10-01 07:15:00,0.0,0.12546666666666667,0.0
2024-10-01 07:30:00,0.0,0.3278666666666667,1.0
2024-10-01 07:45:00,0.0,0.7464,1.0
2024-10-01 08:00:00,0.0,0.15,0.0
2024-10-01 08:15:00,0.0,0.5405333333333334,0.0
2024-10-01 08:30:00,0.0,0.3434666666666667,1.0
