,WasherDryer,TumbleDryer,WashingMachine,BaseLoad
2024-07-24 14:30:00,0.001,0.001,0.001,0.082
2024-07-24 14:45:00,0.001,0.001,0.001,0.038
2024-07-24 15:00:00,0.001,0.001,0.001,0.038
2024-07-24 15:15:00,0.001,0.001,0.001,0.5710666666666666
2024-07-24 15:30:00,0.001,0.001,0.001,0.038
2024-07-24 15:45:00,0.001,0.001,0.001,0.09666666666666666
2024-07-24 16:00:00,0.001,0.001,0.001,0.12260791412422449
2024-07-24 16:15:00,0.001,0.001,0.001,0.08209040903934017
2024-07-24 16:30:00,0.3701495668269094,0.001,0.001,0.2002724599020602
2024-07-24 16:45:00,0.7920347860576631,0.001,0.001,0.20237593972558782
2024-07-24 17:00:00,0.7920347860576631,0.001,0.001,0.20237593972558782
2024-07-24 17:15:00,0.7920347860576631,0.001,0.001,0.21806994379349529
2024-07-24 17:30:00,0.7920347860576631,0.001,0.001,0.7827681315686095
2024-07-24 17:45:00,0.7920347860576631,0.001,0.001,0.15826666666666667
2024-07-24 18:00:00,0.7920347860576631,0.001,0.001,0.159
2024-07-24 18:15:00,0.7920347860576631,0.001,0.001,0.159
2024-07-24 18:30:00,0.7920347860576631,0.001,0.001,0.17751774644058096
2024-07-24 18:45:00,0.7920347860576631,0.001,0.001,0.19013418184325637
2024-07-24 19:00:00,0.7920347860576631,0.001,0.001,0.20584260639225446
2024-07-24 19:15:00,0.7920347860576631,0.001,0.001,0.1340426063922545
2024-07-24 19:30:00,0.7920347860576631,0.001,0.001,0.08058769023407623
2024-07-24 19:45:00,0.7392991336538189,0.001,0.001,0.0695521973529143
2024-07-24 20:00:00,0.001,0.001,0.001,0.0485173991176381
2024-07-24 20:15:00,0.001,0.001,0.001,0.0498237423726735
2024-07-24 20:30:00,0.001,0.001,0.001,0.10849040903934017
2024-07-24 20:45:00,0.001,0.001,0.001,0.13049040903934014
2024-07-24 21:00:00,0.001,0.001,0.001,0.5530814344707002
2024-07-24 21:15:00,0.001,0.001,0.001,0.20237593972558782
2024-07-24 21:30:00,0.001,0.001,0.001,0.5966581932850069
2024-07-24 21:45:00,0.001,0.001,0.001,0.20237593972558782
2024-07-24 22:00:00,0.001,0.001,0.001,0.2001759397255878
2024-07-24 22:15:00,0.001,0.001,0.001,0.30360780815697824
2024-07-24 22:30:00,0.001,0.9808338158094145,0.001,0.32369040903934015
2024-07-24 22:45:00,0.001,1.8718670002722217,0.001,0.0498237423726735
2024-07-24 23:00:00,0.001,1.9694928551016753,0.001,0.04667074440662723
2024-07-24 23:15:00,0.001,1.8811419253958235,0.001,0.038
2024-07-24 23:30:00,0.001,0.3366899832194773,0.001,0.038
2024-07-24 23:45:00,0.001,0.001,0.001,0.13333333333333333
2024-07-25 00:00:00,0.001,0.001,0.001,0.082
2024-07-25 00:15:00,0.001,0.001,0.001,0.038
2024-07-25 00:30:00,0.001,0.001,0.001,0.038
2024-07-25 00:45:00,0.001,0.001,0.001,0.5710666666666666
2024-07-25 01:00:00,0.001,0.001,0.001,0.038
2024-07-25 01:15:00,0.001,0.001,0.001,0.09666666666666666
2024-07-25 01:30:00,0.001,0.001,0.001,0.11866666666666666
2024-07-25 01:45:00,0.001,0.001,0.001,0.038
2024-07-25 02:00:00,0.001,0.001,0.001,0.038
2024-07-25 02:15:00,0.001,0.001,0.001,0.038
2024-07-25 02:30:00,0.001,0.001,0.001,0.43779999999999997
2024-07-25 02:45:00,0.001,0.001,0.001,0.1326
2024-07-25 03:00:00,0.001,0.001,0.001,0.8041701464901944
2024-07-25 03:15:00,0.001,0.001,0.001,0.19788553068624765
2024-07-25 03:30:00,0.001,0.001,0.001,0.19055219735291432
2024-07-25 03:45:00,0.001,0.001,0.001,0.15021886401958098
2024-07-25 04:00:00,0.001,0.001,0.001,0.5903521973529143
2024-07-25 04:15:00,0.001,0.001,0.001,0.1884487175293867
2024-07-25 04:30:00,0.001,0.001,0.001,0.25433333333333336
2024-07-25 04:45:00,0.001,0.001,0.001,0.20299999999999999
2024-07-25 05:00:00,0.001,0.001,0.001,0.159
