,BaseLoad,P_EV,P_HP
2024-01-04 23:00:00,0.48807593972558777,0.0,0.5333333333333333
2024-01-04 23:15:00,0.6250759397255877,0.0,0.0
2024-01-04 23:30:00,0.4937426063922545,0.0,0.0
2024-01-04 23:45:00,0.3540759397255878,0.0,0.0
2024-01-05 00:00:00,0.34934644277651844,0.0,0.0
2024-01-05 00:15:00,0.2833347982352762,0.0,1.3333333333333333
2024-01-05 00:30:00,0.7227666666666667,0.0,3.2
2024-01-05 00:45:00,0.35436666666666666,0.0,0.0
2024-01-05 01:00:00,0.3408570757060068,0.0,0.0
2024-01-05 01:15:00,0.6013237423726736,0.0,0.0
2024-01-05 01:30:00,0.2015237423726735,0.0,0.0
2024-01-05 01:45:00,0.2015237423726735,0.0,0.0
2024-01-05 02:00:00,0.2015237423726735,0.0,4.0
2024-01-05 02:15:00,0.34721774644058095,0.0,0.5333333333333333
2024-01-05 02:30:00,0.3417,0.0,0.0
2024-01-05 02:45:00,0.1806533333333333,0.0,0.0
2024-01-05 03:00:00,0.1508,0.0,0.0
2024-01-05 03:15:00,0.4415333333333333,0.0,0.0
2024-01-05 03:30:00,0.30826666666666663,0.0,0.0
2024-01-05 03:45:00,0.3143333333333333,0.0,0.0
2024-01-05 04:00:00,0.2912666666666667,0.0,0.0
2024-01-05 04:15:00,0.054,0.0,3.2
2024-01-05 04:30:00,0.054,0.0,0.26666666666666666
2024-01-05 04:45:00,0.054,0.0,4.0
2024-01-05 05:00:00,0.054,0.0,0.5333333333333333
2024-01-05 05:15:00,0.18066666666666667,0.0,0.0
2024-01-05 05:30:00,0.2313333333333333,0.0,0.0
2024-01-05 05:45:00,0.054,0.0,0.0
2024-01-05 06:00:00,0.054,0.0,1.0666666666666667
2024-01-05 06:15:00,0.054,0.0,3.7333333333333334
2024-01-05 06:30:00,0.7203333333333333,0.0,0.0
2024-01-05 06:45:00,0.5678,0.0,0.0
2024-01-05 07:00:00,0.24400000000000002,0.0,0.0
2024-01-05 07:15:00,0.054,0.0,0.0
2024-01-05 07:30:00,0.054,0.0,2.1333333333333333
2024-01-05 07:45:00,0.054,0.0,2.6666666666666665
2024-01-05 08:00:00,0.18726666666666666,0.0,0.0
2024-01-05 08:15:00,0.5551333333333334,0.0,0.0
2024-01-05 08:30:00,0.6530805859607772,0.0,0.0
2024-01-05 08:45:00,0.11121886401958098,0.0,0.0
2024-01-05 09:00:00,0.6318855306862476,0.0,3.2
2024-01-05 09:15:00,2.098552197352914,0.0,1.6
2024-01-05 09:30:00,0.08901886401958098,0.0,0.0
2024-01-05 09:45:00,0.2906576920980266,0.0,0.0
2024-01-05 10:00:00,0.7406,0.0,0.0
2024-01-05 10:15:00,0.20033333333333334,0.0,0.0
2024-01-05 10:30:00,0.17846666666666666,0.0,3.7333333333333334
2024-01-05 10:45:00,0.3215533333333333,0.0,0.8
2024-01-05 11:00:00,2.2316333333333334,0.0,0.0
2024-01-05 11:15:00,2.185097985078415,0.0,0.0
2024-01-05 11:30:00,2.384318864019581,10.266666666666667,0.0
2024-01-05 11:45:00,2.219318864019581,2.933333333333333,0.8
2024-01-05 12:00:00,0.34225219735291434,0.0,3.7333333333333334
2024-01-05 12:15:00,0.2857855306862476,0.0,0.0
2024-01-05 12:30:00,0.2107347982352762,0.0,0.0
2024-01-05 12:45:00,0.25303333333333333,0.0,0.0
2024-01-05 13:00:00,0.3797,0.0,0.0
2024-01-05 13:15:00,0.24036666666666665,0.0,1.0666666666666667
2024-01-05 13:30:00,0.18969999999999995,0.0,3.466666666666667
2024-01-05 13:45:00,0.18969999999999995,0.0,0.0
2024-01-05 14:00:00,0.18969999999999995,0.0,0.0
2024-01-05 14:15:00,0.24619808180786804,3.6666666666666665,0.0
2024-01-05 14:30:00,0.44485707570600685,2.2,0.0
2024-01-05 14:45:00,0.39885707570600687,0.0,0.8
2024-01-05 15:00:00,0.35165707570600685,0.0,3.7333333333333334
2024-01-05 15:15:00,0.4565237423726735,0.0,0.0
2024-01-05 15:30:00,0.9795649990680247,0.0,0.0
2024-01-05 15:45:00,0.4528521973529143,0.0,0.0
2024-01-05 16:00:00,0.5452521973529143,0.0,0.0
2024-01-05 16:15:00,0.564518864019581,0.0,0.0
2024-01-05 16:30:00,0.787318864019581,0.0,4.0
2024-01-05 16:45:00,0.46758553068624764,0.0,0.5333333333333333
2024-01-05 17:00:00,0.46325219735291434,0.0,0.0
2024-01-05 17:15:00,0.48858553068624766,0.0,0.0
2024-01-05 17:30:00,1.196718864019581,0.0,0.0
2024-01-05 17:45:00,0.4600521973529143,0.0,0.0
2024-01-05 18:00:00,0.5250664639699677,0.0,2.6666666666666665
2024-01-05 18:15:00,1.6150759397255878,0.0,1.8666666666666667
2024-01-05 18:30:00,1.3432092730589211,0.0,0.0
2024-01-05 18:45:00,2.3409426063922547,0.0,0.0
2024-01-05 19:00:00,1.3567426063922545,0.0,0.0
2024-01-05 19:15:00,1.9424210235674095,0.0,0.0
2024-01-05 19:30:00,2.7152521973529145,0.0,1.3333333333333333
2024-01-05 19:45:00,0.4812210235674096,0.0,3.2
2024-01-05 20:00:00,0.4750759397255878,0.0,0.0
2024-01-05 20:15:00,0.3484226063922545,0.0,0.0
2024-01-05 20:30:00,0.5293759397255877,0.0,0.0
2024-01-05 20:45:00,0.34044260639225443,0.0,0.0
2024-01-05 21:00:00,0.20707029111643813,0.0,0.0
2024-01-05 21:15:00,0.2183759397255878,0.0,3.7333333333333334
2024-01-05 21:30:00,0.2425759397255878,0.0,0.5333333333333333
2024-01-05 21:45:00,0.33937593972558777,0.0,0.0
2024-01-05 22:00:00,0.5167092730589211,0.0,0.0
2024-01-05 22:15:00,0.5764426063922544,0.0,0.0
2024-01-05 22:30:00,0.43658055552953445,0.0,0.0
2024-01-05 22:45:00,0.4435237423726735,0.0,0.0
2024-01-05 23:00:00,0.4435237423726735,0.0,0.0
2024-01-05 23:15:00,0.3709237423726735,0.0,0.8
2024-01-05 23:30:00,0.48640215954782856,0.0,0.0
2024-01-05 23:45:00,0.4731716113921372,0.0,0.0
2024-01-06 00:00:00,0.3341855306862477,0.0,0.0
2024-01-06 00:15:00,0.2212521973529143,0.0,0.0
2024-01-06 00:30:00,0.2212521973529143,0.0,0.0
2024-01-06 00:45:00,0.21494175788233144,0.0,0.0
2024-01-06 01:00:00,0.3417,0.0,0.0
2024-01-06 01:15:00,0.3417,0.0,0.0
2024-01-06 01:30:00,0.18969999999999995,0.0,0.0
2024-01-06 01:45:00,0.18969999999999995,0.0,0.0
2024-01-06 02:00:00,0.18969999999999995,0.0,0.0
2024-01-06 02:15:00,0.18969999999999995,0.0,0.0
2024-01-06 02:30:00,0.3290333333333333,0.0,0.0
2024-01-06 02:45:00,0.35436666666666666,0.0,0.0
2024-01-06 03:00:00,0.18969999999999995,0.0,0.0
2024-01-06 03:15:00,0.5894999999999999,0.0,0.0
2024-01-06 03:30:00,0.18969999999999995,0.0,0.0
2024-01-06 03:45:00,0.7227666666666667,0.0,0.0
2024-01-06 04:00:00,0.2892266666666667,0.0,0.0
2024-01-06 04:15:00,0.2313333333333333,0.0,0.5333333333333333
2024-01-06 04:30:00,0.054,0.0,2.933333333333333
2024-01-06 04:45:00,0.054,0.0,0.0
2024-01-06 05:00:00,0.45380000000000004,0.0,0.8
2024-01-06 05:15:00,0.18726666666666664,0.0,0.0
2024-01-06 05:30:00,0.168,0.0,1.0666666666666667
2024-01-06 05:45:00,0.24400000000000002,0.0,0.5333333333333333
2024-01-06 06:00:00,0.054,0.0,2.933333333333333
2024-01-06 06:15:00,0.067,0.0,4.0
2024-01-06 06:30:00,0.067,0.0,4.0
2024-01-06 06:45:00,0.067,0.0,2.6666666666666665
2024-01-06 07:00:00,0.5646666666666665,0.0,0.0
2024-01-06 07:15:00,0.24400000000000002,11.0,0.0
2024-01-06 07:30:00,0.5997333333333333,5.133333333333334,0.0
2024-01-06 07:45:00,0.054,0.0,1.3333333333333333
2024-01-06 08:00:00,0.054,0.0,4.0
2024-01-06 08:15:00,0.054,0.0,0.5333333333333333
2024-01-06 08:30:00,0.14266666666666666,0.0,0.0
2024-01-06 08:45:00,0.24400000000000002,0.0,0.0
2024-01-06 09:00:00,0.0906,0.0,0.0
2024-01-06 09:15:00,0.067,0.0,4.0
2024-01-06 09:30:00,0.067,0.0,0.8
2024-01-06 09:45:00,1.8003333333333336,0.0,0.0
2024-01-06 10:00:00,1.0685333333333336,0.0,0.0
2024-01-06 10:15:00,0.24400000000000002,0.0,0.0
2024-01-06 10:30:00,0.092,0.0,2.4
2024-01-06 10:45:00,0.054,0.0,2.4
2024-01-06 11:00:00,0.1266,0.0,0.0
2024-01-06 11:15:00,0.175,0.0,0.0
2024-01-06 11:30:00,1.3578666666666666,0.0,0.0
2024-01-06 11:45:00,1.484533333333333,0.0,0.0
2024-01-06 12:00:00,0.7587333333333334,0.0,3.466666666666667
2024-01-06 12:15:00,0.23711999999999997,0.0,1.3333333333333333
2024-01-06 12:30:00,0.18969999999999995,0.0,0.0
2024-01-06 12:45:00,0.3001,4.4,0.0
2024-01-06 13:00:00,0.24036666666666665,11.0,0.0
2024-01-06 13:15:00,0.3918333333333333,0.7333333333333333,0.0
2024-01-06 13:30:00,0.6658333333333333,0.0,3.466666666666667
2024-01-06 13:45:00,0.7568014649019428,0.0,1.0666666666666667
2024-01-06 14:00:00,0.22558553068624762,0.0,0.0
2024-01-06 14:15:00,0.22282869633593744,0.0,0.0
2024-01-06 14:30:00,0.2710759397255878,0.0,0.0
2024-01-06 14:45:00,0.4230759397255878,0.0,0.0
2024-01-06 15:00:00,0.2901446213138392,0.0,0.0
2024-01-06 15:15:00,0.2015237423726735,0.0,2.1333333333333333
2024-01-06 15:30:00,0.2015237423726735,0.0,3.466666666666667
2024-01-06 15:45:00,0.19442949694906939,0.0,0.0
2024-01-06 16:00:00,0.21503333333333333,0.0,0.0
2024-01-06 16:15:00,0.3797,0.0,0.0
2024-01-06 16:30:00,0.27836666666666665,0.0,0.0
2024-01-06 16:45:00,0.18969999999999995,0.0,0.5333333333333333
2024-01-06 17:00:00,0.18969999999999995,0.0,4.0
2024-01-06 17:15:00,0.27802,0.0,0.0
2024-01-06 17:30:00,0.07571333333333333,0.0,0.0
2024-01-06 17:45:00,0.24486666666666668,0.0,0.0
2024-01-06 18:00:00,1.1015333333333333,0.0,0.0
2024-01-06 18:15:00,2.454660815360818,0.0,0.8
2024-01-06 18:30:00,1.6255759397255878,0.0,3.7333333333333334
2024-01-06 18:45:00,0.3523759397255878,0.0,0.0
2024-01-06 19:00:00,0.3007759397255878,0.0,0.0
2024-01-06 19:15:00,0.6885092730589212,0.0,0.0
2024-01-06 19:30:00,0.48441164454124225,0.0,0.0
2024-01-06 19:45:00,0.18446343743662913,0.0,1.3333333333333333
2024-01-06 20:00:00,1.774509273058921,0.0,3.2
2024-01-06 20:15:00,2.3403759397255874,0.0,0.0
2024-01-06 20:30:00,0.17804260639225447,0.0,0.0
2024-01-06 20:45:00,0.2747092730589211,0.0,0.0
2024-01-06 21:00:00,0.3162883941177554,0.0,0.0
2024-01-06 21:15:00,0.24917649898302313,0.0,1.3333333333333333
2024-01-06 21:30:00,0.31571512436476984,0.0,0.0
2024-01-06 21:45:00,0.33937593972558777,0.0,0.0
2024-01-06 22:00:00,0.33937593972558777,0.0,0.0
2024-01-06 22:15:00,0.8473759397255878,0.0,0.0
2024-01-06 22:30:00,0.3738426063922544,0.0,0.0
2024-01-06 22:45:00,0.20128683248635978,0.0,0.0
2024-01-06 23:00:00,0.32324260639225444,0.0,0.0
