,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-09 12:00:00,0.001,0.001,0.0,0.001,0.15233333333333335,0.0
2024-01-09 12:15:00,0.001,0.001,0.0,0.001,0.13966666666666666,0.0
2024-01-09 12:30:00,0.001,0.001,0.0,0.001,0.051,1.6
2024-01-09 12:45:00,0.001,0.001,0.0,0.001,0.17766666666666667,1.0
2024-01-09 13:00:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-09 13:15:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-09 13:30:00,0.001,0.001,0.0,0.001,0.20299999999999999,0.0
2024-01-09 13:45:00,0.001,0.001,0.0,0.001,0.089,0.0
2024-01-09 14:00:00,0.001,0.001,0.0,0.001,0.165,0.0
2024-01-09 14:15:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-09 14:30:00,0.001,0.001,0.0,0.001,0.07633333333333334,0.0
2024-01-09 14:45:00,0.001,0.001,0.0,0.001,0.06366666666666666,0.0
2024-01-09 15:00:00,0.001,0.001,0.0,0.001,0.22833333333333333,0.0
2024-01-09 15:15:00,0.001,0.001,0.0,0.001,0.15233333333333335,0.0
2024-01-09 15:30:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-09 15:45:00,0.001,0.001,0.0,0.001,0.089,0.0
2024-01-09 16:00:00,0.001,0.001,0.0,0.001,0.051,2.0
2024-01-09 16:15:00,0.001,0.001,0.0,0.001,0.11433333333333333,1.2
2024-01-09 16:30:00,0.001,0.001,0.0,0.001,0.26633333333333337,0.0
2024-01-09 16:45:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-09 17:00:00,0.001,0.001,0.0,0.001,0.10166666666666666,0.0
2024-01-09 17:15:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-09 17:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-09 17:45:00,0.001,0.001,0.0,0.001,0.241,0.0
2024-01-09 18:00:00,0.001,0.001,0.0,0.001,0.317,0.0
2024-01-09 18:15:00,0.001,0.001,0.0,0.001,0.11433333333333333,0.0
2024-01-09 18:30:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-09 18:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-09 19:00:00,0.001,0.001,0.0,0.001,0.11433333333333333,0.0
2024-01-09 19:15:00,0.001,0.001,0.0,0.001,0.4056666666666667,0.0
2024-01-09 19:30:00,0.001,0.001,0.0,0.001,0.15233333333333335,0.0
2024-01-09 19:45:00,0.001,0.001,0.0,0.001,0.051,0.0
2024-01-09 20:00:00,0.001,0.001,0.0,0.001,0.051,3.0
2024-01-09 20:15:00,0.001,0.001,0.0,0.001,0.10166666666666666,0.2
2024-01-09 20:30:00,0.001,0.001,0.0,0.001,0.26633333333333337,0.0
2024-01-09 20:45:00,0.001,0.001,0.0,0.001,0.3043333333333333,0.0
2024-01-09 21:00:00,0.001,0.001,0.0,0.001,0.16393333333333332,0.0
2024-01-09 21:15:00,0.001,0.001,0.0,0.001,0.1767294969490694,0.0
