,BaseLoad,P_EV
2024-01-06 09:30:00,0.6028904090393402,0.0
2024-01-06 09:45:00,0.06351774644058097,0.0
2024-01-06 10:00:00,0.058,0.0
2024-01-06 10:15:00,0.058,0.0
2024-01-06 10:30:00,0.2279333333333333,0.0
2024-01-06 10:45:00,0.2773333333333333,0.0
2024-01-06 11:00:00,0.14639999999999997,0.0
2024-01-06 11:15:00,1.0642,0.0
2024-01-06 11:30:00,2.6702000000000004,0.0
2024-01-06 11:45:00,2.4954666666666667,0.0
2024-01-06 12:00:00,0.641,0.0
2024-01-06 12:15:00,0.242,0.0
2024-01-06 12:30:00,0.08733333333333333,0.0
2024-01-06 12:45:00,0.1684,0.0
2024-01-06 13:00:00,0.1686,0.0
2024-01-06 13:15:00,0.179,0.0
2024-01-06 13:30:00,0.369,0.0
2024-01-06 13:45:00,0.28633333333333333,0.0
2024-01-06 14:00:00,0.23026666666666665,0.0
2024-01-06 14:15:00,0.045,0.0
2024-01-06 14:30:00,0.045,0.0
2024-01-06 14:45:00,0.07033333333333333,0.0
2024-01-06 15:00:00,0.2428,0.0
2024-01-06 15:15:00,0.096,0.0
2024-01-06 15:30:00,0.16066666666666668,0.0
2024-01-06 15:45:00,0.21221190437252574,0.0
2024-01-06 16:00:00,0.20361886401958096,0.0
2024-01-06 16:15:00,0.358618864019581,0.0
2024-01-06 16:30:00,0.3875521973529143,0.0
2024-01-06 16:45:00,0.21021886401958095,0.0
2024-01-06 17:00:00,0.144018864019581,0.0
2024-01-06 17:15:00,0.12043681315686096,0.0
2024-01-06 17:30:00,0.056035492881161934,0.0
2024-01-06 17:45:00,0.1559620204314773,0.0
2024-01-06 18:00:00,0.2657092730589211,0.0
2024-01-06 18:15:00,0.0883759397255878,0.0
2024-01-06 18:30:00,0.08443469226802996,0.0
2024-01-06 18:45:00,0.17393131841174858,0.0
2024-01-06 19:00:00,0.059666666666666666,0.0
2024-01-06 19:15:00,0.15474725262744382,0.0
