,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-02 13:15:00,0.001,0.001,0.001,0.16366666666666668,0.0
2024-01-02 13:30:00,0.001,0.001,0.001,0.15333333333333332,0.0
2024-01-02 13:45:00,0.001,0.001,0.001,0.13866666666666666,0.6
2024-01-02 14:00:00,0.001,0.001,0.001,0.23999999999999996,2.4
2024-01-02 14:15:00,0.001,0.001,0.001,0.08800000000000001,0.0
2024-01-02 14:30:00,0.001,0.001,0.001,0.060333333333333336,0.0
2024-01-02 14:45:00,0.001,0.001,0.001,0.205,0.0
2024-01-02 15:00:00,0.001,0.001,0.001,0.10166666666666666,0.0
2024-01-02 15:15:00,0.001,0.001,0.001,0.08693333333333333,0.0
2024-01-02 15:30:00,0.001,0.001,0.001,0.3388,0.0
2024-01-02 15:45:00,0.001,0.001,0.001,0.2703647484745347,0.0
2024-01-02 16:00:00,0.001,0.001,0.001,0.2278237423726735,0.0
2024-01-02 16:15:00,0.001,0.001,0.001,0.3208237423726735,0.2
2024-01-02 16:30:00,0.001,0.001,0.001,0.10689040903934016,2.8
2024-01-02 16:45:00,0.001,0.001,0.001,0.0618237423726735,0.0
2024-01-02 17:00:00,0.001,0.001,0.001,0.18297266259875922,0.0
2024-01-02 17:15:00,0.001,0.001,0.001,0.23999999999999996,0.0
2024-01-02 17:30:00,0.001,0.001,0.001,0.16366666666666668,0.0
2024-01-02 17:45:00,0.001,0.001,0.001,0.15333333333333332,0.0
2024-01-02 18:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 18:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 18:30:00,0.001,0.001,0.001,0.10066666666666667,0.0
2024-01-02 18:45:00,0.001,0.001,0.001,0.25033333333333335,0.0
2024-01-02 19:00:00,0.001,0.001,0.001,0.28099999999999997,0.8
2024-01-02 19:15:00,0.001,0.001,0.001,0.10166666666666666,2.4
2024-01-02 19:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 19:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 20:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 20:15:00,0.001,0.001,0.001,0.27666666666666667,0.0
2024-01-02 20:30:00,0.001,0.001,0.001,0.35700000000000004,0.0
2024-01-02 20:45:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 21:00:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 21:15:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 21:30:00,0.001,0.001,0.001,0.05,0.0
2024-01-02 21:45:00,0.001,0.001,0.001,0.8418666666666667,0.0
2024-01-02 22:00:00,0.001,0.001,0.001,1.0821782356719054,0.0
2024-01-02 22:15:00,0.001,0.001,0.001,0.3880759397255878,0.0
2024-01-02 22:30:00,0.001,0.001,0.001,0.7594092730589211,0.0
2024-01-02 22:45:00,0.001,0.001,0.001,0.36307593972558777,0.0
2024-01-02 23:00:00,0.001,0.001,0.001,0.37340927305892113,0.0
2024-01-02 23:15:00,0.001,0.001,0.001,0.9218718619856272,0.0
2024-01-02 23:30:00,0.001,0.001,0.001,0.5801716113921371,0.0
2024-01-02 23:45:00,0.001,0.001,0.001,0.4126333333333333,0.0
2024-01-03 00:00:00,0.001,0.001,0.001,0.1857,0.0
2024-01-03 00:15:00,0.001,0.001,0.001,0.1857,0.0
2024-01-03 00:30:00,0.001,0.001,0.001,0.24769999999999998,0.0
2024-01-03 00:45:00,0.001,0.001,0.001,0.3407,0.0
2024-01-03 01:00:00,0.001,0.001,0.001,0.3123666666666666,0.0
2024-01-03 01:15:00,0.001,0.001,0.001,0.3757,0.0
2024-01-03 01:30:00,0.001,0.001,0.001,0.1857,0.0
2024-01-03 01:45:00,0.001,0.001,0.001,0.1857,0.0
2024-01-03 02:00:00,0.001,0.001,0.001,0.29936666666666667,0.0
