,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-04 12:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-04 13:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-04 13:15:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-04 13:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-04 13:45:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,0.0
2024-01-04 14:00:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.0
2024-01-04 14:15:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-04 14:30:00,0.001,0.0,0.001,0.043,0.0,0.0,4.0
2024-01-04 14:45:00,0.001,0.0,0.001,0.043,0.0,0.4,0.0
2024-01-04 15:00:00,0.001,0.0,0.001,0.043,0.0,2.0,0.0
2024-01-04 15:15:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,0.0
2024-01-04 15:30:00,0.001,0.0,0.001,0.22033333333333335,1.0,0.0,0.0
2024-01-04 15:45:00,0.001,0.0,0.001,0.043,6.0,0.0,0.0
2024-01-04 16:00:00,0.001,0.0,0.001,0.043,0.0,0.0,1.6666666666666667
2024-01-04 16:15:00,0.001,0.0,0.001,0.043,0.0,0.0,1.3333333333333333
2024-01-04 16:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-04 16:45:00,0.001,0.0,0.001,0.1886437728039162,0.0,0.0,0.0
2024-01-04 17:00:00,0.001,0.0,0.001,0.29221886401958097,0.0,0.0,0.0
2024-01-04 17:15:00,0.001,0.0,0.001,0.1955521973529143,0.0,0.0,0.0
2024-01-04 17:30:00,0.001,0.0,0.001,2.434618864019581,0.0,0.0,0.0
2024-01-04 17:45:00,0.001,0.0,0.001,0.8352855306862476,0.0,0.0,0.0
2024-01-04 18:00:00,0.001,0.0,0.001,0.34595479823527614,0.0,0.0,0.0
2024-01-04 18:15:00,0.001,0.0,0.001,0.3762805859607771,0.0,0.0,2.6666666666666665
2024-01-04 18:30:00,0.001,0.0,0.001,0.4938855306862476,0.0,0.0,4.0
2024-01-04 18:45:00,0.001,0.0,0.001,0.8989521973529143,0.0,0.0,0.0
2024-01-04 19:00:00,0.001,0.0,0.001,1.57243469226803,0.0,0.0,0.0
2024-01-04 19:15:00,0.001,0.0,0.001,1.493175939725588,0.0,0.5333333333333333,0.0
2024-01-04 19:30:00,0.001,0.0,0.001,0.41669593972558777,0.0,1.8666666666666667,0.0
2024-01-04 19:45:00,0.001,0.0,0.001,0.33057593972558774,0.0,0.0,0.0
2024-01-04 20:00:00,0.001,0.0,0.001,0.2637092730589211,0.0,0.0,0.0
2024-01-04 20:15:00,0.001,0.0,0.001,0.0863759397255878,0.0,0.0,0.0
2024-01-04 20:30:00,0.001,0.0,0.001,0.08085819328500683,0.0,0.0,0.0
2024-01-04 20:45:00,0.001,0.0,0.001,0.0863759397255878,0.0,0.0,2.0
2024-01-04 21:00:00,0.001,0.0,0.001,0.19124260639225446,0.0,0.0,5.0
2024-01-04 21:15:00,0.001,0.0,0.001,0.46770927305892107,0.0,0.0,5.0
2024-01-04 21:30:00,0.001,0.0,0.001,0.5057092730589211,0.0,0.0,5.0
2024-01-04 21:45:00,0.001,0.0,0.001,0.3073411414903116,0.0,0.0,5.0
2024-01-04 22:00:00,0.001,0.0,0.001,0.3181286963359374,0.0,0.0,4.333333333333333
2024-01-04 22:15:00,0.001,0.0,0.001,0.28804260639225443,0.0,0.0,0.0
2024-01-04 22:30:00,0.001,0.0,0.001,0.20737593972558782,0.0,0.0,0.0
2024-01-04 22:45:00,0.001,0.0,0.001,0.32250927305892113,0.0,0.0,0.0
2024-01-04 23:00:00,0.001,0.0,0.001,0.24688143447070016,0.0,0.0,0.0
2024-01-04 23:15:00,0.001,0.0,0.001,0.0548237423726735,0.0,0.0,0.0
2024-01-04 23:30:00,0.001,0.0,0.001,0.0548237423726735,0.0,0.0,0.0
2024-01-04 23:45:00,0.001,0.0,0.001,0.12366666666666666,0.0,0.0,3.6666666666666665
2024-01-05 00:00:00,0.001,0.0,0.001,0.285,0.0,0.0,0.0
2024-01-05 00:15:00,0.001,0.0,0.001,0.4243333333333333,0.0,0.0,0.0
2024-01-05 00:30:00,0.001,0.0,0.001,0.4623333333333333,0.0,0.0,0.0
2024-01-05 00:45:00,0.001,0.0,0.001,0.285,0.0,0.0,0.0
2024-01-05 01:00:00,0.001,0.0,0.001,0.2127472526274438,0.0,0.0,0.0
2024-01-05 01:15:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,0.0
2024-01-05 01:30:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,1.3333333333333333
2024-01-05 01:45:00,0.001,0.0,0.001,0.21388553068624763,0.0,1.2,5.0
2024-01-05 02:00:00,0.001,0.0,0.001,0.25188553068624764,0.0,1.2,0.3333333333333333
2024-01-05 02:15:00,0.001,0.0,0.001,0.045103479823527616,0.0,0.0,0.0
