,WasherDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-02 20:00:00,0.001,0.2665521973529143,0.0,0.0,0.0
2024-01-02 20:15:00,0.001,0.1525521973529143,0.0,0.0,0.0
2024-01-02 20:30:00,0.001,0.07655219735291431,0.0,0.0,0.0
2024-01-02 20:45:00,0.001,0.07655219735291431,0.0,0.0,0.0
2024-01-02 21:00:00,0.001,0.16248754560783238,0.0,0.0,0.0
2024-01-02 21:15:00,0.001,0.6720827547463993,0.0,0.0,0.0
2024-01-02 21:30:00,0.001,0.39937593972558777,0.0,0.0,0.3333333333333333
2024-01-02 21:45:00,0.001,0.23470927305892117,0.0,0.0,2.6666666666666665
2024-01-02 22:00:00,0.001,0.2102426063922545,0.0,0.0,0.0
2024-01-02 22:15:00,0.001,0.2223759397255878,2.3333333333333335,0.0,0.0
2024-01-02 22:30:00,0.001,0.2223759397255878,6.533333333333333,0.0,0.0
2024-01-02 22:45:00,0.001,0.8947759397255878,0.0,0.0,0.0
2024-01-02 23:00:00,0.001,0.3783759397255878,0.0,0.0,0.0
2024-01-02 23:15:00,0.001,0.16904260639225446,0.0,0.0,0.0
2024-01-02 23:30:00,0.001,0.48817593972558787,0.0,0.0,0.0
2024-01-02 23:45:00,0.001,0.2216426063922545,0.0,0.0,0.0
2024-01-03 00:00:00,0.001,0.3549092730589212,0.0,0.0,0.0
2024-01-03 00:15:00,0.001,0.31179031230988735,0.0,0.0,0.0
2024-01-03 00:30:00,0.001,0.28078824949151154,0.0,0.0,0.0
2024-01-03 00:45:00,0.001,0.1778237423726735,0.0,0.0,0.0
2024-01-03 01:00:00,0.001,0.1778237423726735,0.0,0.0,3.6666666666666665
2024-01-03 01:15:00,0.001,0.08909040903934017,0.0,0.0,0.0
2024-01-03 01:30:00,0.001,0.10749040903934018,0.0,0.0,0.0
2024-01-03 01:45:00,0.001,0.6466237423726735,0.0,0.0,0.0
2024-01-03 02:00:00,0.001,0.11542757875693743,0.0,0.0,0.0
2024-01-03 02:15:00,0.001,0.045,0.0,0.8,0.0
2024-01-03 02:30:00,0.001,0.045,0.0,2.0,0.0
2024-01-03 02:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-03 03:00:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-03 03:15:00,0.001,0.7680666666666666,0.0,0.0,0.0
2024-01-03 03:30:00,0.001,0.057666666666666665,0.0,0.0,0.0
2024-01-03 03:45:00,0.001,0.045,0.0,0.0,1.3333333333333333
2024-01-03 04:00:00,0.001,0.44480000000000003,0.0,0.0,1.6666666666666667
2024-01-03 04:15:00,0.001,0.17826666666666666,0.0,0.0,0.0
2024-01-03 04:30:00,0.001,0.5968,0.0,0.0,0.0
2024-01-03 04:45:00,0.001,0.19699999999999998,0.0,0.0,2.0
