,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-04 22:36:00,1.0,0.0,20.0,11.930131475430779,10.821767137025589,2.0,269.8661475300129,0.0,0.0
2024-01-04 22:37:00,1.0,0.0,20.0,11.9291749664276,10.820076565538189,2.0,269.7433601006343,0.0,0.0
2024-01-04 22:38:00,1.0,0.0,20.0,11.928218172781559,10.818386762911834,2.0,269.62068255482166,0.0,0.0
2024-01-04 22:39:00,1.0,0.0,20.0,11.927261094987207,10.816697728458573,2.0,269.49811477624394,0.0,0.0
2024-01-04 22:40:00,1.0,0.0,20.0,11.926303733538532,10.815009461491186,2.0,269.3756566486953,0.0,0.0
2024-01-04 22:41:00,1.0,0.0,20.0,11.925346088928958,10.813321961323183,2.0,269.25330805609656,3000.0,3000.0
2024-01-04 22:42:00,1.0,0.0,20.0,11.924388161651345,10.811635227268798,2.0,269.1310688824942,3000.0,3000.0
2024-01-04 22:43:00,2.0,0.0,14.5,11.923429952197992,10.809949258642993,2.0,269.00893901206086,3000.0,3000.0
2024-01-04 22:44:00,2.0,0.0,14.5,11.922471461060637,10.808264054761452,2.0,268.8869183290948,3000.0,3000.0
2024-01-04 22:45:00,2.0,0.0,14.5,11.921512688730454,10.806579614940585,2.0,268.7650067180192,3000.0,3000.0
2024-01-04 22:46:00,2.0,0.0,14.5,11.92055363569806,10.804895938497525,2.0,268.6432040633832,3000.0,3000.0
2024-01-04 22:47:00,2.0,0.0,14.5,11.91959430245351,10.80321302475013,2.0,268.5215102498609,3000.0,3000.0
2024-01-04 22:48:00,2.0,0.0,14.5,11.9186346894863,10.80153087301698,2.0,268.39992516225175,3000.0,3000.0
2024-01-04 22:49:00,2.0,0.0,14.5,11.917674797285368,10.799849482617372,2.0,268.2784486854801,3000.0,3000.0
2024-01-04 22:50:00,2.0,0.0,14.5,11.916714626339093,10.798168852871326,2.0,268.15708070459516,3000.0,3000.0
2024-01-04 22:51:00,2.0,0.0,14.5,11.915754177135298,10.796488983099584,2.0,268.0358211047705,3000.0,3000.0
2024-01-04 22:52:00,2.0,0.0,14.5,11.914793450161246,10.794809872623603,2.0,267.91466977130483,3000.0,3000.0
2024-01-04 22:53:00,2.0,0.0,14.5,11.91383244590365,10.79313152076556,2.0,267.7936265896208,3000.0,3000.0
2024-01-04 22:54:00,2.0,0.0,14.5,11.912871164848658,10.79145392684835,2.0,267.6726914452656,3000.0,3000.0
2024-01-04 22:55:00,2.0,0.0,14.5,11.911909607481872,10.789777090195583,2.0,267.55186422391085,3000.0,3000.0
2024-01-04 22:56:00,2.0,0.0,14.5,11.910947774288337,10.788101010131586,2.0,267.43114481135166,3000.0,3000.0
2024-01-04 22:57:00,2.0,0.0,14.5,11.90998566575254,10.786425685981397,2.0,267.31053309350705,3000.0,3000.0
2024-01-04 22:58:00,2.0,0.0,14.5,11.90902328235842,10.784751117070776,2.0,267.1900289564202,3000.0,3000.0
2024-01-04 22:59:00,2.0,0.0,14.5,11.908060624589362,10.78307730272619,2.0,267.06963228625773,3000.0,3000.0
2024-01-04 23:00:00,2.0,0.0,14.5,11.907097692928199,10.78140424227482,2.0,266.9493429693096,3000.0,3000.0
2024-01-04 23:01:00,2.0,0.0,14.5,11.90613448785721,10.779731935044563,2.0,266.8291608919895,3000.0,3000.0
2024-01-04 23:02:00,2.0,0.0,14.5,11.905171009858128,10.77806038036402,2.0,266.7090859408339,3000.0,3000.0
2024-01-04 23:03:00,2.0,0.0,14.5,11.90420725941213,10.776389577562506,2.0,266.58911800250263,3000.0,3000.0
2024-01-04 23:04:00,2.0,0.0,14.5,11.90324323699985,10.774719525970047,2.0,266.46925696377843,3000.0,3000.0
2024-01-04 23:05:00,2.0,0.0,14.5,11.902278943101368,10.773050224917377,2.0,266.34950271156663,3000.0,3000.0
2024-01-04 23:06:00,2.0,0.0,14.5,11.901314378196219,10.771381673735934,2.0,266.2298551328957,3000.0,3000.0
2024-01-04 23:07:00,2.0,0.0,14.5,11.900349542763387,10.76971387175787,2.0,266.11031411491604,3000.0,3000.0
2024-01-04 23:08:00,2.0,0.0,14.5,11.89938443728131,10.76804681831604,2.0,265.99087954490113,3000.0,3000.0
2024-01-04 23:09:00,2.0,0.0,14.5,11.89841906222788,10.766380512744004,2.0,265.87155131024645,3000.0,3000.0
2024-01-04 23:10:00,2.0,0.0,14.5,11.897453418080445,10.764714954376027,2.0,265.7523292984694,3000.0,3000.0
2024-01-04 23:11:00,2.0,0.0,14.5,11.896487505315806,10.76305014254708,2.0,265.63321339720966,3000.0,3000.0
2024-01-04 23:12:00,2.0,0.0,14.5,11.895521324410218,10.761386076592837,2.0,265.51420349422875,3000.0,3000.0
2024-01-04 23:13:00,2.0,0.0,14.5,11.894554875839393,10.759722755849673,2.0,265.3952994774098,3000.0,3000.0
2024-01-04 23:14:00,2.0,0.0,14.5,11.8935881600785,10.758060179654667,2.0,265.27650123475786,3000.0,3000.0
2024-01-04 23:15:00,2.0,0.0,14.5,11.89262117760216,10.756398347345597,2.0,265.1578086543992,3000.0,3000.0
2024-01-04 23:16:00,2.0,0.0,14.5,11.89165392888446,10.754737258260944,2.0,265.03922162458156,3000.0,3000.0
2024-01-04 23:17:00,2.0,0.0,14.5,11.890686414398942,10.753076911739885,2.0,264.920740033674,3000.0,3000.0
2024-01-04 23:18:00,2.0,0.0,14.5,11.889718634618603,10.751417307122301,2.0,264.80236377016615,3000.0,3000.0
2024-01-04 23:19:00,2.0,0.0,14.5,11.888750590015905,10.749758443748767,2.0,264.6840927226694,3000.0,3000.0
2024-01-04 23:20:00,2.0,0.0,14.5,11.887782281062764,10.748100320960557,2.0,264.5659267799154,3000.0,3000.0
2024-01-04 23:21:00,2.0,0.0,14.5,11.886813708230562,10.74644293809964,2.0,264.44786583075677,3000.0,3000.0
2024-01-04 23:22:00,2.0,0.0,14.5,11.885844871990141,10.744786294508684,2.0,264.3299097641665,3000.0,3000.0
2024-01-04 23:23:00,2.0,0.0,14.5,11.884875772811803,10.743130389531046,2.0,264.21205846923806,3000.0,3000.0
2024-01-04 23:24:00,2.0,0.0,14.5,11.883906411165313,10.741475222510786,2.0,264.09431183518507,2936.518518518529,2936.518518518529
2024-01-04 23:25:00,2.0,0.0,14.5,11.882936787519899,10.739820792792651,2.0,263.97666975134194,0.0,0.0
2024-01-04 23:26:00,2.0,0.0,14.5,11.881966902344255,10.738167099722084,2.0,263.8591321071624,0.0,0.0
2024-01-04 23:27:00,2.0,0.0,14.5,11.880996756106533,10.736514142645216,2.0,263.7416987922205,0.0,0.0
2024-01-04 23:28:00,2.0,0.0,14.5,11.880026349274358,10.734861920908875,2.0,263.6243696962099,0.0,0.0
2024-01-04 23:29:00,2.0,0.0,14.5,11.879055682314814,10.733210433860576,2.0,263.50714470894377,0.0,0.0
2024-01-04 23:30:00,2.0,0.0,14.5,11.87808475569445,10.731559680848525,2.0,263.3900237203552,0.0,0.0
2024-01-04 23:31:00,2.0,0.0,14.5,11.877113569879288,10.729909661221615,2.0,263.27300662049663,0.0,0.0
2024-01-04 23:32:00,2.0,0.0,14.5,11.876142125334813,10.728260374329432,2.0,263.1560932995391,0.0,0.0
2024-01-04 23:33:00,2.0,0.0,14.5,11.875170422525978,10.726611819522244,2.0,263.03928364777374,0.0,0.0
2024-01-04 23:34:00,2.0,0.0,14.5,11.874198461917203,10.72496399615101,2.0,262.9225775556098,0.0,0.0
2024-01-04 23:35:00,2.0,0.0,14.5,11.873226243972379,10.723316903567373,2.0,262.8059749135759,0.0,0.0
2024-01-04 23:36:00,2.0,0.0,14.5,11.872253769154865,10.721670541123663,2.0,262.6894756123194,0.0,0.0
2024-01-04 23:37:00,2.0,0.0,14.5,11.87128103792749,10.720024908172892,2.0,262.57307954260637,0.0,0.0
2024-01-04 23:38:00,2.0,0.0,14.5,11.870308050752556,10.718380004068758,2.0,262.45678659532075,0.0,0.0
2024-01-04 23:39:00,2.0,0.0,14.5,11.86933480809183,10.71673582816564,2.0,262.34059666146544,0.0,0.0
2024-01-04 23:40:00,2.0,0.0,14.5,11.86836131040656,10.715092379818605,2.0,262.2245096321614,0.0,0.0
2024-01-04 23:41:00,2.0,0.0,14.5,11.867387558157457,10.713449658383395,2.0,262.10852539864766,0.0,0.0
2024-01-04 23:42:00,2.0,0.0,14.5,11.86641355180471,10.711807663216435,2.0,261.9926438522811,0.0,0.0
