,WasherDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-07 01:45:00,0.7920347860576631,0.0,0.4084521973529143,0.0,1.0
2024-01-07 02:00:00,0.7920347860576631,0.0,0.2222521973529143,0.0,1.5
2024-01-07 02:15:00,0.7920347860576631,0.0,0.33225219735291434,0.0,1.5
2024-01-07 02:30:00,0.7920347860576631,0.0,0.3256313184117486,0.0,1.5
2024-01-07 02:45:00,0.7920347860576631,0.0,0.15814,0.0,1.3
2024-01-07 03:00:00,0.05373565240384421,0.0,0.055,0.0,1.5
2024-01-07 03:15:00,0.001,0.0,0.055,0.0,1.5
2024-01-07 03:30:00,0.001,0.0,0.5061333333333333,0.0,1.5
2024-01-07 03:45:00,0.001,0.0,0.2616,0.0,1.5
2024-01-07 04:00:00,0.001,0.0,0.23233333333333334,0.0,1.5
2024-01-07 04:15:00,0.001,0.0,0.09118666666666667,1.2,1.5
2024-01-07 04:30:00,0.001,0.0,0.19069999999999998,2.0,1.5
2024-01-07 04:45:00,0.001,0.0,0.19069999999999998,1.8666666666666667,1.5
2024-01-07 05:00:00,0.001,0.0,0.8264333333333332,1.3333333333333333,1.5
2024-01-07 05:15:00,0.001,0.0,0.8344333333333332,2.0,1.0
2024-01-07 05:30:00,0.001,0.0,1.2122333333333333,2.0,1.3
2024-01-07 05:45:00,0.001,0.0,0.19069999999999998,2.0,1.5
2024-01-07 06:00:00,0.001,0.0,0.7237666666666666,1.2,0.5
2024-01-07 06:15:00,0.001,0.0,0.2425,0.0,0.0
2024-01-07 06:30:00,0.001,0.0,0.6841666666666666,0.0,0.6
2024-01-07 06:45:00,0.001,0.0,0.3810333333333333,0.0,1.5
2024-01-07 07:00:00,0.001,0.0,0.2037,1.2,1.5
2024-01-07 07:15:00,0.001,0.0,0.2037,2.0,1.3
2024-01-07 07:30:00,0.001,0.0,0.37729999999999997,0.26666666666666666,0.0
2024-01-07 07:45:00,0.001,0.0,0.8261437728039162,0.0,0.0
2024-01-07 08:00:00,0.001,0.0,0.46158553068624764,0.0,1.5
2024-01-07 08:15:00,0.001,0.0,0.5679855306862476,0.0,1.5
2024-01-07 08:30:00,0.001,0.0,0.35018553068624764,2.0,1.5
2024-01-07 08:45:00,0.001,0.0,0.2464521973529143,1.4666666666666666,1.5
2024-01-07 09:00:00,0.001,0.0,0.2441945052548876,0.0,1.5
2024-01-07 09:15:00,0.001,0.0,0.27869999999999995,0.0,1.2
2024-01-07 09:30:00,0.001,0.0,0.35536666666666666,0.0,0.0
2024-01-07 09:45:00,0.001,0.0,0.20336666666666664,0.4,0.0
2024-01-07 10:00:00,0.001,0.0,0.21008666666666667,2.0,1.3
2024-01-07 10:15:00,0.001,0.0,0.159,0.9333333333333333,0.0
2024-01-07 10:30:00,0.001,0.0,0.247,0.0,0.0
2024-01-07 10:45:00,0.001,0.0,0.259,0.0,0.0
2024-01-07 11:00:00,0.001,0.0,0.1880666666666667,0.0,0.0
2024-01-07 11:15:00,0.001,0.0,0.0576,0.8,0.4
2024-01-07 11:30:00,0.001,0.0,0.055,2.0,1.4
2024-01-07 11:45:00,0.001,0.0,0.08433333333333334,0.5333333333333333,0.4
2024-01-07 12:00:00,0.001,0.0,0.15033333333333332,0.0,1.5
2024-01-07 12:15:00,0.001,0.0,0.207,0.0,1.5
2024-01-07 12:30:00,0.001,0.0,0.08033333333333334,0.0,1.2
2024-01-07 12:45:00,0.001,0.0,0.055,0.9333333333333333,0.0
2024-01-07 13:00:00,0.001,0.0,0.055,2.0,0.0
2024-01-07 13:15:00,0.001,0.0,0.13566666666666669,0.4,0.0
2024-01-07 13:30:00,0.001,0.0,0.14966666666666667,0.0,0.0
2024-01-07 13:45:00,0.001,0.0,0.18166666666666667,0.0,0.0
2024-01-07 14:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 14:15:00,0.001,0.0,0.055,0.5333333333333333,0.0
2024-01-07 14:30:00,0.001,0.0,0.077,2.0,0.0
2024-01-07 14:45:00,0.001,0.0,0.15766666666666668,0.6666666666666666,0.0
2024-01-07 15:00:00,0.001,0.0,0.19433333333333333,0.0,0.0
2024-01-07 15:15:00,0.001,0.0,0.093,0.0,0.0
2024-01-07 15:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 15:45:00,0.001,0.0,0.055,0.4,0.0
2024-01-07 16:00:00,0.001,0.0,0.12833333333333333,2.0,0.0
2024-01-07 16:15:00,0.001,0.0,0.14433333333333334,0.8,0.0
2024-01-07 16:30:00,0.001,0.0,0.19433333333333333,0.0,0.0
2024-01-07 16:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 17:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 17:15:00,0.001,0.0,0.06966666666666667,0.26666666666666666,0.0
2024-01-07 17:30:00,0.001,0.0,0.165,2.0,0.0
2024-01-07 17:45:00,0.001,0.0,0.18166666666666667,0.9333333333333333,0.0
2024-01-07 18:00:00,0.001,0.0,0.10566666666666666,0.0,0.0
2024-01-07 18:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 18:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 18:45:00,0.001,0.0,0.121,0.0,0.0
2024-01-07 19:00:00,0.001,0.0,0.13899999999999998,2.0,0.0
2024-01-07 19:15:00,0.001,0.0,0.207,1.2,0.0
2024-01-07 19:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 19:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 20:00:00,0.001,0.0,0.06233333333333334,0.0,0.0
2024-01-07 20:15:00,0.001,0.0,0.165,0.0,0.0
2024-01-07 20:30:00,0.001,0.0,0.17633333333333334,1.8666666666666667,0.0
2024-01-07 20:45:00,0.001,0.0,0.11833333333333333,1.4666666666666666,0.0
2024-01-07 21:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 21:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 21:30:00,0.001,0.0,0.11366666666666667,0.0,0.0
2024-01-07 21:45:00,0.001,0.0,0.13366666666666666,0.0,0.0
2024-01-07 22:00:00,0.001,0.0,0.21966666666666665,0.0,0.0
2024-01-07 22:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 22:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 22:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-07 23:00:00,0.001,0.0,0.165,0.0,0.0
2024-01-07 23:15:00,0.001,0.0,0.17099999999999999,0.0,0.0
2024-01-07 23:30:00,0.001,0.0,0.131,0.0,0.0
2024-01-07 23:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 00:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 00:15:00,0.001,0.0,0.10633333333333334,0.0,0.0
2024-01-08 00:30:00,0.001,0.0,0.12833333333333333,0.0,0.0
2024-01-08 00:45:00,0.001,0.0,0.23233333333333334,1.0666666666666667,0.0
2024-01-08 01:00:00,0.001,0.0,0.055,0.5333333333333333,0.0
2024-01-08 01:15:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 01:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 01:45:00,0.001,0.0,0.15766666666666668,0.0,0.0
2024-01-08 02:00:00,0.001,0.0,0.16566666666666666,0.0,0.0
2024-01-08 02:15:00,0.001,0.0,0.14366666666666666,0.0,0.0
2024-01-08 02:30:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 02:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 03:00:00,0.001,0.0,0.099,0.0,0.0
2024-01-08 03:15:00,0.001,0.0,0.13566666666666669,0.0,0.0
2024-01-08 03:30:00,0.001,0.0,0.23233333333333334,0.0,0.0
2024-01-08 03:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 04:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 04:15:00,0.001,0.0,0.055,1.7333333333333334,0.0
2024-01-08 04:30:00,0.001,0.0,0.15033333333333332,2.0,0.0
2024-01-08 04:45:00,0.001,0.0,0.16033333333333333,2.0,0.0
2024-01-08 05:00:00,0.001,0.0,0.15633333333333332,2.0,0.0
2024-01-08 05:15:00,0.001,0.0,0.055,2.0,0.0
2024-01-08 05:30:00,0.001,0.0,0.055,2.0,0.0
2024-01-08 05:45:00,0.001,0.0,0.09166666666666666,2.0,0.0
2024-01-08 06:00:00,0.001,0.0,0.143,0.26666666666666666,0.0
2024-01-08 06:15:00,0.001,0.0,0.21966666666666665,0.0,0.0
2024-01-08 06:30:00,0.001,0.0,0.06766666666666667,0.0,0.0
2024-01-08 06:45:00,0.001,0.0,0.055,0.6666666666666666,0.0
2024-01-08 07:00:00,0.001,0.0,0.055,2.0,0.0
2024-01-08 07:15:00,0.001,0.0,0.143,0.9333333333333333,0.0
2024-01-08 07:30:00,0.001,0.0,0.155,0.0,0.0
2024-01-08 07:45:00,0.001,0.0,0.169,0.0,0.0
2024-01-08 08:00:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 08:15:00,0.001,0.0,0.055,1.4666666666666666,0.0
2024-01-08 08:30:00,0.001,0.0,0.08433333333333334,2.0,0.0
2024-01-08 08:45:00,0.001,0.0,0.15033333333333332,0.0,0.0
2024-01-08 09:00:00,0.001,0.0,0.207,0.0,0.0
2024-01-08 09:15:00,0.001,0.0,0.08033333333333334,0.0,0.0
2024-01-08 09:30:00,0.001,0.0,0.055,0.26666666666666666,0.0
2024-01-08 09:45:00,0.001,0.0,0.055,2.0,0.0
2024-01-08 10:00:00,0.001,0.0,0.13566666666666669,1.2,0.0
2024-01-08 10:15:00,0.001,0.0,0.14966666666666667,0.0,0.0
2024-01-08 10:30:00,0.001,0.0,0.18166666666666667,0.0,0.0
2024-01-08 10:45:00,0.001,0.0,0.055,0.0,0.0
2024-01-08 11:00:00,0.001,0.0,0.055,0.8,0.0
2024-01-08 11:15:00,0.001,0.0,0.077,2.0,0.0
