,WasherDryer,TumbleDryer,DishWasher,BaseLoad
2024-01-03 03:45:00,0.001,0.001,0.0,0.093
2024-01-03 04:00:00,0.001,0.001,0.0,0.027
2024-01-03 04:15:00,0.001,0.001,0.0,0.027
2024-01-03 04:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-03 04:45:00,0.001,0.001,0.0,0.137
2024-01-03 05:00:00,0.001,0.001,0.0,0.05633333333333334
2024-01-03 05:15:00,0.001,0.001,0.0,0.5600666666666666
2024-01-03 05:30:00,0.001,0.001,0.0,0.03306666666666667
2024-01-03 05:45:00,0.001,0.001,0.0,0.084
2024-01-03 06:00:00,0.001,0.001,0.0,0.14266666666666666
2024-01-03 06:15:00,0.001,0.001,0.0,0.04
2024-01-03 06:30:00,0.001,0.001,0.0,0.03826666666666667
2024-01-03 06:45:00,0.001,0.001,0.0,0.04
2024-01-03 07:00:00,0.001,0.001,0.0,0.12066666666666667
2024-01-03 07:15:00,0.001,0.001,0.0,0.106
2024-01-03 07:30:00,0.001,0.001,0.0,0.16310347982352763
2024-01-03 07:45:00,0.001,0.001,0.0,0.18301886401958098
2024-01-03 08:00:00,0.001,0.001,0.0,0.18688553068624764
2024-01-03 08:15:00,0.001,0.001,0.0,0.28955219735291426
2024-01-03 08:30:00,0.001,0.001,0.0,0.20888553068624763
2024-01-03 08:45:00,0.001,0.001,0.0,0.47027857103919235
2024-01-03 09:00:00,0.001,0.001,0.0,0.027
2024-01-03 09:15:00,0.001,0.001,0.0,0.071
2024-01-03 09:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-03 09:45:00,0.001,0.001,0.0,0.027
2024-01-03 10:00:00,0.001,0.001,0.0,0.027
2024-01-03 10:15:00,0.001,0.001,0.0,0.027
2024-01-03 10:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-03 10:45:00,0.001,0.001,0.0,0.093
2024-01-03 11:00:00,0.001,0.001,0.0,0.027
2024-01-03 11:15:00,0.001,0.001,0.0,0.027
2024-01-03 11:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-03 11:45:00,0.001,0.001,0.0,0.137
2024-01-03 12:00:00,0.001,0.001,0.0,0.05633333333333334
2024-01-03 12:15:00,0.001,0.001,0.0,0.027
2024-01-03 12:30:00,0.001,0.001,0.0,0.027
2024-01-03 12:45:00,0.001,0.001,0.0,0.071
2024-01-03 13:00:00,0.001,0.001,0.0,0.12966666666666668
2024-01-03 13:15:00,0.001,0.001,0.0,0.42679999999999996
2024-01-03 13:30:00,0.001,0.001,0.0,0.027
2024-01-03 13:45:00,0.001,0.001,0.0,0.027
2024-01-03 14:00:00,0.001,0.001,0.0,0.5074666666666666
2024-01-03 14:15:00,0.001,0.001,0.0,0.093
2024-01-03 14:30:00,0.001,0.001,0.0,0.027
2024-01-03 14:45:00,0.001,0.001,0.0,0.027
2024-01-03 15:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-03 15:15:00,0.001,0.001,0.0,0.137
2024-01-03 15:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-03 15:45:00,0.001,0.001,0.0,0.027
2024-01-03 16:00:00,0.001,0.001,0.0,0.027
2024-01-03 16:15:00,0.001,0.001,0.0,0.09519999999999999
2024-01-03 16:30:00,0.001,0.001,0.0,0.2506666666666667
2024-01-03 16:45:00,0.001,0.001,0.0,0.148
2024-01-03 17:00:00,0.001,0.001,0.0,0.148
2024-01-03 17:15:00,0.001,0.001,0.0,0.13993333333333333
2024-01-03 17:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-03 17:45:00,0.001,0.001,0.0,0.093
2024-01-03 18:00:00,0.001,0.001,0.0,0.027
2024-01-03 18:15:00,0.001,0.001,0.0,0.027
2024-01-03 18:30:00,0.001,0.001,0.0,0.09886666666666667
2024-01-03 18:45:00,0.001,0.001,0.0,0.258
