,DishWasher,BaseLoad,P_EV
2024-01-05 23:15:00,0.0,0.14266666666666666,0.0
2024-01-05 23:30:00,0.0,0.06199999999999999,0.0
2024-01-05 23:45:00,0.0,0.04,0.0
2024-01-06 00:00:00,0.0,0.04,0.0
2024-01-06 00:15:00,0.0,0.04,0.0
2024-01-06 00:30:00,0.0,0.06933333333333333,0.0
2024-01-06 00:45:00,0.0,0.13533333333333333,0.0
2024-01-06 01:00:00,0.0,0.04,0.0
2024-01-06 01:15:00,0.0,0.04,0.0
2024-01-06 01:30:00,0.0,0.04,0.0
2024-01-06 01:45:00,0.0,0.04,0.0
2024-01-06 02:00:00,0.0,0.106,0.0
2024-01-06 02:15:00,0.0,0.09866666666666667,0.0
2024-01-06 02:30:00,0.0,0.04,0.0
2024-01-06 02:45:00,0.0,0.04,0.0
2024-01-06 03:00:00,0.0,0.04,0.0
2024-01-06 03:15:00,0.0,0.04,0.0
2024-01-06 03:30:00,0.0,0.14266666666666666,0.0
2024-01-06 03:45:00,0.0,0.06199999999999999,0.0
2024-01-06 04:00:00,0.0,0.04,0.0
2024-01-06 04:15:00,0.0,0.04,0.0
2024-01-06 04:30:00,0.0,0.04,0.0
2024-01-06 04:45:00,0.0,0.06933333333333333,0.0
2024-01-06 05:00:00,0.0,0.13533333333333333,0.0
2024-01-06 05:15:00,0.0,0.04,0.0
2024-01-06 05:30:00,0.0,0.04,0.0
2024-01-06 05:45:00,0.0,0.04,0.0
2024-01-06 06:00:00,0.0,0.04,0.0
2024-01-06 06:15:00,0.0,0.106,0.0
2024-01-06 06:30:00,0.0,0.09866666666666667,0.0
2024-01-06 06:45:00,0.0,0.04,0.0
2024-01-06 07:00:00,0.0,0.04,0.0
2024-01-06 07:15:00,0.0,0.04,0.0
2024-01-06 07:30:00,0.0,0.04,0.0
2024-01-06 07:45:00,0.0,0.1497609120902708,0.0
2024-01-06 08:00:00,0.0,0.0738237423726735,0.0
2024-01-06 08:15:00,0.0,0.0518237423726735,0.0
2024-01-06 08:30:00,0.0,0.0518237423726735,0.0
2024-01-06 08:45:00,0.0,0.0518237423726735,0.0
2024-01-06 09:00:00,0.0,0.08115707570600685,0.0
2024-01-06 09:15:00,0.0,0.14558057672298372,0.0
2024-01-06 09:30:00,0.0,0.04,0.0
2024-01-06 09:45:00,0.0,0.04,0.0
2024-01-06 10:00:00,0.0,0.04,0.0
2024-01-06 10:15:00,0.0,0.04,0.0
2024-01-06 10:30:00,0.0,0.106,0.0
2024-01-06 10:45:00,0.0,0.09866666666666667,0.0
2024-01-06 11:00:00,0.0,0.04,0.0
2024-01-06 11:15:00,0.0,0.04,0.0
2024-01-06 11:30:00,0.0,0.04,0.0
2024-01-06 11:45:00,0.0,0.04,0.0
2024-01-06 12:00:00,0.0,0.14266666666666666,0.0
2024-01-06 12:15:00,0.0,0.06199999999999999,0.0
2024-01-06 12:30:00,0.0,0.04,0.0
2024-01-06 12:45:00,0.0,0.4398,0.0
2024-01-06 13:00:00,0.0,0.04,0.0
2024-01-06 13:15:00,0.0,0.06933333333333333,0.0
2024-01-06 13:30:00,0.0,0.13533333333333333,4.2
2024-01-06 13:45:00,0.0,0.04,7.0
2024-01-06 14:00:00,0.0,0.4398,7.0
2024-01-06 14:15:00,0.0,0.5730666666666667,6.066666666666666
2024-01-06 14:30:00,0.0,0.04,0.0
2024-01-06 14:45:00,0.0,0.106,0.0
2024-01-06 15:00:00,0.0,0.6317333333333334,0.0
2024-01-06 15:15:00,0.0,0.04,0.0
2024-01-06 15:30:00,0.0,0.046066666666666665,0.0
2024-01-06 15:45:00,0.0,0.053,0.0
2024-01-06 16:00:00,0.0,0.053,1.4
2024-01-06 16:15:00,0.0,0.15566666666666668,3.2666666666666666
2024-01-06 16:30:00,0.0,0.06633333333333333,0.0
2024-01-06 16:45:00,0.0,0.04,0.0
2024-01-06 17:00:00,0.0,0.04,0.0
2024-01-06 17:15:00,0.0,0.04,0.0
2024-01-06 17:30:00,0.0,0.06933333333333333,0.0
2024-01-06 17:45:00,0.0,0.13533333333333333,0.0
2024-01-06 18:00:00,0.0,0.04,0.0
2024-01-06 18:15:00,0.0,0.04,0.0
2024-01-06 18:30:00,0.0,0.04,0.0
2024-01-06 18:45:00,0.0,0.04,0.0
2024-01-06 19:00:00,0.0,0.106,0.0
2024-01-06 19:15:00,0.0,0.09866666666666667,0.0
2024-01-06 19:30:00,0.0,0.04,0.0
2024-01-06 19:45:00,0.0,0.1126,0.0
2024-01-06 20:00:00,0.0,0.17045899389813882,0.0
2024-01-06 20:15:00,0.0,0.17282374237267348,0.0
2024-01-06 20:30:00,0.0,0.6752904090393401,0.0
2024-01-06 20:45:00,0.0,2.5938237423726735,0.0
2024-01-06 21:00:00,0.0,0.6526237423726736,0.0
2024-01-06 21:15:00,0.0,0.19833121244450236,0.0
2024-01-06 21:30:00,0.0,0.20437593972558782,0.0
2024-01-06 21:45:00,0.0,0.23370927305892114,0.0
2024-01-06 22:00:00,0.0,0.29970927305892114,0.0
2024-01-06 22:15:00,0.0,0.20437593972558782,0.0
2024-01-06 22:30:00,0.0,0.20069596091903705,0.0
2024-01-06 22:45:00,0.0,0.19885819328500684,0.0
2024-01-06 23:00:00,0.0,0.20437593972558782,0.0
2024-01-06 23:15:00,0.0,0.1735759397255878,0.0
2024-01-06 23:30:00,0.0,0.18237593972558783,0.0
2024-01-06 23:45:00,0.0,0.18123766166678398,0.0
