,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-06 00:00:00,0.001,0.001,0.0,0.001,0.2558237423726735,0.0,0.0
2024-01-06 00:15:00,0.001,0.001,0.0,0.001,0.07849040903934017,0.0,0.0
2024-01-06 00:30:00,0.001,0.001,0.0,0.001,0.06582374237267351,0.0,0.0
2024-01-06 00:45:00,0.001,0.001,0.0,0.001,0.05478824949151157,0.0,0.0
2024-01-06 01:00:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.9
2024-01-06 01:15:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,1.5
2024-01-06 01:30:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,1.5
2024-01-06 01:45:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-06 02:00:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-06 02:15:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,1.0
2024-01-06 02:30:00,0.001,0.001,0.0,0.001,0.6438,0.0,0.0
2024-01-06 02:45:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.0
2024-01-06 03:00:00,0.001,0.001,0.0,0.001,0.054,0.0,1.2
2024-01-06 03:15:00,0.001,0.001,0.0,0.001,0.054,0.0,1.2
2024-01-06 03:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-06 03:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-06 04:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-06 04:15:00,0.001,0.001,0.0,0.001,0.054,2.3333333333333335,0.0
2024-01-06 04:30:00,0.001,0.001,0.0,0.001,0.45380000000000004,0.0,0.0
2024-01-06 04:45:00,0.001,0.001,0.0,0.001,0.4538,0.0,0.0
2024-01-06 05:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-06 05:15:00,0.001,0.001,0.0,0.001,0.48519999999999996,0.0,0.0
2024-01-06 05:30:00,0.001,0.001,0.0,0.001,0.32053333333333334,0.0,1.5
2024-01-06 05:45:00,0.001,0.001,0.0,0.001,0.1024,0.0,1.0
2024-01-06 06:00:00,0.001,0.001,0.0,0.001,0.175,0.0,0.0
2024-01-06 06:15:00,0.001,0.001,0.0,0.001,0.26366666666666666,0.0,0.0
2024-01-06 06:30:00,0.001,0.001,0.0,0.001,0.8980666666666667,0.0,0.0
2024-01-06 06:45:00,0.001,0.001,0.0,0.001,0.18766666666666668,0.0,0.0
