,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 07:15:00,0.001,0.17,1.8666666666666667,1.0
2024-01-01 07:30:00,0.001,0.1326,1.3333333333333333,0.2
2024-01-01 07:45:00,0.001,2.58,0.0,0.4
2024-01-01 08:00:00,0.001,0.4799333333333333,0.0,1.6
2024-01-01 08:15:00,0.042154049271240696,0.358,0.0,1.4
2024-01-01 08:30:00,0.3286032769611479,0.168,0.0,3.0
2024-01-01 08:45:00,0.7776798389088754,0.2574666666666666,0.0,3.0
2024-01-01 09:00:00,0.16114019821312534,0.08933333333333333,0.0,3.0
2024-01-01 09:15:00,0.1581828177695388,0.05999999999999999,0.0,3.0
2024-01-01 09:30:00,1.000722737988656,0.21200000000000002,1.6,3.0
2024-01-01 09:45:00,0.7836777193005633,0.6385333333333334,1.6,3.0
2024-01-01 10:00:00,0.12242849310647148,1.6463333333333334,0.0,3.0
2024-01-01 10:15:00,0.2539360595937185,1.3851333333333333,0.0,0.2
2024-01-01 10:30:00,0.7200642343758334,0.10566666666666666,0.0,0.2
2024-01-01 10:45:00,0.001,0.047,0.0,0.4
2024-01-01 11:00:00,0.001,0.19899999999999998,0.0,2.6
2024-01-01 11:15:00,0.001,0.6367999999999999,0.0,0.4
2024-01-01 11:30:00,0.001,0.047,0.0,0.0
2024-01-01 11:45:00,0.001,0.07633333333333334,0.0,0.6
2024-01-01 12:00:00,0.001,0.13499999999999998,0.0,0.6
2024-01-01 12:15:00,0.001,0.047,0.0,0.2
2024-01-01 12:30:00,0.001,0.5988,2.1333333333333333,0.4
2024-01-01 12:45:00,0.001,0.2799333333333333,0.8,0.0
2024-01-01 13:00:00,0.001,0.181,0.0,0.4
2024-01-01 13:15:00,0.001,0.1880942454236041,0.0,0.8
2024-01-01 13:30:00,0.001,0.7026237423726734,0.0,0.2
2024-01-01 13:45:00,0.001,0.19235707570600682,0.0,1.6
2024-01-01 14:00:00,0.001,0.2753570757060068,0.0,0.2
2024-01-01 14:15:00,0.001,0.24882374237267352,0.0,0.2
2024-01-01 14:30:00,0.001,0.0588237423726735,0.0,0.6
2024-01-01 14:45:00,0.001,0.5103609120902708,0.0,1.2
2024-01-01 15:00:00,0.001,0.2486666666666667,0.0,0.4
2024-01-01 15:15:00,0.001,0.2046666666666667,0.0,0.0
2024-01-01 15:30:00,0.001,0.32,1.6,0.0
2024-01-01 15:45:00,0.001,0.358,1.3333333333333333,1.4
2024-01-01 16:00:00,0.001,0.1388785710391924,0.0,0.4
2024-01-01 16:15:00,0.001,0.07855219735291431,0.0,0.0
2024-01-01 16:30:00,0.001,0.12988553068624764,0.0,0.2
2024-01-01 16:45:00,0.001,0.14455219735291433,0.0,0.0
2024-01-01 17:00:00,0.001,0.24121886401958098,0.0,0.0
2024-01-01 17:15:00,0.001,0.40255219735291425,0.0,0.4
2024-01-01 17:30:00,0.001,0.21255219735291433,0.0,0.0
2024-01-01 17:45:00,0.001,0.21255219735291433,0.0,0.2
2024-01-01 18:00:00,0.001,0.20931043947058287,0.0,0.2
2024-01-01 18:15:00,0.001,0.5168278385882209,0.0,0.6
2024-01-01 18:30:00,0.001,1.4915521973529144,2.933333333333333,0.8
2024-01-01 18:45:00,0.001,1.8452855306862477,0.0,0.2
2024-01-01 19:00:00,0.001,0.22043469226802997,0.0,1.0
2024-01-01 19:15:00,0.001,0.7333112879805059,0.0,1.6
2024-01-01 19:30:00,0.001,0.30575707570600685,0.0,1.6
2024-01-01 19:45:00,0.001,0.8226008485099231,0.0,1.8
2024-01-01 20:00:00,0.001,0.44750927305892113,0.0,0.0
2024-01-01 20:15:00,0.001,0.8072426063922544,0.0,1.0
2024-01-01 20:30:00,0.001,0.2326071135110925,0.0,0.8
2024-01-01 20:45:00,0.001,0.2721521973529143,0.0,0.0
2024-01-01 21:00:00,0.001,0.19034558502880194,0.0,0.2
2024-01-01 21:15:00,0.001,0.2531570757060068,0.0,0.0
2024-01-01 21:30:00,0.001,0.5921904090393402,0.0,0.4
2024-01-01 21:45:00,0.001,0.6265237423726735,3.2,0.2
2024-01-01 22:00:00,0.001,0.33165707570600683,0.0,1.8
2024-01-01 22:15:00,0.001,0.32499162334779297,0.0,0.2
2024-01-01 22:30:00,0.001,0.33900927305892115,0.0,0.2
2024-01-01 22:45:00,0.001,0.2700759397255878,0.0,0.6
2024-01-01 23:00:00,0.001,0.5724092730589211,0.0,0.0
2024-01-01 23:15:00,0.001,0.5286620204314773,0.0,0.2
2024-01-01 23:30:00,0.001,0.3155237423726735,0.0,0.0
2024-01-01 23:45:00,0.001,0.314735492881162,0.0,0.4
