,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 08:30:00,0.001,0.001,0.132,0.0
2024-01-01 08:45:00,0.001,0.001,0.246,1.0
2024-01-01 09:00:00,0.001,0.05564715796137402,0.09723141514120136,0.3333333333333333
2024-01-01 09:15:00,0.001,0.22013987331463125,0.4806237423726735,1.6666666666666667
2024-01-01 09:30:00,0.001,0.9795795582158954,0.2140904090393402,0.3333333333333333
2024-01-01 09:45:00,0.001,0.3190568556123789,0.6138904090393402,0.3333333333333333
2024-01-01 10:00:00,0.001,0.14121900394048875,1.7821570757060068,0.3333333333333333
2024-01-01 10:15:00,0.001,0.23940084995644734,1.3244904090393403,0.0
2024-01-01 10:30:00,0.001,0.67508669111518,0.6104040777399606,0.6666666666666666
2024-01-01 10:45:00,0.001,0.11586924878944922,0.14432,5.0
2024-01-01 11:00:00,0.001,0.23374226993171238,0.32253333333333334,1.6666666666666667
2024-01-01 11:15:00,0.001,1.1687090628504015,0.20226666666666668,0.6666666666666666
2024-01-01 11:30:00,0.001,0.9583355868984219,0.19566666666666668,2.3333333333333335
2024-01-01 11:45:00,0.001,0.11051970386243708,0.24633333333333335,5.0
2024-01-01 12:00:00,0.001,0.001,0.18872,5.0
2024-01-01 12:15:00,0.001,0.001,0.177,5.0
2024-01-01 12:30:00,0.001,0.001,0.24053190437252572,3.3333333333333335
2024-01-01 12:45:00,0.001,0.001,0.34425219735291435,0.6666666666666666
2024-01-01 13:00:00,0.001,0.001,0.480118864019581,0.0
2024-01-01 13:15:00,0.001,0.001,0.37525219735291426,0.0
2024-01-01 13:30:00,0.001,0.001,0.20011391929411046,0.0
2024-01-01 13:45:00,0.001,0.001,0.5914999999999999,0.3333333333333333
2024-01-01 14:00:00,0.001,0.001,0.19169999999999998,0.0
2024-01-01 14:15:00,0.001,0.001,0.19169999999999998,2.3333333333333335
2024-01-01 14:30:00,0.001,0.001,0.3690333333333333,1.6666666666666667
2024-01-01 14:45:00,0.001,0.001,0.3183666666666667,3.0
2024-01-01 15:00:00,0.001,0.001,0.19169999999999998,1.0
2024-01-01 15:15:00,0.001,0.001,0.19169999999999998,0.6666666666666666
2024-01-01 15:30:00,0.001,0.001,0.19169999999999998,0.3333333333333333
2024-01-01 15:45:00,0.001,0.001,0.20436666666666664,1.6666666666666667
2024-01-01 16:00:00,0.001,0.001,0.3817,0.0
2024-01-01 16:15:00,0.001,0.001,0.8261,0.0
2024-01-01 16:30:00,0.001,0.001,0.19169999999999998,0.3333333333333333
2024-01-01 16:45:00,0.001,0.001,0.5914999999999999,0.3333333333333333
2024-01-01 17:00:00,0.001,0.001,0.2839,0.3333333333333333
2024-01-01 17:15:00,0.001,0.001,0.39314871752938674,0.0
2024-01-01 17:30:00,0.001,0.001,0.502018864019581,0.0
2024-01-01 17:45:00,0.001,0.001,0.29755219735291427,0.3333333333333333
2024-01-01 18:00:00,0.001,0.001,0.21348553068624765,0.0
2024-01-01 18:15:00,0.001,0.001,0.620618864019581,0.0
2024-01-01 18:30:00,0.001,0.001,0.12761886401958097,0.3333333333333333
2024-01-01 18:45:00,0.001,0.001,0.3164246517450819,0.0
2024-01-01 19:00:00,0.001,0.001,1.67216,0.3333333333333333
2024-01-01 19:15:00,0.001,0.001,1.4886666666666666,1.0
2024-01-01 19:30:00,0.001,0.001,0.4950942454236041,0.6666666666666666
2024-01-01 19:45:00,0.001,0.001,0.3304037423726735,0.3333333333333333
2024-01-01 20:00:00,0.001,0.001,1.4562570757060067,1.0
2024-01-01 20:15:00,0.001,0.001,2.5415008485099233,0.0
2024-01-01 20:30:00,0.001,0.001,1.6767426063922544,0.6666666666666666
2024-01-01 20:45:00,0.001,0.001,0.5642626063922545,0.0
2024-01-01 21:00:00,0.001,0.001,0.49234260639225447,0.6666666666666666
2024-01-01 21:15:00,0.001,0.001,0.5022092730589212,0.0
2024-01-01 21:30:00,0.001,0.001,0.5810759397255878,0.0
2024-01-01 21:45:00,0.001,0.001,1.0948759397255876,1.0
2024-01-01 22:00:00,0.001,0.001,0.7710759397255876,2.6666666666666665
2024-01-01 22:15:00,0.001,0.001,0.5044092730589211,1.6666666666666667
2024-01-01 22:30:00,0.001,0.001,0.48660927305892115,0.0
2024-01-01 22:45:00,0.001,0.001,0.39267593972558784,1.6666666666666667
2024-01-01 23:00:00,0.001,0.001,0.450715027635317,0.0
2024-01-01 23:15:00,0.001,0.001,0.6286210235674096,0.3333333333333333
2024-01-01 23:30:00,0.001,0.001,0.7651426063922544,1.3333333333333333
2024-01-01 23:45:00,0.001,0.001,0.48797245990206023,1.0
