,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 07:15:00,0.001,0.0,0.001,0.061000000000000006,0.0,1.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.06013333333333334,0.0,0.2
2024-01-01 07:45:00,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.16199999999999998,0.0,0.2
2024-01-01 08:15:00,0.001,0.0,0.001,0.29906666666666665,0.0,0.2
2024-01-01 08:30:00,0.001,0.0,0.001,0.09899999999999999,0.0,0.4
2024-01-01 08:45:00,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.5940666666666666,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,1.1712666666666667,0.0,1.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.6005333333333333,0.0,0.6
2024-01-01 09:45:00,0.001,0.0,0.001,0.46726666666666666,0.0,0.2
2024-01-01 10:00:00,0.001,0.0,0.001,0.182,0.0,0.4
2024-01-01 10:15:00,0.001,0.0,0.001,0.18026666666666666,0.2,0.0
2024-01-01 10:30:00,0.001,0.0,0.001,0.1868,2.8,0.2
2024-01-01 10:45:00,0.001,0.0,0.001,0.11166666666666666,0.0,1.6
2024-01-01 11:00:00,0.001,0.0,0.001,0.23833333333333334,0.0,0.2
2024-01-01 11:15:00,0.001,0.0,0.001,0.137,0.0,0.2
2024-01-01 11:30:00,0.001,0.0,0.001,0.5940666666666666,0.0,1.6
2024-01-01 11:45:00,0.001,0.0,0.001,1.1295333333333333,0.0,0.2
2024-01-01 12:00:00,0.001,0.0,0.001,2.2222431656496897,0.0,0.0
2024-01-01 12:15:00,0.001,0.0,0.001,0.5475570757060069,0.0,0.2
2024-01-01 12:30:00,0.001,0.0,0.001,0.24982374237267352,0.0,0.0
2024-01-01 12:45:00,0.001,0.0,0.001,0.0598237423726735,0.0,0.4
2024-01-01 13:00:00,0.001,0.0,0.001,0.14849040903934016,0.0,0.8
2024-01-01 13:15:00,0.001,0.0,0.001,0.10891391005631704,0.0,0.6
2024-01-01 13:30:00,0.001,0.0,0.001,0.048,0.0,1.2
2024-01-01 13:45:00,0.001,0.0,0.001,0.18733333333333332,0.0,0.4
2024-01-01 14:00:00,0.001,0.0,0.001,0.16199999999999998,0.0,0.0
2024-01-01 14:15:00,0.001,0.0,0.001,0.13666666666666666,0.0,0.0
2024-01-01 14:30:00,0.001,0.0,0.001,0.09866666666666667,0.0,1.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.07766666666666668,0.0,1.8
2024-01-01 15:15:00,0.001,0.0,0.001,0.251,0.0,0.2
2024-01-01 15:30:00,0.001,0.0,0.001,0.18766666666666668,0.0,0.0
2024-01-01 15:45:00,0.001,0.0,0.001,0.1108,0.0,0.2
2024-01-01 16:00:00,0.001,0.0,0.001,0.048,0.0,1.2
2024-01-01 16:15:00,0.001,0.0,0.001,0.060620878941165725,0.0,0.8
2024-01-01 16:30:00,0.001,0.0,0.001,0.18088553068624763,0.0,0.2
2024-01-01 16:45:00,0.001,0.0,0.001,0.8532855306862478,0.0,0.4
2024-01-01 17:00:00,0.001,0.0,0.001,0.13021886401958097,1.6,1.2
2024-01-01 17:15:00,0.001,0.0,0.001,0.0795521973529143,1.4,0.4
2024-01-01 17:30:00,0.001,0.0,0.001,0.06482783858822096,0.0,1.6
2024-01-01 17:45:00,0.001,0.0,0.001,0.048,0.0,0.2
2024-01-01 18:00:00,0.001,0.0,0.001,0.314,0.0,0.4
2024-01-01 18:15:00,0.001,0.0,0.001,0.23848553068624764,0.0,0.6
2024-01-01 18:30:00,0.001,0.0,0.001,0.2100111912510531,0.0,1.4
2024-01-01 18:45:00,0.001,0.0,0.001,0.21237593972558783,0.0,0.0
2024-01-01 19:00:00,0.001,0.0,0.001,0.22364260639225447,0.0,0.4
2024-01-01 19:15:00,0.001,0.0,0.001,0.35003070201972875,0.0,0.0
2024-01-01 19:30:00,0.001,0.0,0.001,0.5611437423726735,0.0,1.0
2024-01-01 19:45:00,0.001,0.0,0.001,0.32085299796604627,0.0,1.4
2024-01-01 20:00:00,0.001,0.0,0.001,0.30556666666666665,0.0,0.4
2024-01-01 20:15:00,0.001,0.0,0.001,0.6560999999999999,0.0,0.8
2024-01-01 20:30:00,0.001,0.0,0.001,0.2775666666666667,0.0,1.2
2024-01-01 20:45:00,0.001,0.0,0.001,0.3867,0.0,1.0
2024-01-01 21:00:00,0.001,0.0,0.001,0.3107,0.0,0.2
2024-01-01 21:15:00,0.001,0.0,0.001,0.19669999999999999,0.0,0.0
2024-01-01 21:30:00,0.001,0.0,0.001,0.19236666666666666,0.0,0.2
2024-01-01 21:45:00,0.001,0.0,0.001,0.29129798507841526,0.0,0.0
2024-01-01 22:00:00,0.001,0.0,0.001,0.2975581932850069,0.0,1.6
2024-01-01 22:15:00,0.001,0.0,0.001,0.4170759397255878,0.0,0.2
2024-01-01 22:30:00,0.001,0.0,0.001,0.3446092730589212,0.0,0.4
2024-01-01 22:45:00,0.001,0.0,0.001,0.7608759397255879,0.0,0.2
2024-01-01 23:00:00,0.001,0.0,0.001,0.44763912656872684,0.0,0.2
2024-01-01 23:15:00,0.001,0.0,0.001,0.4117426063922545,0.0,0.2
2024-01-01 23:30:00,0.001,0.0,0.001,0.46240927305892116,0.0,0.2
2024-01-01 23:45:00,0.001,0.0,0.001,0.5130759397255878,0.0,0.0
