,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited,Flex_EV
2024-01-03 17:49:00,11.0,16.182904841873352,15.096613342201643,9.0,140.4515615322006,0.0,0.0,1.0
2024-01-03 17:50:00,11.0,16.181903872858076,15.095733234045715,9.0,140.42785708932553,0.0,0.0,1.0
2024-01-03 17:51:00,11.0,16.18090302568673,15.094853274400233,9.0,140.40416113411567,0.0,0.0,1.0
2024-01-03 17:52:00,11.0,16.179902300368415,15.09397346321205,9.0,140.3804736585089,0.0,0.0,1.0
2024-01-03 17:53:00,11.0,16.17890169691218,15.093093800428074,9.0,140.35679465445298,0.0,0.0,1.0
2024-01-03 17:54:00,11.0,16.17790121532705,15.092214285995258,9.0,140.33312411390625,0.0,0.0,1.0
2024-01-03 17:55:00,11.0,16.17690085562201,15.091334919860612,9.0,140.309462028837,0.0,0.0,1.0
2024-01-03 17:56:00,11.0,16.175900617806,15.090455701971191,9.0,140.28580839122435,0.0,0.0,1.0
2024-01-03 17:57:00,11.0,16.174900501887937,15.089576632274103,9.0,140.26216319305706,0.0,0.0,1.0
2024-01-03 17:58:00,11.0,16.173900507876695,15.088697710716506,9.0,140.23852642633483,0.0,0.0,1.0
2024-01-03 17:59:00,11.0,16.17290063578111,15.087818937245606,9.0,140.21489808306703,0.0,0.0,1.0
2024-01-03 18:00:00,11.0,16.17190088560999,15.086940311808661,8.0,140.1912781552734,0.0,0.0,1.0
2024-01-03 18:01:00,11.0,16.170849343927603,15.085811141029255,8.0,180.1676666349839,0.0,0.0,1.0
2024-01-03 18:02:00,11.0,16.16979781195023,15.084682299652565,8.0,180.11510796118952,0.0,0.0,1.0
2024-01-03 18:03:00,11.0,16.16874628986221,15.083553787405224,8.0,180.06259290511903,0.0,0.0,1.0
2024-01-03 18:04:00,11.0,16.16769477784761,15.082425604014206,8.0,180.01012141225476,0.0,0.0,1.0
2024-01-03 18:05:00,11.0,16.166643276090223,15.08129774920683,8.0,179.95769342815143,0.0,0.0,1.0
2024-01-03 18:06:00,11.0,16.165591784773568,15.080170222710748,8.0,179.90530889843637,0.0,0.0,1.0
2024-01-03 18:07:00,11.0,16.164540304080894,15.079043024253961,8.0,179.85296776880824,0.0,0.0,1.0
2024-01-03 18:08:00,11.0,16.163488834195174,15.077916153564805,8.0,179.80066998503787,0.0,0.0,1.0
2024-01-03 18:09:00,11.0,16.16243737529911,15.076789610371957,8.0,179.7484154929685,0.0,0.0,1.0
2024-01-03 18:10:00,11.0,16.16138592757513,15.075663394404431,8.0,179.69620423851484,0.0,0.0,1.0
2024-01-03 18:11:00,11.0,16.16033449120539,15.074537505391582,8.0,179.64403616766344,0.0,0.0,1.0
2024-01-03 18:12:00,11.0,16.15928306637178,15.073411943063102,8.0,179.59191122647252,0.0,0.0,1.0
2024-01-03 18:13:00,11.0,16.158231653255918,15.07228670714902,8.0,179.53982936107155,0.0,0.0,1.0
2024-01-03 18:14:00,11.0,16.157180252039144,15.071161797379704,8.0,179.48779051766203,0.0,0.0,1.0
2024-01-03 18:15:00,11.0,16.156128862902534,15.070037213485856,8.0,179.43579464251627,0.0,0.0,1.0
2024-01-03 18:16:00,11.0,16.155077486026894,15.068912955198517,8.0,179.3838416819781,0.0,0.0,1.0
2024-01-03 18:17:00,11.0,16.15402612159276,15.067789022249062,8.0,179.33193158246257,0.0,0.0,1.0
2024-01-03 18:18:00,11.0,16.1529747697804,15.066665414369204,8.0,179.28006429045553,0.0,0.0,1.0
2024-01-03 18:19:00,11.0,16.151923430769813,15.065542131290988,8.0,179.22823975251413,0.0,0.0,1.0
2024-01-03 18:20:00,11.0,16.150872104740724,15.064419172746794,8.0,179.17645791526581,0.0,0.0,1.0
2024-01-03 18:21:00,11.0,16.1498207918726,15.063296538469336,8.0,179.1247187254097,0.0,0.0,1.0
2024-01-03 18:22:00,11.0,16.14876949234463,15.062174228191664,8.0,179.0730221297147,0.0,0.0,1.0
2024-01-03 18:23:00,11.0,16.147718206335746,15.061052241647158,8.0,179.02136807502103,0.0,0.0,1.0
2024-01-03 18:24:00,11.0,16.146666934024605,15.059930578569531,8.0,178.96975650823893,0.0,0.0,1.0
2024-01-03 18:25:00,11.0,16.1456156755896,15.058809238692833,8.0,178.91818737634918,0.0,0.0,1.0
2024-01-03 18:26:00,11.0,16.14456443120886,15.05768822175144,8.0,178.86666062640313,0.0,0.0,1.0
2024-01-03 18:27:00,11.0,16.143513201060244,15.05656752748006,8.0,178.815176205522,0.0,0.0,1.0
2024-01-03 18:28:00,11.0,16.14246198532135,15.055447155613738,8.0,178.76373406089738,0.0,0.0,1.0
