,WasherDryer,TumbleDryer,BaseLoad,P_HP,P_WB
2024-01-01 14:00:00,0.001,0.001,0.22016666666666665,0.0,0.3333333333333333
2024-01-01 14:15:00,0.001,0.001,0.4051133333333333,0.0,0.3333333333333333
2024-01-01 14:30:00,0.001,0.001,0.31333333333333335,0.0,0.6666666666666666
2024-01-01 14:45:00,0.001,0.001,0.6464666666666667,0.0,0.3333333333333333
2024-01-01 15:00:00,0.001,0.001,0.164,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.6970666666666666,0.6666666666666666,0.6666666666666666
2024-01-01 15:30:00,0.001,0.001,0.10753333333333333,2.3333333333333335,0.3333333333333333
2024-01-01 15:45:00,0.001,0.001,0.233,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.09366666666666666,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.198,0.0,0.3333333333333333
2024-01-01 16:30:00,0.001,0.001,0.09466666666666666,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.06824175788233146,0.0,0.3333333333333333
2024-01-01 17:00:00,0.001,0.001,0.07455219735291431,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.23921886401958095,0.0,1.0
2024-01-01 17:30:00,0.001,0.001,0.15567378017775918,0.0,0.3333333333333333
2024-01-01 17:45:00,0.001,0.001,0.13844260639225447,0.0,0.6666666666666666
2024-01-01 18:00:00,0.001,0.001,0.3543411414903116,0.0,0.3333333333333333
2024-01-01 18:15:00,0.001,0.001,0.2094904090393402,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.1888237423726735,0.0,0.6666666666666666
2024-01-01 18:45:00,0.001,0.001,0.33717141514120136,0.0,1.0
2024-01-01 19:00:00,0.001,0.001,0.4010333333333333,0.0,1.0
2024-01-01 19:15:00,0.001,0.001,0.33125219735291433,0.0,0.6666666666666666
2024-01-01 19:30:00,0.001,0.001,0.9182521973529142,0.0,0.0
2024-01-01 19:45:00,0.4756208716345978,0.001,0.8879855306862475,0.0,0.0
2024-01-01 20:00:00,0.7920347860576631,0.001,0.21025219735291428,0.0,1.0
2024-01-01 20:15:00,0.7920347860576631,0.001,0.3540681315686095,3.0,1.3333333333333333
2024-01-01 20:30:00,0.7920347860576631,0.001,0.4263666666666666,0.0,0.0
2024-01-01 20:45:00,0.7920347860576631,0.001,0.3307207729739195,0.0,0.0
2024-01-01 21:00:00,0.7920347860576631,0.001,0.3430759397255878,0.0,1.0
2024-01-01 21:15:00,0.7920347860576631,0.001,0.42800927305892117,0.0,2.0
2024-01-01 21:30:00,0.7920347860576631,0.001,0.3357426063922545,0.0,0.0
2024-01-01 21:45:00,0.7920347860576631,0.001,0.37624836096865033,0.0,0.3333333333333333
2024-01-01 22:00:00,0.7920347860576631,0.001,0.4832521973529143,0.0,0.6666666666666666
2024-01-01 22:15:00,0.7920347860576631,0.001,0.33125219735291433,0.0,0.3333333333333333
2024-01-01 22:30:00,0.7920347860576631,0.001,0.30180347982352757,0.0,1.6666666666666667
2024-01-01 22:45:00,0.7920347860576631,0.001,0.29969999999999997,0.0,0.0
2024-01-01 23:00:00,0.7920347860576631,0.001,0.3591666666666667,0.0,0.3333333333333333
2024-01-01 23:15:00,0.21194260961537684,0.001,0.3247,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.3560333333333333,0.0,0.3333333333333333
2024-01-01 23:45:00,0.001,0.001,0.1787,0.0,1.3333333333333333
