,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-01 17:15:00,0.001,0.0,0.057666666666666665,0.2
2024-01-01 17:30:00,0.001,0.0,0.235,0.4
2024-01-01 17:45:00,0.001,0.0,0.10833333333333334,0.2
2024-01-01 18:00:00,0.001,0.0,0.045,0.2
2024-01-01 18:15:00,0.001,0.0,0.13546666666666668,0.4
2024-01-01 18:30:00,0.001,0.0,0.19428441310724764,0.8
2024-01-01 18:45:00,0.001,0.0,0.37685707570600685,0.4
2024-01-01 19:00:00,0.001,0.0,0.6367904090393403,0.0
2024-01-01 19:15:00,0.001,0.0,0.5927237423726734,0.0
2024-01-01 19:30:00,0.001,0.0,0.3135237423726735,2.0
2024-01-01 19:45:00,0.001,0.0,0.3135237423726735,1.2
2024-01-01 20:00:00,0.001,0.0,0.3135237423726735,1.6
2024-01-01 20:15:00,0.001,0.9003333333333333,0.4275237423726735,2.2
2024-01-01 20:30:00,0.001,2.1000666666666667,0.4639472433896504,0.2
2024-01-01 20:45:00,0.001,1.0505333333333333,0.3111589938981388,0.4
2024-01-01 21:00:00,0.001,0.6007333333333332,0.2893237423726735,0.0
2024-01-01 21:15:00,0.001,0.0002666666666666667,0.7981904090393402,0.4
2024-01-01 21:30:00,0.001,0.0,0.3135237423726735,0.0
2024-01-01 21:45:00,0.001,0.0,0.4781904090393401,0.2
2024-01-01 22:00:00,0.001,0.0,0.4030333333333333,0.0
2024-01-01 22:15:00,0.001,0.0,0.30169999999999997,0.2
2024-01-01 22:30:00,0.001,0.0,0.7014999999999999,1.6
2024-01-01 22:45:00,0.001,0.0,0.30879424542360406,1.2
2024-01-01 23:00:00,0.001,0.0,0.34651040903934016,0.0
2024-01-01 23:15:00,0.001,0.0,0.3825237423726735,0.4
2024-01-01 23:30:00,0.001,0.0,0.24319040903934017,0.0
2024-01-01 23:45:00,0.001,0.0,0.2320688262144953,0.0
