,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB
2024-01-01 04:45:00,2.0,20.766666666666666,0.519856170391738,20.69789372491467,16.674769315563054,11.0,59.08612051249328,0.8985946666666668,0.07379585654166079,60.0
2024-01-01 05:00:00,2.0,20.5,0.5203000798254875,20.650591312003172,16.694441551612634,10.0,59.11580102982785,0.12837066666666666,0.07425165335538082,60.0
2024-01-01 05:15:00,2.0,20.5,0.5136802779411794,20.60319376167967,16.70961982893098,10.0,59.112982004481644,0.0,0.07415153603497263,60.0
2024-01-01 05:30:00,2.0,20.6,0.5066434478555015,20.556450008779585,16.724105283127155,10.0,59.0332682175353,0.0,0.07419285095089216,60.0
2024-01-01 05:45:00,2.0,20.7,0.5147586409069694,20.510346273787665,16.73791419303799,10.0,59.16851240547629,0.0,0.07426248547390198,60.0
2024-01-01 06:00:00,1.0,20.566666666666666,0.5565512742167515,21.009603619603936,16.752742542990752,10.0,59.088679346557875,0.0,0.07410297945672295,60.0
2024-01-01 06:15:00,2.0,20.633333333333333,0.5486758098542018,20.958960246192127,16.770759425965334,10.0,59.00901775851315,0.0,0.07428754879651729,60.0
2024-01-01 06:30:00,1.0,20.866666666666667,0.5409670180446441,20.909033161254165,16.788011024353615,10.0,59.14416014513897,0.0,0.07421382979029997,60.0
2024-01-01 06:45:00,1.0,21.0,0.5334211846745155,20.859807206751167,16.804515259717345,10.0,59.06437939166159,0.2567413333333333,0.0740689705040929,60.0
2024-01-01 07:00:00,1.0,21.0,0.5254665471538597,20.8112675624218,16.820289650355534,10.0,59.13875914147803,0.0,0.07420303861438367,60.0
2024-01-01 07:15:00,1.0,21.0,0.5182014749533596,20.763455161115584,16.835351585726695,10.0,59.05898998864365,1.5404480000000003,0.07323415914758884,60.0
2024-01-01 07:30:00,1.0,21.0,0.5111293800764874,20.71629982560194,16.84971809880644,10.0,59.044281504132385,0.2567413333333333,0.07409424418551115,60.0
