,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 17:00:00,0.001,0.001,0.0,0.1955237423726735,0.0,0.2
2024-01-01 17:15:00,0.001,0.001,0.0,0.1955237423726735,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.20285707570600683,0.0,0.4
2024-01-01 17:45:00,0.001,0.001,0.0,0.3023707444066272,0.0,0.2
2024-01-01 18:00:00,0.001,0.001,0.0,0.21303333333333332,2.933333333333333,0.2
2024-01-01 18:15:00,0.001,0.001,0.0,0.21165707570600684,0.26666666666666666,0.4
2024-01-01 18:30:00,0.001,0.001,0.0,0.3165237423726735,0.0,0.4
2024-01-01 18:45:00,0.001,0.001,0.0,0.3165237423726735,0.0,1.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.37519040903934014,0.0,0.4
2024-01-01 19:15:00,0.001,0.001,0.0,0.4287159821124863,0.0,0.2
2024-01-01 19:30:00,0.001,0.001,0.0,0.33625219735291434,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.24751886401958098,0.0,0.8
2024-01-01 20:00:00,0.001,0.001,0.0,0.2152521973529143,0.0,0.6
2024-01-01 20:15:00,0.001,0.001,0.0,0.20894175788233144,0.0,1.2
2024-01-01 20:30:00,0.001,0.001,0.0,0.3429620296692708,0.0,0.4
2024-01-01 20:45:00,0.001,0.001,0.0,0.3847426063922545,3.466666666666667,0.2
2024-01-01 21:00:00,0.001,0.001,0.0,0.8811426063922545,0.0,0.8
2024-01-01 21:15:00,0.001,0.001,0.0,0.3480759397255878,0.0,1.2
2024-01-01 21:30:00,0.001,0.001,0.0,0.3480759397255878,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.3618938888628678,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.29085707570600683,0.0,0.2
2024-01-01 22:15:00,0.001,0.001,0.0,0.21165707570600684,0.0,0.2
2024-01-01 22:30:00,0.001,0.001,0.0,0.7163237423726734,0.0,0.8
2024-01-01 22:45:00,0.001,0.001,0.0,0.32678431637779487,0.0,0.4
2024-01-01 23:00:00,0.001,0.001,0.0,0.33625219735291434,0.0,1.6
2024-01-01 23:15:00,0.001,0.001,0.0,0.438918864019581,0.0,0.2
2024-01-01 23:30:00,0.001,0.001,0.0,0.28345219735291427,0.0,1.4
2024-01-01 23:45:00,0.001,0.001,0.0,0.1963208789411657,0.0,0.4
