,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-06 00:30:00,0.001,0.001,0.0,0.06833333333333333,0.0,0.0
2024-01-06 00:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 01:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 01:15:00,0.001,0.001,0.0,0.05566666666666666,0.0,0.0
2024-01-06 01:30:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-06 01:45:00,0.001,0.001,0.0,0.09366666666666666,0.0,0.0
2024-01-06 02:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 02:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 02:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 02:45:00,0.001,0.001,0.0,0.3536,0.0,0.0
2024-01-06 03:00:00,0.001,0.001,0.0,0.38553333333333334,0.0,0.0
2024-01-06 03:15:00,0.001,0.001,0.0,0.043,0.0,0.6
2024-01-06 03:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 03:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 04:00:00,0.001,0.001,0.0,0.195,0.0,0.0
2024-01-06 04:15:00,0.001,0.001,0.0,0.14433333333333334,0.0,2.6
2024-01-06 04:30:00,0.001,0.001,0.0,0.043,0.0,2.8
2024-01-06 04:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 05:00:00,0.001,0.001,0.0,0.043,0.0,0.6
2024-01-06 05:15:00,0.001,0.001,0.0,0.16966666666666666,0.0,0.0
2024-01-06 05:30:00,0.001,0.001,0.0,0.16966666666666666,0.0,0.4
2024-01-06 05:45:00,0.001,0.001,0.0,0.043,0.0,0.2
2024-01-06 06:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 06:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 06:30:00,0.001,0.001,0.0,0.14433333333333334,0.0,2.2
2024-01-06 06:45:00,0.001,0.001,0.0,0.195,0.0,1.2
2024-01-06 07:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 07:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 07:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 07:45:00,0.001,0.001,0.0,0.11900000000000001,0.0,0.0
2024-01-06 08:00:00,0.001,0.001,0.0,0.22033333333333335,0.0,0.0
2024-01-06 08:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 08:30:00,0.001,0.001,0.0,0.043,0.0,0.4
2024-01-06 08:45:00,0.001,0.001,0.0,0.043,0.0,2.2
2024-01-06 09:00:00,0.001,0.001,0.0,0.09366666666666666,0.0,0.0
2024-01-06 09:15:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-06 09:30:00,0.001,0.001,0.0,0.05566666666666666,0.0,0.0
2024-01-06 09:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 10:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-06 10:15:00,0.1592069572115326,0.001,0.0,0.07613333333333333,0.0,0.0
2024-01-06 10:30:00,0.7920347860576631,0.001,0.0,0.246,5.866666666666666,0.0
2024-01-06 10:45:00,0.7920347860576631,0.001,0.0,0.094,11.0,1.2
2024-01-06 11:00:00,0.7920347860576631,0.001,0.0,0.056,11.0,1.4
2024-01-06 11:15:00,0.7920347860576631,0.001,0.0,0.11171333333333333,6.6,0.0
2024-01-06 11:30:00,0.7920347860576631,0.001,0.0,0.29969999999999997,0.0,0.0
2024-01-06 11:45:00,0.7920347860576631,0.001,0.0,0.48969999999999997,0.0,0.0
2024-01-06 12:00:00,0.7920347860576631,0.001,0.0,0.36303333333333326,0.0,0.0
2024-01-06 12:15:00,0.7920347860576631,0.001,0.0,0.29969999999999997,0.0,0.0
2024-01-06 12:30:00,0.7920347860576631,0.001,0.0,0.25936666666666663,0.0,0.0
2024-01-06 12:45:00,0.7920347860576631,0.001,0.0,0.1787,0.0,0.0
2024-01-06 13:00:00,0.7920347860576631,0.001,0.0,0.3433666666666666,0.0,1.2
2024-01-06 13:15:00,0.21194260961537684,0.001,0.0,0.26736666666666664,0.0,1.2
2024-01-06 13:30:00,0.001,0.001,0.0,0.1787,0.0,0.0
2024-01-06 13:45:00,0.001,0.001,0.0,0.1787,0.0,0.0
2024-01-06 14:00:00,0.001,0.001,0.0,0.1787,0.0,0.0
2024-01-06 14:15:00,0.001,0.001,0.0,0.3180333333333333,0.0,0.0
2024-01-06 14:30:00,0.001,0.001,0.0,0.29269999999999996,0.0,0.0
2024-01-06 14:45:00,0.001,0.001,0.0,0.1787,0.0,0.0
2024-01-06 15:00:00,0.001,0.001,0.0,0.1787,0.0,0.0
2024-01-06 15:15:00,0.001,0.001,0.0,0.1787,0.0,1.8
2024-01-06 15:30:00,0.001,0.001,0.0,0.29269999999999996,0.0,0.6
2024-01-06 15:45:00,0.001,0.001,0.0,0.3180333333333333,0.0,0.0
2024-01-06 16:00:00,0.001,0.001,0.0,0.47678553068624757,0.0,0.0
2024-01-06 16:15:00,0.001,0.001,0.0,0.47678553068624757,0.0,0.0
2024-01-06 16:30:00,0.001,0.001,0.0,0.2145855306862476,0.0,0.0
2024-01-06 16:45:00,0.6338278288461304,0.001,0.0,0.2666855306862476,0.0,0.0
2024-01-06 17:00:00,0.7920347860576631,0.001,0.0,0.387918864019581,0.0,0.0
2024-01-06 17:15:00,0.7920347860576631,0.001,0.0,0.33408205086272,0.0,0.0
2024-01-06 17:30:00,0.7920347860576631,0.001,0.0,0.31270000000000003,0.0,2.6
2024-01-06 17:45:00,0.7920347860576631,0.001,0.0,0.3085275787569374,0.0,0.0
2024-01-06 18:00:00,0.7920347860576631,0.001,0.0,0.37485707570600685,0.0,0.0
2024-01-06 18:15:00,0.7920347860576631,0.001,0.0,0.5015237423726735,0.0,0.0
2024-01-06 18:30:00,0.7920347860576631,0.001,0.0,0.4779237423726735,0.0,0.0
2024-01-06 18:45:00,0.7920347860576631,0.001,0.0,1.4465904090393402,0.0,0.0
2024-01-06 19:00:00,0.7920347860576631,0.001,0.0,1.4290647484745347,0.0,0.0
2024-01-06 19:15:00,0.7920347860576631,0.001,0.0,0.46630000000000005,0.0,0.0
2024-01-06 19:30:00,0.7920347860576631,0.001,0.0,0.36869999999999997,0.0,0.0
2024-01-06 19:45:00,0.7920347860576631,0.001,0.0,0.20403333333333332,0.0,2.2
2024-01-06 20:00:00,0.528356524038442,0.001,0.0,0.1787,0.0,0.4
2024-01-06 20:15:00,0.001,0.001,0.0,0.18501043947058285,0.0,0.0
2024-01-06 20:30:00,0.001,0.001,0.0,0.2315896084262082,0.0,0.0
2024-01-06 20:45:00,0.001,0.001,0.0,0.4604759397255878,0.0,0.0
2024-01-06 21:00:00,0.6865634812499747,0.001,0.0,0.39374260639225445,0.0,0.0
2024-01-06 21:15:00,0.7920347860576631,0.001,0.0,0.3430759397255878,0.0,0.0
2024-01-06 21:30:00,0.7920347860576631,0.001,0.0,0.3430759397255878,0.0,0.0
2024-01-06 21:45:00,0.7920347860576631,0.001,0.0,0.34149944074256466,0.0,0.0
2024-01-06 22:00:00,0.7920347860576631,0.11520820983748822,0.0,0.451138864019581,0.0,0.0
