,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-01-11 14:30:00,1.0,21.5,1.6739255155785904,21.671356565279336,15.069407261352579,3.705,59.377562309025315,60.0,0.02567413333333333,0.1868878115451266,0.7999999999999998,0.0,1,0,1
2024-01-11 14:45:00,3.0,21.5,1.6739255155785904,21.530340468892042,15.11159607225892,3.705,59.19585938334328,60.0,0.0,0.18597929691671639,0.0,0.0,0,0,0
2024-01-11 15:00:00,1.0,21.5,1.6739255155785904,21.387788883381468,15.152337547575893,4.408333,59.10970555590494,60.0,0.02567413333333333,0.1855485277795247,0.7999999999999999,0.7883888888888889,1,1,0
2024-01-11 15:15:00,1.0,21.5,1.6739255155785904,21.242991893374654,15.191973121027589,4.408333,59.96529549018967,60.0,0.012837066666666666,0.18982647745094833,0.7999999999999999,0.0,1,0,0
2024-01-11 15:30:00,1.0,21.5,1.6739255155785904,21.102164954160894,15.227287783690146,4.408333,60.874721025501735,60.0,0.012837066666666666,0.1943736051275087,0.7999999999999999,0.0,1,0,0
2024-01-11 15:45:00,1.0,21.5,1.6739255155785904,21.31389568461557,15.260033840157659,4.408333,60.81464716645375,60.0,0.012837066666666666,0.1940732358322688,0.7999999999999999,0.0,1,0,0
2024-01-11 16:00:00,1.0,21.5,1.6739255155785904,21.95172756290589,15.302362015681698,3.825,60.642941061578185,60.0,0.0,0.19321470530789092,0.7999999999999999,0.0,1,0,0
2024-01-11 16:15:00,1.0,21.5,1.6739255155785904,21.80197019436122,15.344563163614753,3.825,60.46902319374702,60.0,0.012837066666666666,0.1923451159687351,0.7999999999999999,0.0,1,0,0
2024-01-11 16:30:00,1.0,21.5,1.6739255155785904,21.65010410460285,15.382130485406583,3.825,60.30100261971365,60.0,0.0,0.19150501309856824,0.7999999999999999,0.0,1,0,0
2024-01-11 16:45:00,1.0,21.5,1.6739255155785904,21.502318845470803,15.415287426432794,3.825,60.13663656222202,60.0,0.0,0.19068318281111013,0.7999999999999999,0.0,1,0,0
2024-01-11 17:00:00,1.0,21.5,1.6739255155785904,21.358245369020928,15.442526997437142,3.406667,59.972975870099646,60.0,0.0,0.18986487935049823,0.7999999999999999,0.0,1,0,0
2024-01-11 17:15:00,1.0,21.5,1.6739255155785904,21.217640948162583,15.463880441956793,3.406667,59.810017516320656,60.0,0.0,0.1890500875816033,0.7999999999999999,0.0,1,0,0
2024-01-11 17:30:00,1.0,21.5,1.6739255155785904,21.080536201816738,15.48155803432656,3.406667,59.647758486849504,60.0,0.0,0.18823879243424754,0.7999999999999999,0.0,1,0,0
2024-01-11 17:45:00,1.0,21.5,1.6739255155785904,21.516609849312463,15.499125546066976,3.406667,59.486195780585106,60.0,0.0,0.1874309789029255,0.7999999999999999,0.0,1,0,0
2024-01-11 18:00:00,1.0,21.5,1.6739255155785904,21.93843987460223,15.528502208985298,2.941667,59.32532640930545,60.0,0.0,0.1866266320465272,0.7999999999999999,0.0,1,0,0
2024-01-11 18:15:00,1.0,21.5,1.6739255155785904,21.786541950713136,15.555644259535578,2.941667,59.16514739761222,60.0,0.0,0.18582573698806112,0.7999999999999999,0.0,1,0,0
2024-01-11 18:30:00,3.0,21.5,1.6739255155785904,21.638509295977485,15.578691599512883,2.941667,59.12599961143375,60.0,0.0,0.1856299980571688,0.7999999999999999,0.0,1,0,0
2024-01-11 18:45:00,3.0,21.5,1.6739255155785904,21.49417294214357,15.597851720832047,2.941667,60.048391813581226,60.0,0.0,0.19024195906790614,0.7999999999999999,0.0,1,0,0
