,WashingMachine,BaseLoad
2024-01-02 16:15:00,0.001,0.037
2024-01-02 16:30:00,0.001,0.1272431656496898
2024-01-02 16:45:00,0.001,0.22615707570600685
2024-01-02 17:00:00,0.001,0.44862374237267344
2024-01-02 17:15:00,0.001,0.0488237423726735
2024-01-02 17:30:00,0.001,0.0488237423726735
2024-01-02 17:45:00,0.001,0.04330599593209253
2024-01-02 18:00:00,0.001,0.16366666666666668
2024-01-02 18:15:00,0.001,0.17633333333333334
2024-01-02 18:30:00,0.001,0.037
2024-01-02 18:45:00,0.001,0.08539999999999999
2024-01-02 19:00:00,0.001,0.158
2024-01-02 19:15:00,0.001,0.158
2024-01-02 19:30:00,0.001,0.32266666666666666
2024-01-02 19:45:00,0.001,0.2593333333333333
2024-01-02 20:00:00,0.001,0.158
2024-01-02 20:15:00,0.001,0.05313333333333333
2024-01-02 20:30:00,0.001,0.038576498983023136
2024-01-02 20:45:00,0.001,0.38835707570600686
2024-01-02 21:00:00,0.001,0.747357075706007
2024-01-02 21:15:00,0.001,0.3541570757060068
2024-01-02 21:30:00,0.001,0.31396202043147725
2024-01-02 21:45:00,0.001,0.32237593972558776
2024-01-02 22:00:00,0.001,0.32237593972558776
2024-01-02 22:15:00,0.001,0.3569092730589211
2024-01-02 22:30:00,0.001,0.5123759397255878
2024-01-02 22:45:00,0.001,0.7433023134118659
2024-01-02 23:00:00,0.001,0.32237593972558776
2024-01-02 23:15:00,0.001,0.32237593972558776
2024-01-02 23:30:00,0.001,0.22891310944318508
2024-01-02 23:45:00,0.001,0.678018864019581
2024-01-03 00:00:00,0.001,0.36688553068624763
2024-01-03 00:15:00,0.001,0.07030842454899812
2024-01-03 00:30:00,0.001,0.0685521973529143
2024-01-03 00:45:00,0.001,0.0685521973529143
2024-01-03 01:00:00,0.001,0.0685521973529143
2024-01-03 01:15:00,0.001,0.19521886401958097
2024-01-03 01:30:00,0.001,0.17633333333333334
2024-01-03 01:45:00,0.001,0.037
2024-01-03 02:00:00,0.001,0.037
2024-01-03 02:15:00,0.001,0.037
2024-01-03 02:30:00,0.001,0.037
2024-01-03 02:45:00,0.001,0.20166666666666666
2024-01-03 03:00:00,0.001,0.13833333333333334
2024-01-03 03:15:00,0.001,0.037
2024-01-03 03:30:00,0.001,0.5700666666666667
2024-01-03 03:45:00,0.001,0.037
2024-01-03 04:00:00,0.001,0.049666666666666665
2024-01-03 04:15:00,0.001,0.7600666666666667
2024-01-03 04:30:00,0.001,0.10033333333333334
2024-01-03 04:45:00,0.001,0.037
2024-01-03 05:00:00,0.001,0.037
2024-01-03 05:15:00,0.001,0.037
2024-01-03 05:30:00,0.001,0.08766666666666666
2024-01-03 05:45:00,0.001,0.227
2024-01-03 06:00:00,0.001,0.06233333333333333
2024-01-03 06:15:00,0.001,0.3035333333333333
2024-01-03 06:30:00,0.001,0.4368
2024-01-03 06:45:00,0.001,0.08539999999999999
2024-01-03 07:00:00,0.001,0.24666666666666665
2024-01-03 07:15:00,0.001,0.3353333333333333
2024-01-03 07:30:00,0.001,0.158
2024-01-03 07:45:00,0.001,0.8243333333333334
2024-01-03 08:00:00,0.001,0.31966666666666665
2024-01-03 08:15:00,0.001,0.037
2024-01-03 08:30:00,0.001,0.16366666666666668
2024-01-03 08:45:00,0.001,0.17633333333333334
2024-01-03 09:00:00,0.001,0.4368
2024-01-03 09:15:00,0.001,0.5700666666666667
2024-01-03 09:30:00,0.10380772589538387,0.06644871752938668
2024-01-03 09:45:00,0.20671234924320997,0.0685521973529143
2024-01-03 10:00:00,1.1731496535286334,0.23321886401958097
2024-01-03 10:15:00,0.1215106793706645,0.16988553068624762
2024-01-03 10:30:00,0.15265282371868386,0.0685521973529143
2024-01-03 10:45:00,0.30594172154070426,0.04120695964705524
2024-01-03 11:00:00,0.5891640288904405,0.5700666666666667
2024-01-03 11:15:00,0.125838916766587,0.049666666666666665
2024-01-03 11:30:00,0.28592485526772343,0.227
2024-01-03 11:45:00,0.5012149137648979,0.6334
2024-01-03 12:00:00,0.001,0.037
2024-01-03 12:15:00,0.001,0.037
2024-01-03 12:30:00,0.001,0.037
2024-01-03 12:45:00,0.001,0.08766666666666666
2024-01-03 13:00:00,0.001,0.227
2024-01-03 13:15:00,0.001,0.06233333333333333
2024-01-03 13:30:00,0.001,0.037
2024-01-03 13:45:00,0.001,0.037
2024-01-03 14:00:00,0.001,0.04724724338965037
2024-01-03 14:15:00,0.001,0.13749040903934018
2024-01-03 14:30:00,0.001,0.23295707570600682
2024-01-03 14:45:00,0.001,0.08282374237267351
2024-01-03 15:00:00,0.001,0.06922374237267351
2024-01-03 15:15:00,0.001,0.0417294969490694
2024-01-03 15:30:00,0.001,0.0417294969490694
2024-01-03 15:45:00,0.001,0.17549040903934016
2024-01-03 16:00:00,0.001,0.18815707570600684
2024-01-03 16:15:00,0.001,0.0488237423726735
2024-01-03 16:30:00,0.001,0.0488237423726735
2024-01-03 16:45:00,0.001,0.044886938453605994
2024-01-03 17:00:00,0.001,0.0685521973529143
2024-01-03 17:15:00,0.001,0.7662855306862476
2024-01-03 17:30:00,0.001,0.16988553068624762
2024-01-03 17:45:00,0.001,0.13308553068624765
2024-01-03 18:00:00,0.001,0.16220695964705525
2024-01-03 18:15:00,0.001,0.18113827805880384
2024-01-03 18:30:00,0.001,0.20221886401958097
2024-01-03 18:45:00,0.001,0.3795521973529143
2024-01-03 19:00:00,0.001,0.2753248599516735
2024-01-03 19:15:00,0.001,0.32237593972558776
2024-01-03 19:30:00,0.001,0.32237593972558776
2024-01-03 19:45:00,0.001,0.28731128798050587
2024-01-03 20:00:00,0.001,0.3414904090393402
2024-01-03 20:15:00,0.001,0.48503070201972875
2024-01-03 20:30:00,0.001,0.7576620296692708
2024-01-03 20:45:00,0.001,0.3563759397255878
