,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,SoC_ref_EV,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-01-05 06:30:00,1.0,20.0,0.5887182679334525,20.385837394585813,15.035389972880113,0.0,0.799999999999999,0,0,1,0.0
2024-01-05 06:45:00,1.0,20.0,0.5887182679334525,20.32891482571552,15.021264724984869,0.0,0.799999999999999,0,0,1,0.0
2024-01-05 07:00:00,1.0,20.0,0.5887182679334525,20.272365196633675,15.006855201831618,0.0,0.799999999999999,0,0,1,0.0
2024-01-05 07:15:00,1.0,20.0,0.5887182679334525,20.216183389434626,14.992167649389442,0.0,0.799999999999999,0,0,1,0.0
2024-01-05 07:30:00,1.0,20.0,0.5887182679334525,20.160362613586855,14.977208188363814,0.0,0.799999999999999,0,0,1,0.0
2024-01-05 07:45:00,1.0,20.0,0.5887182679334525,20.10489775337475,14.961982822602984,0.0,0.799999999999999,0,0,1,0.0
2024-01-05 08:00:00,1.0,20.0,0.5887182679334525,20.05019015902681,14.9482473045534,1.0,0.799999999999999,0,0,1,0.0
2024-01-05 08:15:00,1.0,19.8,0.5887182679334525,19.99630668889536,14.936233705464552,1.0,0.799999999999999,0,0,1,0.0
2024-01-05 08:30:00,1.0,20.0,0.5887182679334525,19.94278530339991,14.92393523065689,1.0,0.799999999999999,0,0,1,0.0
2024-01-05 08:45:00,1.0,20.0,0.5887182679334525,19.889620778984646,14.911358042961693,1.0,0.799999999999999,0,0,1,0.0
2024-01-05 09:00:00,1.0,20.0,0.5887182679334525,19.836832541906265,14.89850824877478,1.0,0.799999999999999,0,0,1,0.0
2024-01-05 09:15:00,1.0,20.0,0.5887182679334525,19.784418772020185,14.885392062216479,1.0,0.0,0,1,0,0.0
2024-01-05 09:30:00,1.0,20.0,0.5887182679334525,19.732346294402593,14.872015390568572,1.0,0.0,0,0,0,0.0
2024-01-05 09:45:00,1.0,20.0,0.5887182679334525,19.68061024675798,14.858383949432197,1.0,0.0,0,0,0,0.0
2024-01-05 10:00:00,1.0,20.0,0.5887182679334525,19.629600319762115,14.84625318103804,2.0,0.7999999999999997,1,0,1,0.7722916666666667
