,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-04-19 22:15:00,0.001,0.001,0.0,0.2149724599020602,0.0,0.0
2024-04-19 22:30:00,0.001,0.001,0.0,0.30211502763531706,0.0,0.0
2024-04-19 22:45:00,0.001,0.001,0.0,0.4269794407425646,0.0,0.0
2024-04-19 23:00:00,0.001,0.001,0.0,0.39237593972558776,0.0,0.0
2024-04-19 23:15:00,0.001,0.001,0.0,0.2403759397255878,0.0,4.0
2024-04-19 23:30:00,0.001,0.001,0.0,0.18765158096089446,0.0,5.0
2024-04-19 23:45:00,0.001,0.001,0.0,0.19396202043147734,0.0,5.0
2024-04-20 00:00:00,0.001,0.001,0.0,0.5872934448104722,0.0,5.0
2024-04-20 00:15:00,0.001,0.001,0.0,0.2967092730589211,0.0,5.0
2024-04-20 00:30:00,0.001,0.001,0.0,0.18270927305892112,0.0,5.0
2024-04-20 00:45:00,0.001,0.001,0.0,0.06244462131383922,0.0,5.0
2024-04-20 01:00:00,0.001,0.001,0.0,0.0498237423726735,0.0,0.3333333333333333
2024-04-20 01:15:00,0.001,0.001,0.0,0.0498237423726735,0.0,3.3333333333333335
2024-04-20 01:30:00,0.001,0.001,0.0,0.2921215828248449,0.0,0.0
2024-04-20 01:45:00,0.001,0.001,0.0,0.21533333333333332,0.0,1.3333333333333333
2024-04-20 02:00:00,0.001,0.001,0.0,0.038,0.0,1.0
2024-04-20 02:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 02:30:00,0.001,0.001,0.0,0.43779999999999997,0.0,0.0
2024-04-20 02:45:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-04-20 03:00:00,0.001,0.001,0.0,0.39266666666666666,0.0,0.0
2024-04-20 03:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,3.6666666666666665
2024-04-20 03:30:00,0.001,0.001,0.0,0.038,0.0,1.6666666666666667
2024-04-20 03:45:00,0.001,0.001,0.0,0.4378,0.0,0.0
2024-04-20 04:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 04:15:00,0.001,0.001,0.0,0.24066666666666667,0.0,0.0
2024-04-20 04:30:00,0.001,0.001,0.0,0.26599999999999996,0.0,0.0
2024-04-20 04:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 05:00:00,0.001,0.001,0.0,0.038,4.4,0.0
2024-04-20 05:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 05:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-20 05:45:00,0.001,0.001,0.0,0.2786666666666667,0.0,0.0
2024-04-20 06:00:00,0.001,0.001,0.0,0.29306666666666664,0.0,0.0
2024-04-20 06:15:00,0.001,0.001,0.0,1.286,0.0,3.6666666666666665
2024-04-20 06:30:00,0.001,0.001,0.0,1.2028,0.0,0.0
2024-04-20 06:45:00,0.001,0.001,0.0,0.47579999999999995,0.0,0.0
2024-04-20 07:00:00,0.001,0.001,0.0,0.6278,0.0,1.3333333333333333
2024-04-20 07:15:00,0.001,0.001,0.0,0.19,5.866666666666666,3.0
2024-04-20 07:30:00,0.001,0.001,0.0,0.48846666666666666,0.0,0.0
2024-04-20 07:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 08:00:00,0.001,0.001,0.0,0.042333333333333334,0.0,0.0
2024-04-20 08:15:00,0.001,0.001,0.0,0.21566666666666665,0.0,0.0
2024-04-20 08:30:00,0.001,0.001,0.0,0.15233333333333332,0.0,0.0
2024-04-20 08:45:00,0.001,0.001,0.0,0.20299999999999999,0.0,0.0
2024-04-20 09:00:00,0.001,0.001,0.0,0.06366666666666666,0.0,0.0
2024-04-20 09:15:00,0.001,0.001,0.0,0.1642,0.0,0.0
2024-04-20 09:30:00,0.001,0.001,0.0,0.2603333333333333,0.0,0.0
2024-04-20 09:45:00,0.001,0.001,0.0,0.8567333333333332,0.0,0.0
2024-04-20 10:00:00,0.001,0.001,0.0,0.159,0.0,3.3333333333333335
2024-04-20 10:15:00,0.001,0.001,0.0,0.32366666666666666,0.0,0.6666666666666666
2024-04-20 10:30:00,0.001,0.001,0.0,0.07026666666666667,0.0,2.0
2024-04-20 10:45:00,0.001,0.001,0.0,0.07600000000000001,0.0,3.3333333333333335
2024-04-20 11:00:00,0.001,0.001,0.0,0.7272,0.0,5.0
2024-04-20 11:15:00,0.001,0.001,0.0,1.4344,4.4,5.0
2024-04-20 11:30:00,0.001,0.001,0.0,0.7416,0.7333333333333333,1.0
2024-04-20 11:45:00,0.001,0.001,0.0,0.16466666666666668,0.0,0.0
2024-04-20 12:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 12:15:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-20 12:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-20 12:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 13:00:00,0.001,0.001,0.0,0.114,0.0,0.0
2024-04-20 13:15:00,0.001,0.001,0.0,0.12666666666666668,0.0,0.0
2024-04-20 13:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-20 13:45:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-20 14:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 14:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 14:30:00,0.001,0.001,0.0,0.15200000000000002,0.0,0.0
2024-04-20 14:45:00,0.001,0.001,0.0,0.12666666666666668,0.0,0.0
2024-04-20 15:00:00,0.001,0.001,0.0,0.228,0.0,0.0
2024-04-20 15:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-04-20 15:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 15:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 16:00:00,0.001,0.001,0.0,0.19,0.0,0.0
2024-04-20 16:15:00,0.001,0.001,0.0,0.21533333333333332,0.0,0.0
2024-04-20 16:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-20 16:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 17:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 17:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-20 17:30:00,0.001,0.001,0.0,0.304,0.0,0.0
2024-04-20 17:45:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-20 18:00:00,0.001,0.001,0.0,0.05482783858822096,0.0,1.0
2024-04-20 18:15:00,0.001,0.001,0.0,0.0695521973529143,0.0,1.0
2024-04-20 18:30:00,0.001,0.001,0.0,0.4693521973529143,0.0,0.0
2024-04-20 18:45:00,0.001,0.001,0.0,0.15106994379349528,0.0,3.6666666666666665
2024-04-20 19:00:00,0.001,0.001,1.5003333333333333,0.39804260639225447,0.0,2.0
2024-04-20 19:15:00,0.001,0.001,1.5003333333333333,0.11937593972558778,0.0,2.0
2024-04-20 19:30:00,0.001,0.001,1.6502666666666665,0.09926550025500494,0.0,1.6666666666666667
2024-04-20 19:45:00,0.001,0.001,0.0006666666666666666,0.19717186198562725,0.0,0.0
2024-04-20 20:00:00,0.001,0.001,0.0,0.2082816943019837,0.0,0.0
2024-04-20 20:15:00,0.001,0.001,0.0,0.45604260639225447,0.0,3.0
2024-04-20 20:30:00,0.001,0.001,0.0,0.4011689800785325,0.0,0.0
2024-04-20 20:45:00,0.001,0.001,0.0,0.15440084850992303,0.0,0.0
2024-04-20 21:00:00,0.001,0.001,0.0,0.5779759397255879,0.0,0.0
2024-04-20 21:15:00,0.001,0.001,0.0,0.20237593972558782,0.0,0.6666666666666666
2024-04-20 21:30:00,0.001,0.001,0.0,0.3037092730589211,0.0,3.6666666666666665
2024-04-20 21:45:00,0.001,0.001,0.0,1.0141092730589212,0.0,0.0
2024-04-20 22:00:00,0.001,0.001,0.0,0.2449759397255878,0.0,0.0
2024-04-20 22:15:00,0.001,0.001,0.0,0.10663766166678397,0.0,0.0
2024-04-20 22:30:00,0.001,0.001,0.0,0.1918585406079497,0.0,0.0
2024-04-20 22:45:00,0.001,0.001,0.0,0.2403759397255878,0.0,0.0
2024-04-20 23:00:00,0.001,0.001,0.0,0.3837051953189606,0.0,0.0
2024-04-20 23:15:00,0.001,0.001,0.0,0.3805521973529143,0.0,0.0
2024-04-20 23:30:00,0.001,0.001,0.0,0.1951521973529143,0.0,0.0
2024-04-20 23:45:00,0.001,0.001,0.0,0.04010347982352762,0.0,0.0
2024-04-21 00:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 00:15:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-21 00:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-21 00:45:00,0.001,0.001,0.0,0.6024666666666666,0.0,0.0
2024-04-21 01:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 01:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 01:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-21 01:45:00,0.001,0.001,0.0,0.20266666666666666,0.0,3.0
2024-04-21 02:00:00,0.001,0.001,0.0,0.3425333333333333,0.0,2.0
2024-04-21 02:15:00,0.001,0.001,0.0,0.29793333333333333,0.0,0.0
2024-04-21 02:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 02:45:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-04-21 03:00:00,0.001,0.001,0.0,0.228,0.0,0.0
2024-04-21 03:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-04-21 03:30:00,0.001,0.001,0.0,0.114,0.0,1.0
2024-04-21 03:45:00,0.001,0.001,0.0,0.12666666666666668,0.0,1.0
2024-04-21 04:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 04:15:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-04-21 04:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-21 04:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-04-21 05:00:00,0.001,0.001,0.0,0.15200000000000002,0.0,0.0
2024-04-21 05:15:00,0.001,0.001,0.0,0.08866666666666667,0.0,0.0
2024-04-21 05:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-04-21 05:45:00,0.001,0.001,0.0,0.7357333333333334,0.0,0.0
2024-04-21 06:00:00,0.001,0.001,0.0,0.038,0.0,0.3333333333333333
2024-04-21 06:15:00,0.001,0.001,0.0,0.038,0.0,5.0
2024-04-21 06:30:00,0.001,0.001,0.0,0.19,0.0,5.0
2024-04-21 06:45:00,0.001,0.001,0.0,0.08866666666666667,0.0,4.666666666666667
2024-04-21 07:00:00,0.001,0.001,0.0,0.228,0.0,3.6666666666666665
2024-04-21 07:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,5.0
2024-04-21 07:30:00,0.001,0.001,0.0,0.5710666666666666,0.0,5.0
2024-04-21 07:45:00,0.001,0.001,0.0,0.038,0.0,0.3333333333333333
