,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-03-16 11:00:00,0.001,0.001,0.46043661046016193,0.0,5.0
2024-03-16 11:15:00,0.001,0.001,0.330528687098144,0.0,5.0
2024-03-16 11:30:00,0.001,0.001,0.3155237423726735,0.0,0.3333333333333333
2024-03-16 11:45:00,0.001,0.001,0.3155237423726735,0.0,3.0
2024-03-16 12:00:00,0.001,0.001,0.3408570757060068,0.0,0.0
2024-03-16 12:15:00,0.001,0.001,0.5435237423726735,0.0,0.0
2024-03-16 12:30:00,0.001,0.001,0.46581774644058094,0.0,0.0
2024-03-16 12:45:00,0.001,0.001,0.20935073245097144,1.8666666666666667,0.0
2024-03-16 13:00:00,0.001,0.001,0.45625219735291433,1.6,0.0
2024-03-16 13:15:00,0.001,0.001,0.45625219735291433,0.0,2.3333333333333335
2024-03-16 13:30:00,0.001,0.001,0.6082521973529144,0.0,0.0
2024-03-16 13:45:00,0.001,0.001,0.7222521973529142,0.0,0.0
2024-03-16 14:00:00,0.001,0.001,0.43205219735291434,0.0,0.6666666666666666
2024-03-16 14:15:00,0.001,0.001,0.3052764989830231,0.0,2.6666666666666665
2024-03-16 14:30:00,0.001,0.001,0.2913237423726735,0.0,0.0
2024-03-16 14:45:00,0.001,0.001,0.2831904090393402,0.0,0.0
2024-03-16 15:00:00,0.001,0.11920751533575101,0.4731904090393401,0.5333333333333333,0.0
2024-03-16 15:15:00,0.001,0.3770993350918567,0.25150084850992305,2.0,0.0
2024-03-16 15:30:00,0.001,0.7261964883268495,0.22292294175954153,0.9333333333333333,0.0
2024-03-16 15:45:00,0.001,0.13009393002600678,0.313232774075898,0.0,0.0
2024-03-16 16:00:00,0.001,0.20773299504554338,0.3724092730589212,0.0,0.0
2024-03-16 16:15:00,0.001,1.216813004506753,0.5407026063922544,0.0,0.3333333333333333
2024-03-16 16:30:00,0.001,0.5173311925843554,0.3380426063922545,0.0,2.6666666666666665
2024-03-16 16:45:00,0.001,0.11589228021551379,0.16596585681574128,0.0,0.0
2024-03-16 17:00:00,0.001,0.2885587116668161,0.047,0.0,0.0
2024-03-16 17:15:00,0.001,0.9191785643369471,0.11153333333333333,0.0,0.0
2024-03-16 17:30:00,0.001,0.001,0.3453333333333333,1.0666666666666667,0.0
2024-03-16 17:45:00,0.001,0.001,0.4086666666666667,2.0,0.0
2024-03-16 18:00:00,0.001,0.001,0.168,0.4,0.0
2024-03-16 18:15:00,0.001,0.001,0.168,0.0,0.0
2024-03-16 18:30:00,0.001,0.001,0.08733333333333333,0.0,0.0
2024-03-16 18:45:00,0.001,0.001,0.6729402929803886,0.0,2.6666666666666665
2024-03-16 19:00:00,0.001,0.001,0.39521886401958095,0.0,2.0
2024-03-16 19:15:00,0.001,0.001,0.14768553068624762,0.0,0.0
2024-03-16 19:30:00,0.001,0.001,0.6655921973529143,0.0,0.0
2024-03-16 19:45:00,0.001,0.001,0.32025344481047213,0.8,0.0
2024-03-16 20:00:00,0.001,0.001,0.3577092730589211,2.0,0.0
