,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 21:00:00,1.7245844062633329,0.30086666666666667,0.001,0.4710759397255878,0.0
2024-01-01 21:15:00,0.3208182154332572,0.001,0.001,1.0041426063922545,0.0
2024-01-01 21:30:00,0.001,0.001,0.001,0.4710759397255878,0.0
2024-01-01 21:45:00,0.001,0.001,0.23432020964825145,0.648409273058921,0.0
2024-01-01 22:00:00,0.001,0.001,0.7039212343379038,0.6954759397255877,0.0
2024-01-01 22:15:00,0.001,0.001,0.34459935945807013,0.4710759397255878,0.0
2024-01-01 22:30:00,0.001,0.001,0.17055433073639628,0.4710759397255878,0.0
2024-01-01 22:45:00,0.001,1.8002,0.6931757513099117,0.4710759397255878,0.0
2024-01-01 23:00:00,0.001,0.6007333333333332,1.1064459872400179,0.5217426063922544,0.0
2024-01-01 23:15:00,0.001,0.001,0.08670669606343534,0.6610759397255878,0.0
2024-01-01 23:30:00,0.001,0.0005333333333333334,0.16148062471651628,0.5217426063922544,0.0
2024-01-01 23:45:00,0.001,0.0,0.4466169173542534,0.4710759397255878,0.0
