,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 09:30:00,0.001,0.0,0.001,0.6536188640195809,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.06362087894116572,0.0
2024-01-01 10:00:00,0.001,0.0,0.001,0.051,2.3333333333333335
2024-01-01 10:15:00,0.001,0.0,0.001,0.4508,0.6666666666666666
2024-01-01 10:30:00,0.001,0.0,0.001,0.06124724338965037,0.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.20162374237267353,0.0
2024-01-01 11:00:00,0.001,0.0,0.001,0.24469736868639544,0.0
2024-01-01 11:15:00,0.001,0.0,0.001,0.10737593972558782,0.0
2024-01-01 11:30:00,0.001,0.0,0.001,0.10737593972558782,0.0
2024-01-01 11:45:00,0.001,0.0,0.001,0.10737593972558782,1.6666666666666667
2024-01-01 12:00:00,0.001,0.0,0.001,0.09870519531896058,1.3333333333333333
2024-01-01 12:15:00,0.001,0.0,0.001,0.0955521973529143,0.0
2024-01-01 12:30:00,0.001,0.0,0.001,1.9507333333333332,0.0
2024-01-01 12:45:00,0.001,0.0,0.001,2.1893333333333334,0.0
2024-01-01 13:00:00,0.001,0.0,0.001,0.172,0.0
2024-01-01 13:15:00,0.001,0.0,0.001,0.172,0.0
2024-01-01 13:30:00,0.001,0.0,0.001,0.1948681223308161,0.0
2024-01-01 13:45:00,0.001,0.0,0.001,0.37530927305892114,0.0
2024-01-01 14:00:00,0.001,0.0,0.001,2.5728426063922547,3.0
2024-01-01 14:15:00,0.001,0.0,0.001,0.4443092730589211,0.0
2024-01-01 14:30:00,0.001,0.0,0.001,0.13592102356740957,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.7792560244993848,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.3188237423726735,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.4282446213138392,0.0
2024-01-01 15:30:00,0.001,0.0,0.001,0.4713759397255878,0.0
2024-01-01 15:45:00,0.001,0.0,0.001,0.5032426063922544,0.0
2024-01-01 16:00:00,0.001,0.0,0.001,0.5063718619856272,3.0
2024-01-01 16:15:00,0.001,0.0,0.001,0.33855219735291425,0.0
2024-01-01 16:30:00,0.001,0.0,0.001,0.2750805859607771,0.0
2024-01-01 16:45:00,0.001,0.0,0.001,0.30006666666666665,0.0
2024-01-01 17:00:00,0.001,0.0,0.001,0.294,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,0.8270666666666667,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.48478824949151156,0.0
2024-01-01 17:45:00,0.001,0.0,0.001,0.7256237423726736,0.0
2024-01-01 18:00:00,0.001,0.00013333333333333334,0.001,0.34555707570600686,3.0
2024-01-01 18:15:00,0.001,0.1509333333333333,0.001,0.4571570757060068,0.0
2024-01-01 18:30:00,0.001,1.0505333333333333,0.001,2.9168237423726735,0.0
2024-01-01 18:45:00,0.001,0.001,0.001,0.8692426063922544,0.0
2024-01-01 19:00:00,0.001,0.001,0.001,1.1457759397255878,0.0
2024-01-01 19:15:00,0.001,0.001,0.001,1.1310426063922543,0.0
2024-01-01 19:30:00,0.001,1.6502666666666668,0.001,0.6431759397255877,0.0
2024-01-01 19:45:00,0.001,1.3504,0.001,0.4583759397255877,0.0
2024-01-01 20:00:00,0.001,1.6502666666666668,0.001,0.4583759397255877,2.0
2024-01-01 20:15:00,0.001,0.0009333333333333333,0.001,2.4954426063922543,1.0
2024-01-01 20:30:00,0.001,0.0,0.001,1.6479759397255878,0.0
2024-01-01 20:45:00,0.001,0.0,0.001,0.5980426063922545,0.0
2024-01-01 21:00:00,0.001,0.0,0.001,0.6360426063922543,0.0
2024-01-01 21:15:00,0.001,0.0,0.11168793632775932,0.4713759397255878,0.0
2024-01-01 21:30:00,0.001,0.0,0.19883213881083456,0.4713759397255878,0.0
2024-01-01 21:45:00,0.001,0.0,1.1919111899081825,0.4713759397255878,0.0
2024-01-01 22:00:00,0.001,0.0,0.10943051901756166,0.4713759397255878,1.0
2024-01-01 22:15:00,0.001,0.0,0.17218476076597364,0.43104260639225445,2.0
2024-01-01 22:30:00,0.001,0.0,0.35116374390942556,0.5182481103751603,0.0
2024-01-01 22:45:00,0.001,0.0,0.5287194589028279,0.4024855306862476,0.0
2024-01-01 23:00:00,0.001,0.0,0.12049328674879728,0.34168553068624763,0.0
2024-01-01 23:15:00,0.001,0.0,0.22347275117688112,0.4198032771268286,0.0
2024-01-01 23:30:00,0.001,0.0,0.001,0.33737593972558777,0.0
2024-01-01 23:45:00,0.001,0.0,0.001,0.33737593972558777,0.0
