,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-01 13:45:00,0.001,0.001,0.0,0.13099999999999998,0.8
2024-01-01 14:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 14:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.065,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.14566666666666667,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.05033333333333333,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.153,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.05033333333333333,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.14566666666666667,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.065,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.043,1.6
2024-01-01 18:15:00,0.001,0.001,0.0,0.043,1.4666666666666666
2024-01-01 18:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 18:45:00,0.001,0.001,0.0,0.13099999999999998,0.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.07966666666666665,0.0
2024-01-01 19:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 19:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.11633333333333333,0.0
2024-01-01 20:15:00,0.001,0.001,0.0,0.09433333333333334,0.0
2024-01-01 20:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 20:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 21:15:00,0.001,0.001,0.0,0.10166666666666666,0.0
2024-01-01 21:30:00,0.001,0.001,0.0,0.109,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 22:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 22:30:00,0.001,0.001,0.0,0.087,0.0
2024-01-01 22:45:00,0.001,0.001,0.0,0.12366666666666666,0.0
2024-01-01 23:00:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 23:30:00,0.001,0.001,0.0,0.043,0.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.07233333333333333,0.0
