,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 08:00:00,0.001,0.001,0.08266666666666667,0.0,1.3333333333333333
2024-01-01 08:15:00,0.001,0.001,0.046,0.0,2.0
2024-01-01 08:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.18533333333333332,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.21,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.6304,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.046,0.0,0.6666666666666666
2024-01-01 10:00:00,0.001,0.001,0.046,0.0,4.0
2024-01-01 10:15:00,0.001,0.001,0.058666666666666666,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.23600000000000002,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.132,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.112,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.12199999999999998,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.18533333333333332,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.10466666666666667,0.0,1.0
2024-01-01 12:30:00,0.001,0.001,0.12666666666666665,0.0,2.3333333333333335
2024-01-01 12:45:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.046,6.533333333333333,0.0
2024-01-01 13:15:00,0.001,0.001,0.18533333333333332,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.12199999999999998,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.09000000000000001,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.14133333333333334,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.058666666666666666,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.6357999999999999,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.09933333333333333,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.19733333333333333,0.0,3.3333333333333335
2024-01-01 15:30:00,0.001,0.001,0.27799999999999997,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.168,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.24400000000000002,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.19346666666666665,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.046,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,1.3338666666666668,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,2.399,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.7475333333333334,0.4666666666666667,0.0
2024-01-01 17:30:00,0.001,0.001,0.39465333333333336,0.0,3.0
2024-01-01 17:45:00,0.001,0.001,0.24733333333333332,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.5394666666666665,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.10228091209027076,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.40525707570600683,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.3677904090393402,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.6255237423726735,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.5562256605648055,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.5131666666666667,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.5085196646327129,0.0,3.0
2024-01-01 20:00:00,0.001,0.001,0.4915237423726735,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.4355237423726735,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.3979237423726735,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.1935237423726735,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.1935237423726735,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.1840647484745347,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.2623666666666667,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.3797,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.2577,0.0,0.0
2024-01-01 22:15:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.1817,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.19704,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.3093333333333333,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.058666666666666666,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.046,0.0,0.0
