,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 13:15:00,0.7920347860576631,0.001,0.0,0.20731554370726968,0.21288553068624766,0.0,0.5
2024-01-01 13:30:00,0.7920347860576631,0.001,0.0,0.8902552693618025,0.154218864019581,0.0,0.0
2024-01-01 13:45:00,0.7920347860576631,0.001,0.0006000000000000001,0.42325419234686357,0.19455219735291432,0.0,0.0
2024-01-01 14:00:00,0.7920347860576631,0.001,1.2004666666666668,0.1434758900354722,0.19455219735291432,0.0,1.4
2024-01-01 14:15:00,0.7920347860576631,0.001,0.001,0.24618820814434933,0.1992816943019837,0.0,1.5
2024-01-01 14:30:00,0.7920347860576631,0.001,0.001,0.67508669111518,0.3583759397255878,0.0,1.5
2024-01-01 14:45:00,0.7920347860576631,0.001,0.001,0.10709226375653774,0.21520780815697826,0.0,1.5
2024-01-01 15:00:00,0.7920347860576631,0.001,0.001,0.21072525923273164,0.0538237423726735,0.0,1.0
2024-01-01 15:15:00,0.7920347860576631,0.001,0.001,0.9959464484620395,0.0538237423726735,0.0,0.0
2024-01-01 15:30:00,0.7920347860576631,0.001,0.001,1.1512204811753755,0.05067074440662723,0.0,0.0
2024-01-01 15:45:00,0.7920347860576631,0.001,0.001,0.15392557377093488,0.052774224230154855,0.0,1.1
2024-01-01 16:00:00,0.7920347860576631,0.001,2.1000666666666667,0.17367506367595334,0.25004260639225445,0.0,1.5
2024-01-01 16:15:00,0.7392991336538189,0.001,0.30086666666666667,0.3801110704258784,0.1993759397255878,0.0,1.4
2024-01-01 16:30:00,0.001,0.001,0.001,0.5023107880546561,0.0853759397255878,0.0,1.5
2024-01-01 16:45:00,0.001,0.001,0.0004,0.001,0.20637593972558782,0.0,1.5
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.7291953630026042,0.0,1.5
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.179827838588221,0.0,1.5
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.7401333333333333,0.0,1.5
2024-01-01 17:45:00,0.001,0.001,0.0,0.001,0.7833701464901942,0.0,1.1
2024-01-01 18:00:00,0.001,0.001,0.0,0.001,0.07355219735291431,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.001,0.172532774075898,1.7333333333333334,1.3
2024-01-01 18:30:00,0.001,0.001,0.0,0.001,0.20637593972558782,1.2,1.5
2024-01-01 18:45:00,0.001,0.001,0.0,0.001,0.20637593972558782,0.0,0.5
2024-01-01 19:00:00,0.001,0.001,0.0,0.001,0.7961759397255878,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.0,0.001,0.8281092730589212,0.0,1.3
2024-01-01 19:30:00,0.001,0.001,0.0,0.001,0.19770519531896058,0.0,1.5
2024-01-01 19:45:00,0.001,0.001,0.0,0.001,0.19455219735291432,0.0,1.5
2024-01-01 20:00:00,0.001,0.001,0.0,0.001,0.10581886401958097,0.0,0.6
2024-01-01 20:15:00,0.001,0.001,0.0,0.001,0.19670146490194287,0.0,1.1
2024-01-01 20:30:00,0.001,0.001,0.0,0.001,0.3719313184117486,0.0,1.5
2024-01-01 20:45:00,0.001,0.001,0.0,0.001,0.2705521973529143,0.0,1.5
2024-01-01 21:00:00,0.001,0.001,0.0,0.001,0.20558769023407625,0.0,0.5
2024-01-01 21:15:00,0.001,0.001,0.0,0.001,0.1095759397255878,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.0,0.001,0.19585854060794972,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.001,0.23170927305892114,0.0,0.2
2024-01-01 22:00:00,0.001,0.001,0.0,0.001,0.39401119125105305,0.0,1.4
2024-01-01 22:15:00,0.001,0.001,0.0,0.001,0.25788553068624764,0.0,1.0
2024-01-01 22:30:00,0.001,0.001,0.0,0.001,0.19455219735291432,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.0,0.001,0.10722783858822098,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.0,0.001,0.042,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.08000000000000002,0.0,1.1
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.7650666666666666,0.0,1.2
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.09345491615817823,0.0,1.5
