,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-01 20:30:00,0.001,0.001,0.0,0.7681333333333333,0.0
2024-01-01 20:45:00,0.001,0.001,0.0,0.3854716113921371,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.24288553068624763,0.0
2024-01-01 21:15:00,0.001,0.001,0.0,0.25421886401958094,0.0
2024-01-01 21:30:00,0.001,0.001,0.0,0.35755219735291427,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.2382646517450819,2.933333333333333
2024-01-01 22:00:00,0.001,0.001,0.0,0.361,0.0
2024-01-01 22:15:00,0.001,0.001,0.0,0.3749084245489981,0.0
2024-01-01 22:30:00,0.001,0.001,0.0,0.12921886401958096,0.0
2024-01-01 22:45:00,0.001,0.001,0.0,0.10221886401958097,0.0
2024-01-01 23:00:00,0.001,0.001,0.0,0.2365521973529143,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.1735521973529143,0.0
2024-01-01 23:30:00,0.001,0.001,0.0,0.2715521973529143,0.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.20133333333333334,0.0
