,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 19:15:00,0.001,0.001,0.0,0.001,0.19937593972558781,0.0,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.0,0.001,0.09034114149031161,0.0,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.001,0.07778824949151157,0.0,0.0,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.001,0.201,0.0,0.0,0.0
2024-01-01 20:15:00,0.001,0.001,0.0,0.001,0.6154255638353526,0.0,0.0,1.6
2024-01-01 20:30:00,0.001,0.001,0.0,0.001,0.1135759397255878,0.0,0.0,1.8
2024-01-01 20:45:00,0.001,0.001,0.0,0.001,0.28370927305892113,0.0,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.001,0.39024260639225444,0.0,0.0,1.8
2024-01-01 21:15:00,0.001,0.001,0.0,0.001,0.3643092730589211,0.0,0.0,1.4
2024-01-01 21:30:00,0.001,0.001,0.0,0.001,0.49328169430198365,0.0,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.0,0.001,0.7571718619856272,0.0,1.6666666666666667,0.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.001,0.7425759397255879,0.0,0.6666666666666666,0.0
2024-01-01 22:15:00,0.001,0.001,0.0,0.001,0.36170927305892114,0.0,0.0,2.2
2024-01-01 22:30:00,0.001,0.001,0.0,0.001,0.5306959397255878,0.0,0.0,3.0
2024-01-01 22:45:00,0.001,0.001,0.0,0.001,0.3427092730589211,0.0,0.0,0.4
2024-01-01 23:00:00,0.001,0.001,0.0,0.001,1.0299759397255879,0.0,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.35744462131383925,0.0,0.0,2.2
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.3800637423726735,0.0,0.0,3.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.6078904090393402,0.0,0.0,0.4
