,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 05:30:00,2.0,17.333333333333332,0.44668449363727575,16.94212197399615,13.624011810490856,10.0,61.07308552317239,60.0,0.0,0.0
2024-01-01 05:45:00,1.0,17.8,0.44668449363727575,17.30228699039673,13.642290478976468,10.0,60.784886000955474,60.0,0.5134826666666666,0.0
2024-01-01 06:00:00,1.0,18.5,0.44668449363727575,17.979357194248855,13.665214480553848,10.0,60.01208600095548,60.0,0.0,0.0
2024-01-01 06:15:00,1.0,17.566666666666666,0.44668449363727575,18.453139152349923,13.694056236440238,10.0,60.01208600095548,60.0,0.0,0.0
2024-01-01 06:30:00,1.0,18.5,0.44668449363727575,18.422823514261925,13.724364804815524,10.0,58.25969842331572,60.0,1.5404480000000003,0.0
2024-01-01 06:45:00,1.0,18.5,0.44668449363727575,18.373570153164835,13.753789144195592,10.0,60.37839885332046,60.0,0.2567413333333333,0.0
2024-01-01 07:00:00,1.0,18.5,0.44668449363727575,18.32510328529829,13.782328092372872,10.0,61.093140946010365,60.0,0.0,0.0
2024-01-01 07:15:00,2.0,15.933333333333334,0.44668449363727575,18.277408820088237,13.810001640659301,10.0,60.614740946010365,60.0,0.2567413333333333,0.0
2024-01-01 07:30:00,1.0,15.466666666666667,0.44668449363727575,18.23045330008113,13.836829196254605,10.0,60.28354094601036,60.0,0.5134826666666666,0.0
2024-01-01 07:45:00,1.0,18.5,0.44668449363727575,18.184221340194725,13.862829679449563,10.0,59.437140946010366,60.0,0.0,0.0
2024-01-01 08:00:00,3.0,18.5,0.44668449363727575,18.14016431041255,13.888025726564535,10.0,58.32734333492579,60.0,1.5404480000000003,0.0
2024-01-01 08:15:00,1.0,18.5,0.44668449363727575,18.09845670210328,13.91245554459502,10.0,58.515372001910954,60.0,0.2567413333333333,0.0
2024-01-01 08:30:00,3.0,18.5,0.44668449363727575,18.05739745263636,13.936142358950024,10.0,60.72740066889612,60.0,0.2567413333333333,0.0
2024-01-01 08:45:00,3.0,18.5,0.44668449363727575,18.016973056173114,13.959102780539206,10.0,59.69120305781154,60.0,0.5134826666666666,0.0
2024-01-01 09:00:00,3.0,18.5,0.44668449363727575,18.371947911614978,13.982549258689271,10.0,57.754815480171786,60.0,1.5404480000000003,0.0
2024-01-01 09:15:00,1.0,18.5,0.44668449363727575,18.950347692425588,14.011082657207062,10.0,60.01685083612014,60.0,0.5134826666666666,0.0
2024-01-01 09:30:00,1.0,18.5,0.44668449363727575,18.97424772177493,14.042186897900292,10.0,60.52246994744358,60.0,0.5134826666666666,0.0
2024-01-01 09:45:00,1.0,18.5,0.44668449363727575,18.929810026081064,14.072540032157654,10.0,60.00726994744358,60.0,0.0,0.0
2024-01-01 10:00:00,1.0,18.5,0.44668449363727575,18.89198235682173,14.104058155033089,11.0,59.0466048733872,60.0,1.5404480000000003,0.0
2024-01-01 10:15:00,1.0,18.5,0.44668449363727575,18.86153398178532,14.137087984710496,11.0,59.27529861442874,60.0,0.0,0.0
2024-01-01 10:30:00,1.0,18.5,0.44668449363727575,18.831702292166636,14.169363688733885,11.0,61.19598662207325,60.0,0.0,0.0
2024-01-01 10:45:00,1.0,18.5,0.44668449363727575,18.802473994542158,14.200901727194934,11.0,60.15745360726198,60.0,3.594378666666667,0.0
2024-01-01 11:00:00,1.0,18.5,0.44668449363727575,18.778929272827718,14.233732865410051,12.0,55.41734161490648,60.0,0.0,0.0
2024-01-01 11:15:00,1.0,18.5,0.44668449363727575,18.761738716108745,14.268189878419959,12.0,57.170377448637936,60.0,1.2837066666666668,0.0
2024-01-01 11:30:00,1.0,18.5,0.44668449363727575,18.745045475969025,14.30200087160692,12.0,58.40821328236938,60.0,0.5134826666666666,0.0
2024-01-01 11:45:00,1.0,18.5,0.44668449363727575,18.728838474881382,14.335179646529433,12.0,60.712443382703796,60.0,0.0,0.0
2024-01-01 12:00:00,1.0,18.5,0.44668449363727575,18.711343520230184,14.367734741454749,12.0,60.535046727185396,60.0,0.2567413333333333,0.0
2024-01-01 12:15:00,1.0,18.5,0.44668449363727575,18.69232247869754,14.399655193545977,12.0,60.0934467271854,60.0,0.2567413333333333,0.0
2024-01-01 12:30:00,1.0,18.5,0.44668449363727575,18.673793162986325,14.430947294497958,12.0,60.01952565695127,60.0,0.5134826666666666,0.0
2024-01-01 12:45:00,1.0,18.5,0.44668449363727575,18.655744718277404,14.461624545731977,12.0,60.32407300525513,60.0,0.770224,0.0
2024-01-01 13:00:00,1.0,18.5,0.44668449363727575,18.638294826021472,14.491700516953241,12.0,59.363810797897266,60.0,0.5134826666666666,0.0
2024-01-01 13:15:00,3.0,18.5,0.44668449363727575,18.621449653621138,14.521189888913748,12.0,60.990501672240285,60.0,0.0,0.0
2024-01-01 13:30:00,3.0,18.5,0.44668449363727575,18.605051470763254,14.550105785791683,12.0,61.205504061155715,60.0,0.0,0.0
2024-01-01 13:45:00,1.0,18.5,0.44668449363727575,18.589090388573513,14.578460512581445,12.0,61.205504061155715,60.0,0.0,0.0
2024-01-01 14:00:00,3.0,18.5,0.44668449363727575,18.567570812859152,14.606249256278545,12.0,56.548251887242664,60.0,3.0808960000000005,0.0
2024-01-01 14:15:00,2.0,17.333333333333332,0.44668449363727575,18.53971089304029,14.633401737687144,12.0,58.87575422837974,60.0,3.0808960000000005,0.0
2024-01-01 14:30:00,1.0,16.866666666666667,0.44668449363727575,18.51238627520113,14.659906966845506,12.0,55.292790062111195,60.0,0.2567413333333333,0.0
2024-01-01 14:45:00,1.0,18.5,0.44668449363727575,18.485585489602087,14.68577912919005,12.0,58.07622589584264,60.0,0.5134826666666666,0.0
2024-01-01 15:00:00,1.0,18.5,0.44668449363727575,18.45332489549088,14.711015288704171,12.0,60.34832680363047,60.0,0.0,0.0
2024-01-01 15:15:00,1.0,18.5,0.44668449363727575,18.414822869907386,14.735547149685832,12.0,60.731868896320385,60.0,0.5134826666666666,0.0
2024-01-01 15:30:00,1.0,18.5,0.44668449363727575,18.37693804833907,14.759365531692977,12.0,60.03266889632038,60.0,0.0,0.0
2024-01-01 15:45:00,1.0,18.5,0.44668449363727575,18.339657515642134,14.782486333523936,12.0,58.87061098901029,60.0,2.053930666666667,0.0
2024-01-01 16:00:00,1.0,18.5,0.44668449363727575,18.302428023651988,14.802923260963052,11.0,59.48671189679812,60.0,0.0,0.0
2024-01-01 16:15:00,1.0,18.5,0.44668449363727575,18.265141335366355,14.820436913071022,11.0,55.6662788342085,60.0,4.6213440000000015,0.0
2024-01-01 16:30:00,1.0,18.5,0.44668449363727575,18.228393461974196,14.83734659841799,11.0,54.79218117534559,60.0,0.5134826666666666,0.0
2024-01-01 16:45:00,1.0,18.5,0.44668449363727575,18.192173306910323,14.853665933289319,11.0,54.815617009077044,60.0,1.5404480000000003,0.0
2024-01-01 17:00:00,1.0,18.5,0.44668449363727575,18.156470013249816,14.86940823713963,11.0,57.56225284280848,60.0,0.2567413333333333,0.0
2024-01-01 17:15:00,1.0,18.5,0.44668449363727575,18.12127295850664,14.884586539041827,11.0,58.06408867653993,60.0,1.5404480000000003,0.0
2024-01-01 17:30:00,1.0,18.5,0.44668449363727575,18.086571749545147,14.899213583996,11.0,58.86032451027139,60.0,1.5404480000000003,0.0
2024-01-01 17:45:00,1.0,18.5,0.44668449363727575,18.05235621760213,14.91330183910134,11.0,60.23295938843666,60.0,0.0,0.0
2024-01-01 18:00:00,1.0,18.5,0.44668449363727575,18.018616413416943,14.926863499593981,11.0,61.17896989966455,60.0,0.0,0.0
2024-01-01 18:15:00,1.0,18.5,0.44668449363727575,18.28336961509482,14.940685078400435,11.0,56.776982322024786,60.0,3.0808960000000005,0.0
2024-01-01 18:30:00,1.0,18.5,0.44668449363727575,18.910835451818482,14.959334140785339,11.0,58.41341767797315,60.0,0.2567413333333333,0.0
2024-01-01 18:45:00,1.0,18.5,0.44668449363727575,18.986223973747006,14.981431943829664,11.0,60.88304634495831,60.0,0.0,0.0
2024-01-01 19:00:00,1.0,18.5,0.44668449363727575,18.94377027852455,15.003059868496697,11.0,60.32524873387374,60.0,0.5134826666666666,0.0
2024-01-01 19:15:00,1.0,18.5,0.44668449363727575,18.901945983288506,15.02397662352444,11.0,55.481661156233976,60.0,3.337637333333334,0.0
2024-01-01 19:30:00,1.0,18.5,0.44668449363727575,18.86073807248768,15.044198193275717,11.0,55.64609651218234,60.0,1.0269653333333333,0.0
2024-01-01 19:45:00,1.0,18.5,0.44668449363727575,18.820133811779304,15.063740213764278,11.0,58.13513234591379,60.0,0.0,0.0
2024-01-01 20:00:00,1.0,18.5,0.44668449363727575,18.780120741925035,15.082617980222839,11.0,60.844162446248205,60.0,0.0,0.0
2024-01-01 20:15:00,1.0,18.5,0.44668449363727575,18.740686672819617,15.100846454506762,11.0,59.247107883419716,60.0,3.5943786666666666,0.0
2024-01-01 20:30:00,1.0,18.5,0.44668449363727575,18.701819677649123,15.118440272336942,11.0,56.367208791207545,60.0,0.5134826666666666,0.0
2024-01-01 20:45:00,1.0,18.5,0.44668449363727575,18.663508087176133,15.135413750385379,11.0,59.150644624939,60.0,0.5134826666666666,0.0
2024-01-01 21:00:00,1.0,18.5,0.44668449363727575,18.625470436385253,15.14977980805304,10.0,60.88427329192415,60.0,0.0,0.0
2024-01-01 21:15:00,1.0,18.5,0.44668449363727575,18.58763459200194,15.161301238629617,10.0,60.73127568083958,60.0,0.2567413333333333,0.0
2024-01-01 21:30:00,1.0,18.5,0.44668449363727575,18.55028653183279,15.172296886092663,10.0,60.28967568083958,60.0,0.5134826666666666,0.0
2024-01-01 21:45:00,2.0,15.7,0.44668449363727575,18.513416408214926,15.182778784807853,10.0,59.384009173433945,60.0,0.2567413333333333,0.0
2024-01-01 22:00:00,2.0,15.0,0.44668449363727575,18.47701458568831,15.19275870640662,10.0,59.41549622551228,60.0,1.5404480000000003,0.0
2024-01-01 22:15:00,2.0,15.0,0.44668449363727575,18.44107163639087,15.202248165495257,10.0,60.38099569995085,60.0,0.0,0.0
2024-01-01 22:30:00,2.0,15.0,0.44668449363727575,18.405578335553674,15.211258425239949,10.0,61.16933779264075,60.0,0.0,0.0
2024-01-01 22:45:00,2.0,15.0,0.44668449363727575,18.37052565709388,15.219800502830575,10.0,61.16933779264075,60.0,0.0,0.0
2024-01-01 23:00:00,2.0,15.0,0.44668449363727575,18.335904769303443,15.22788517482578,10.0,61.16933779264075,60.0,0.0,0.0
2024-01-01 23:15:00,2.0,15.0,0.44668449363727575,18.301707030631416,15.235522982382008,10.0,59.52887988533067,60.0,1.5404480000000003,0.0
2024-01-01 23:30:00,2.0,15.0,0.44668449363727575,18.26792398555786,15.24272423636894,10.0,57.54997649307073,60.0,3.5943786666666666,0.0
2024-01-01 23:45:00,2.0,15.0,0.44668449363727575,18.234547360557325,15.24949902237381,10.0,55.73300946010366,60.0,0.5134826666666666,0.0
