,Occupancy,EV_plugged,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 13:34:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.515852238121866,15.501408121801594,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:35:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.513143420245918,15.504650353705715,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:36:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.510438692601475,15.507887696218758,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:37:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.507738049016584,15.511120156717674,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:38:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.505041483328597,15.514347742568289,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:39:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.50234898938417,15.517570461125313,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:40:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.499660561039246,15.52078831973236,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:41:00,1.0,0.0,0.0,61.034597228857365,60.0,21.5,0.5790360513319585,21.496976192159032,15.52400132572196,12.0,3.85112,0.0,0.0,0.0,0.0
2024-01-01 13:42:00,1.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.494295876617997,15.527209486415583,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:43:00,1.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.491619608299846,15.53041280912365,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:44:00,1.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.48894738109752,15.533611301145555,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:45:00,1.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.486279188913173,15.536804969769674,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:46:00,1.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.483615025658153,15.53999382227339,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:47:00,1.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.480954885253002,15.543177865923102,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:48:00,1.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.478298761627432,15.546357107974249,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:49:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.475646648720318,15.549531555671319,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:50:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.472998540479676,15.552701216247872,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:51:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.470354430862653,15.555866096926552,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:52:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.46771431383552,15.559026204919107,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:53:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.46507818337364,15.562181547426402,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:54:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.462446033461482,15.565332131638439,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:55:00,3.0,0.0,0.0,60.75859722885736,60.0,21.5,0.5790360513319585,21.45981785809258,15.568477964734369,12.0,0.0,0.0,0.0,0.0,0.0
